t fer1.cavg aus1.cavg fer2.cavg aus2.cavg
5.000000e-05 1.365192e-05 3.855349e-02 1.365192e-05 3.855349e-02
1.000000e-04 1.365193e-05 3.855349e-02 1.365193e-05 3.855349e-02
1.500000e-04 1.365197e-05 3.855349e-02 1.365197e-05 3.855349e-02
2.000000e-04 1.365201e-05 3.855349e-02 1.365201e-05 3.855349e-02
2.500000e-04 1.365208e-05 3.855349e-02 1.365208e-05 3.855349e-02
3.000000e-04 1.365216e-05 3.855349e-02 1.365216e-05 3.855349e-02
3.500000e-04 1.365225e-05 3.855350e-02 1.365225e-05 3.855349e-02
4.000000e-04 1.365236e-05 3.855350e-02 1.365236e-05 3.855349e-02
4.500000e-04 1.365249e-05 3.855350e-02 1.365249e-05 3.855349e-02
5.000000e-04 1.365263e-05 3.855350e-02 1.365263e-05 3.855350e-02
5.500000e-04 1.365279e-05 3.855350e-02 1.365279e-05 3.855350e-02
6.000000e-04 1.365297e-05 3.855351e-02 1.365297e-05 3.855350e-02
6.500000e-04 1.365316e-05 3.855351e-02 1.365316e-05 3.855350e-02
7.000000e-04 1.365337e-05 3.855351e-02 1.365337e-05 3.855350e-02
7.500000e-04 1.365359e-05 3.855352e-02 1.365359e-05 3.855350e-02
8.000000e-04 1.365383e-05 3.855352e-02 1.365383e-05 3.855351e-02
8.500000e-04 1.365408e-05 3.855353e-02 1.365408e-05 3.855351e-02
9.000000e-04 1.365436e-05 3.855353e-02 1.365435e-05 3.855351e-02
9.500000e-04 1.365464e-05 3.855354e-02 1.365464e-05 3.855351e-02
1.000000e-03 1.365494e-05 3.855354e-02 1.365494e-05 3.855352e-02
1.050000e-03 1.365526e-05 3.855355e-02 1.365526e-05 3.855352e-02
1.100000e-03 1.365560e-05 3.855355e-02 1.365560e-05 3.855352e-02
1.150000e-03 1.365595e-05 3.855356e-02 1.365595e-05 3.855353e-02
1.200000e-03 1.365631e-05 3.855357e-02 1.365631e-05 3.855353e-02
1.250000e-03 1.365669e-05 3.855357e-02 1.365669e-05 3.855353e-02
1.300000e-03 1.365709e-05 3.855358e-02 1.365709e-05 3.855354e-02
1.350000e-03 1.365751e-05 3.855359e-02 1.365750e-05 3.855354e-02
1.400000e-03 1.365793e-05 3.855360e-02 1.365793e-05 3.855354e-02
1.450000e-03 1.365838e-05 3.855360e-02 1.365838e-05 3.855355e-02
1.500000e-03 1.365884e-05 3.855361e-02 1.365884e-05 3.855355e-02
1.550000e-03 1.365932e-05 3.855362e-02 1.365931e-05 3.855356e-02
1.600000e-03 1.365981e-05 3.855363e-02 1.365981e-05 3.855356e-02
1.650000e-03 1.366032e-05 3.855364e-02 1.366031e-05 3.855357e-02
1.700000e-03 1.366084e-05 3.855365e-02 1.366084e-05 3.855357e-02
1.750000e-03 1.366138e-05 3.855366e-02 1.366138e-05 3.855357e-02
1.800000e-03 1.366194e-05 3.855367e-02 1.366193e-05 3.855358e-02
1.850000e-03 1.366251e-05 3.855368e-02 1.366250e-05 3.855359e-02
1.900000e-03 1.366309e-05 3.855369e-02 1.366309e-05 3.855359e-02
1.950000e-03 1.366370e-05 3.855370e-02 1.366369e-05 3.855360e-02
2.000000e-03 1.366431e-05 3.855371e-02 1.366431e-05 3.855360e-02
2.050000e-03 1.366495e-05 3.855372e-02 1.366494e-05 3.855361e-02
2.100000e-03 1.366560e-05 3.855373e-02 1.366559e-05 3.855361e-02
2.150000e-03 1.366626e-05 3.855374e-02 1.366625e-05 3.855362e-02
2.200000e-03 1.366694e-05 3.855375e-02 1.366693e-05 3.855363e-02
2.250000e-03 1.366764e-05 3.855377e-02 1.366763e-05 3.855363e-02
2.300000e-03 1.366835e-05 3.855378e-02 1.366834e-05 3.855364e-02
2.350000e-03 1.366908e-05 3.855379e-02 1.366907e-05 3.855364e-02
2.400000e-03 1.366982e-05 3.855381e-02 1.366981e-05 3.855365e-02
2.450000e-03 1.367058e-05 3.855382e-02 1.367056e-05 3.855366e-02
2.500000e-03 1.367135e-05 3.855383e-02 1.367134e-05 3.855367e-02
2.550000e-03 1.367214e-05 3.855385e-02 1.367213e-05 3.855367e-02
2.600000e-03 1.367294e-05 3.855386e-02 1.367293e-05 3.855368e-02
2.650000e-03 1.367376e-05 3.855388e-02 1.367375e-05 3.855369e-02
2.700000e-03 1.367460e-05 3.855389e-02 1.367458e-05 3.855369e-02
2.750000e-03 1.367545e-05 3.855391e-02 1.367543e-05 3.855370e-02
2.800000e-03 1.367632e-05 3.855392e-02 1.367630e-05 3.855371e-02
2.850000e-03 1.367720e-05 3.855394e-02 1.367718e-05 3.855372e-02
2.900000e-03 1.367810e-05 3.855395e-02 1.367807e-05 3.855373e-02
2.950000e-03 1.367901e-05 3.855397e-02 1.367898e-05 3.855374e-02
3.000000e-03 1.367993e-05 3.855399e-02 1.367991e-05 3.855374e-02
3.050000e-03 1.368088e-05 3.855400e-02 1.368085e-05 3.855375e-02
3.100000e-03 1.368183e-05 3.855402e-02 1.368181e-05 3.855376e-02
3.150000e-03 1.368281e-05 3.855404e-02 1.368278e-05 3.855377e-02
3.200000e-03 1.368380e-05 3.855405e-02 1.368376e-05 3.855378e-02
3.250000e-03 1.368480e-05 3.855407e-02 1.368477e-05 3.855379e-02
3.300000e-03 1.368582e-05 3.855409e-02 1.368578e-05 3.855380e-02
3.350000e-03 1.368685e-05 3.855411e-02 1.368682e-05 3.855381e-02
3.400000e-03 1.368790e-05 3.855413e-02 1.368786e-05 3.855382e-02
3.450000e-03 1.368896e-05 3.855415e-02 1.368892e-05 3.855383e-02
3.500000e-03 1.369004e-05 3.855417e-02 1.369000e-05 3.855384e-02
3.550000e-03 1.369114e-05 3.855419e-02 1.369109e-05 3.855385e-02
3.600000e-03 1.369224e-05 3.855421e-02 1.369220e-05 3.855386e-02
3.650000e-03 1.369337e-05 3.855423e-02 1.369332e-05 3.855387e-02
3.700000e-03 1.369451e-05 3.855425e-02 1.369446e-05 3.855388e-02
3.750000e-03 1.369566e-05 3.855427e-02 1.369561e-05 3.855389e-02
3.800000e-03 1.369683e-05 3.855429e-02 1.369677e-05 3.855390e-02
3.850000e-03 1.369801e-05 3.855431e-02 1.369796e-05 3.855391e-02
3.900000e-03 1.369921e-05 3.855433e-02 1.369915e-05 3.855392e-02
3.950000e-03 1.370042e-05 3.855435e-02 1.370036e-05 3.855393e-02
4.000000e-03 1.370165e-05 3.855437e-02 1.370159e-05 3.855394e-02
4.050000e-03 1.370289e-05 3.855440e-02 1.370283e-05 3.855395e-02
4.100000e-03 1.370415e-05 3.855442e-02 1.370408e-05 3.855397e-02
4.150000e-03 1.370542e-05 3.855444e-02 1.370535e-05 3.855398e-02
4.200000e-03 1.370670e-05 3.855446e-02 1.370663e-05 3.855399e-02
4.250000e-03 1.370801e-05 3.855449e-02 1.370793e-05 3.855400e-02
4.300000e-03 1.370932e-05 3.855451e-02 1.370924e-05 3.855401e-02
4.350000e-03 1.371065e-05 3.855453e-02 1.371057e-05 3.855403e-02
4.400000e-03 1.371199e-05 3.855456e-02 1.371191e-05 3.855404e-02
4.450000e-03 1.371335e-05 3.855458e-02 1.371326e-05 3.855405e-02
4.500000e-03 1.371473e-05 3.855461e-02 1.371463e-05 3.855406e-02
4.550000e-03 1.371611e-05 3.855463e-02 1.371602e-05 3.855408e-02
4.600000e-03 1.371751e-05 3.855466e-02 1.371742e-05 3.855409e-02
4.650000e-03 1.371893e-05 3.855468e-02 1.371883e-05 3.855410e-02
4.700000e-03 1.372036e-05 3.855471e-02 1.372026e-05 3.855412e-02
4.750000e-03 1.372180e-05 3.855473e-02 1.372170e-05 3.855413e-02
4.800000e-03 1.372326e-05 3.855476e-02 1.372315e-05 3.855414e-02
4.850000e-03 1.372474e-05 3.855479e-02 1.372462e-05 3.855416e-02
4.900000e-03 1.372622e-05 3.855481e-02 1.372610e-05 3.855417e-02
4.950000e-03 1.372772e-05 3.855484e-02 1.372760e-05 3.855418e-02
5.000000e-03 1.372924e-05 3.855487e-02 1.372911e-05 3.855420e-02
5.050000e-03 1.373077e-05 3.855489e-02 1.373064e-05 3.855421e-02
5.100000e-03 1.373231e-05 3.855492e-02 1.373218e-05 3.855423e-02
5.150000e-03 1.373387e-05 3.855495e-02 1.373373e-05 3.855424e-02
5.200000e-03 1.373544e-05 3.855498e-02 1.373530e-05 3.855426e-02
5.250000e-03 1.373702e-05 3.855501e-02 1.373688e-05 3.855427e-02
5.300000e-03 1.373862e-05 3.855503e-02 1.373847e-05 3.855429e-02
5.350000e-03 1.374023e-05 3.855506e-02 1.374008e-05 3.855430e-02
5.400000e-03 1.374186e-05 3.855509e-02 1.374170e-05 3.855432e-02
5.450000e-03 1.374350e-05 3.855512e-02 1.374334e-05 3.855433e-02
5.500000e-03 1.374515e-05 3.855515e-02 1.374498e-05 3.855435e-02
5.550000e-03 1.374682e-05 3.855518e-02 1.374665e-05 3.855436e-02
5.600000e-03 1.374850e-05 3.855521e-02 1.374832e-05 3.855438e-02
5.650000e-03 1.375019e-05 3.855524e-02 1.375001e-05 3.855439e-02
5.700000e-03 1.375190e-05 3.855527e-02 1.375171e-05 3.855441e-02
5.750000e-03 1.375362e-05 3.855530e-02 1.375343e-05 3.855443e-02
5.800000e-03 1.375536e-05 3.855533e-02 1.375516e-05 3.855444e-02
5.850000e-03 1.375710e-05 3.855537e-02 1.375690e-05 3.855446e-02
5.900000e-03 1.375887e-05 3.855540e-02 1.375866e-05 3.855448e-02
5.950000e-03 1.376064e-05 3.855543e-02 1.376043e-05 3.855449e-02
6.000000e-03 1.376243e-05 3.855546e-02 1.376221e-05 3.855451e-02
6.050000e-03 1.376423e-05 3.855550e-02 1.376400e-05 3.855453e-02
6.100000e-03 1.376604e-05 3.855553e-02 1.376581e-05 3.855454e-02
6.150000e-03 1.376787e-05 3.855556e-02 1.376763e-05 3.855456e-02
6.200000e-03 1.376971e-05 3.855560e-02 1.376947e-05 3.855458e-02
6.250000e-03 1.377156e-05 3.855563e-02 1.377131e-05 3.855460e-02
6.300000e-03 1.377343e-05 3.855566e-02 1.377317e-05 3.855461e-02
6.350000e-03 1.377531e-05 3.855570e-02 1.377505e-05 3.855463e-02
6.400000e-03 1.377720e-05 3.855573e-02 1.377693e-05 3.855465e-02
6.450000e-03 1.377910e-05 3.855577e-02 1.377883e-05 3.855467e-02
6.500000e-03 1.378102e-05 3.855580e-02 1.378074e-05 3.855469e-02
6.550000e-03 1.378295e-05 3.855584e-02 1.378266e-05 3.855470e-02
6.600000e-03 1.378489e-05 3.855587e-02 1.378460e-05 3.855472e-02
6.650000e-03 1.378685e-05 3.855591e-02 1.378655e-05 3.855474e-02
6.700000e-03 1.378881e-05 3.855594e-02 1.378851e-05 3.855476e-02
6.750000e-03 1.379079e-05 3.855598e-02 1.379048e-05 3.855478e-02
6.800000e-03 1.379279e-05 3.855602e-02 1.379247e-05 3.855480e-02
6.850000e-03 1.379479e-05 3.855605e-02 1.379447e-05 3.855482e-02
6.900000e-03 1.379681e-05 3.855609e-02 1.379648e-05 3.855484e-02
6.950000e-03 1.379884e-05 3.855613e-02 1.379850e-05 3.855486e-02
7.000000e-03 1.380088e-05 3.855616e-02 1.380053e-05 3.855488e-02
7.050000e-03 1.380293e-05 3.855620e-02 1.380258e-05 3.855490e-02
7.100000e-03 1.380500e-05 3.855624e-02 1.380464e-05 3.855492e-02
7.150000e-03 1.380708e-05 3.855628e-02 1.380671e-05 3.855494e-02
7.200000e-03 1.380917e-05 3.855631e-02 1.380879e-05 3.855496e-02
7.250000e-03 1.381127e-05 3.855635e-02 1.381089e-05 3.855498e-02
7.300000e-03 1.381338e-05 3.855639e-02 1.381299e-05 3.855500e-02
7.350000e-03 1.381551e-05 3.855643e-02 1.381511e-05 3.855502e-02
7.400000e-03 1.381765e-05 3.855647e-02 1.381724e-05 3.855504e-02
7.450000e-03 1.381980e-05 3.855651e-02 1.381938e-05 3.855506e-02
7.500000e-03 1.382196e-05 3.855655e-02 1.382154e-05 3.855508e-02
7.550000e-03 1.382413e-05 3.855659e-02 1.382370e-05 3.855510e-02
7.600000e-03 1.382632e-05 3.855663e-02 1.382588e-05 3.855512e-02
7.650000e-03 1.382851e-05 3.855667e-02 1.382806e-05 3.855514e-02
7.700000e-03 1.383072e-05 3.855671e-02 1.383026e-05 3.855516e-02
7.750000e-03 1.383294e-05 3.855675e-02 1.383247e-05 3.855518e-02
7.800000e-03 1.383517e-05 3.855679e-02 1.383470e-05 3.855521e-02
7.850000e-03 1.383742e-05 3.855683e-02 1.383693e-05 3.855523e-02
7.900000e-03 1.383967e-05 3.855687e-02 1.383917e-05 3.855525e-02
7.950000e-03 1.384193e-05 3.855691e-02 1.384143e-05 3.855527e-02
8.000000e-03 1.384421e-05 3.855695e-02 1.384370e-05 3.855529e-02
8.050000e-03 1.384650e-05 3.855699e-02 1.384598e-05 3.855531e-02
8.100000e-03 1.384880e-05 3.855703e-02 1.384826e-05 3.855534e-02
8.150000e-03 1.385111e-05 3.855708e-02 1.385056e-05 3.855536e-02
8.200000e-03 1.385343e-05 3.855712e-02 1.385287e-05 3.855538e-02
8.250000e-03 1.385576e-05 3.855716e-02 1.385520e-05 3.855540e-02
8.300000e-03 1.385810e-05 3.855720e-02 1.385753e-05 3.855543e-02
8.350000e-03 1.386045e-05 3.855725e-02 1.385987e-05 3.855545e-02
8.400000e-03 1.386282e-05 3.855729e-02 1.386223e-05 3.855547e-02
8.450000e-03 1.386519e-05 3.855733e-02 1.386459e-05 3.855550e-02
8.500000e-03 1.386758e-05 3.855738e-02 1.386696e-05 3.855552e-02
8.550000e-03 1.386997e-05 3.855742e-02 1.386935e-05 3.855554e-02
8.600000e-03 1.387238e-05 3.855746e-02 1.387175e-05 3.855556e-02
8.650000e-03 1.387480e-05 3.855751e-02 1.387415e-05 3.855559e-02
8.700000e-03 1.387722e-05 3.855755e-02 1.387657e-05 3.855561e-02
