t mart.cavg aus1.cavg fer1.cavg aus2.cavg fer2.cavg
5.000000e-05 3.300866e-02 3.401132e-02 1.077469e-05 3.344140e-02 1.077469e-05
1.000000e-04 3.292293e-02 3.404169e-02 1.077768e-05 3.344145e-02 1.077618e-05
1.500000e-04 3.284571e-02 3.407182e-02 1.078367e-05 3.344154e-02 1.077918e-05
2.000000e-04 3.277525e-02 3.410032e-02 1.079265e-05 3.344168e-02 1.078367e-05
2.500000e-04 3.271031e-02 3.412773e-02 1.080461e-05 3.344187e-02 1.078965e-05
3.000000e-04 3.264993e-02 3.415437e-02 1.081956e-05 3.344210e-02 1.079713e-05
3.500000e-04 3.259338e-02 3.418049e-02 1.083749e-05 3.344238e-02 1.080611e-05
4.000000e-04 3.254008e-02 3.420628e-02 1.085839e-05 3.344270e-02 1.081657e-05
4.500000e-04 3.248957e-02 3.423187e-02 1.088225e-05 3.344307e-02 1.082852e-05
5.000000e-04 3.244148e-02 3.425738e-02 1.090905e-05 3.344349e-02 1.084196e-05
5.500000e-04 3.239552e-02 3.428290e-02 1.093880e-05 3.344395e-02 1.085688e-05
6.000000e-04 3.235144e-02 3.430852e-02 1.097147e-05 3.344446e-02 1.087328e-05
6.500000e-04 3.230904e-02 3.433430e-02 1.100704e-05 3.344502e-02 1.089116e-05
7.000000e-04 3.226814e-02 3.436029e-02 1.104551e-05 3.344562e-02 1.091051e-05
7.500000e-04 3.222861e-02 3.438654e-02 1.108684e-05 3.344626e-02 1.093132e-05
8.000000e-04 3.219031e-02 3.441310e-02 1.113102e-05 3.344695e-02 1.095360e-05
8.500000e-04 3.215315e-02 3.444001e-02 1.117803e-05 3.344768e-02 1.097733e-05
9.000000e-04 3.211702e-02 3.446730e-02 1.122784e-05 3.344846e-02 1.100252e-05
9.500000e-04 3.208187e-02 3.449499e-02 1.128043e-05 3.344927e-02 1.102915e-05
1.000000e-03 3.204760e-02 3.452311e-02 1.133576e-05 3.345012e-02 1.105721e-05
1.050000e-03 3.201416e-02 3.455168e-02 1.139381e-05 3.345101e-02 1.108671e-05
1.100000e-03 3.198150e-02 3.458070e-02 1.145454e-05 3.345195e-02 1.111763e-05
1.150000e-03 3.194956e-02 3.461016e-02 1.151792e-05 3.345293e-02 1.114996e-05
1.200000e-03 3.191831e-02 3.464005e-02 1.158391e-05 3.345395e-02 1.118370e-05
1.250000e-03 3.188770e-02 3.467034e-02 1.165247e-05 3.345500e-02 1.121884e-05
1.300000e-03 3.185769e-02 3.470098e-02 1.172356e-05 3.345608e-02 1.125537e-05
1.350000e-03 3.182826e-02 3.473191e-02 1.179713e-05 3.345720e-02 1.129327e-05
1.400000e-03 3.179938e-02 3.476306e-02 1.187314e-05 3.345836e-02 1.133254e-05
1.450000e-03 3.177101e-02 3.479433e-02 1.195155e-05 3.345954e-02 1.137317e-05
1.500000e-03 3.174313e-02 3.482561e-02 1.203230e-05 3.346077e-02 1.141515e-05
1.550000e-03 3.171572e-02 3.485677e-02 1.211533e-05 3.346204e-02 1.145846e-05
1.600000e-03 3.168875e-02 3.488769e-02 1.220059e-05 3.346333e-02 1.150309e-05
1.650000e-03 3.166221e-02 3.491823e-02 1.228802e-05 3.346465e-02 1.154902e-05
1.700000e-03 3.163608e-02 3.494827e-02 1.237757e-05 3.346600e-02 1.159625e-05
1.750000e-03 3.161033e-02 3.497771e-02 1.246918e-05 3.346738e-02 1.164476e-05
1.800000e-03 3.158494e-02 3.500647e-02 1.256277e-05 3.346879e-02 1.169453e-05
1.850000e-03 3.155991e-02 3.503448e-02 1.265828e-05 3.347022e-02 1.174555e-05
1.900000e-03 3.153521e-02 3.506172e-02 1.275563e-05 3.347168e-02 1.179780e-05
1.950000e-03 3.151083e-02 3.508818e-02 1.285475e-05 3.347315e-02 1.185127e-05
2.000000e-03 3.148676e-02 3.511390e-02 1.295559e-05 3.347465e-02 1.190595e-05
2.050000e-03 3.146298e-02 3.513894e-02 1.305805e-05 3.347618e-02 1.196181e-05
2.100000e-03 3.143948e-02 3.516337e-02 1.316206e-05 3.347773e-02 1.201883e-05
2.150000e-03 3.141625e-02 3.518725e-02 1.326753e-05 3.347930e-02 1.207700e-05
2.200000e-03 3.139328e-02 3.521066e-02 1.337440e-05 3.348089e-02 1.213629e-05
2.250000e-03 3.137056e-02 3.523370e-02 1.348258e-05 3.348248e-02 1.219669e-05
