t mart.cavg aus1.cavg fer1.cavg aus2.cavg fer2.cavg
5.000000e-04 3.344140e-02 3.332252e-02 1.077469e-05 3.344140e-02 1.077469e-05
1.000000e-03 3.344270e-02 3.332131e-02 1.077489e-05 3.344140e-02 1.077479e-05
1.500000e-03 3.344321e-02 3.332012e-02 1.077529e-05 3.344141e-02 1.077499e-05
2.000000e-03 3.344372e-02 3.331895e-02 1.077588e-05 3.344142e-02 1.077529e-05
2.500000e-03 3.344421e-02 3.331780e-02 1.077668e-05 3.344143e-02 1.077569e-05
3.000000e-03 3.344470e-02 3.331666e-02 1.077768e-05 3.344145e-02 1.077618e-05
3.500000e-03 3.344519e-02 3.331554e-02 1.077887e-05 3.344147e-02 1.077678e-05
4.000000e-03 3.344566e-02 3.331443e-02 1.078026e-05 3.344149e-02 1.077748e-05
4.500000e-03 3.344614e-02 3.331334e-02 1.078185e-05 3.344152e-02 1.077827e-05
5.000000e-03 3.344661e-02 3.331226e-02 1.078364e-05 3.344155e-02 1.077917e-05
5.500000e-03 3.344707e-02 3.331119e-02 1.078562e-05 3.344158e-02 1.078016e-05
6.000000e-03 3.344753e-02 3.331014e-02 1.078779e-05 3.344161e-02 1.078126e-05
6.500000e-03 3.344799e-02 3.330910e-02 1.079016e-05 3.344165e-02 1.078245e-05
7.000000e-03 3.344845e-02 3.330808e-02 1.079272e-05 3.344170e-02 1.078374e-05
7.500000e-03 3.344890e-02 3.330707e-02 1.079547e-05 3.344174e-02 1.078512e-05
8.000000e-03 3.344935e-02 3.330607e-02 1.079842e-05 3.344179e-02 1.078661e-05
8.500000e-03 3.344979e-02 3.330508e-02 1.080155e-05 3.344185e-02 1.078819e-05
9.000000e-03 3.345024e-02 3.330410e-02 1.080487e-05 3.344191e-02 1.078987e-05
9.500000e-03 3.345068e-02 3.330314e-02 1.080838e-05 3.344197e-02 1.079164e-05
1.000000e-02 3.345112e-02 3.330219e-02 1.081207e-05 3.344203e-02 1.079351e-05
1.050000e-02 3.345155e-02 3.330125e-02 1.081595e-05 3.344210e-02 1.079548e-05
1.100000e-02 3.345198e-02 3.330032e-02 1.082000e-05 3.344217e-02 1.079754e-05
1.150000e-02 3.345241e-02 3.329940e-02 1.082424e-05 3.344224e-02 1.079970e-05
1.200000e-02 3.345284e-02 3.329849e-02 1.082866e-05 3.344232e-02 1.080195e-05
1.250000e-02 3.345327e-02 3.329759e-02 1.083325e-05 3.344240e-02 1.080430e-05
1.300000e-02 3.345369e-02 3.329670e-02 1.083802e-05 3.344249e-02 1.080673e-05
1.350000e-02 3.345411e-02 3.329583e-02 1.084297e-05 3.344258e-02 1.080927e-05
1.400000e-02 3.345453e-02 3.329496e-02 1.084808e-05 3.344267e-02 1.081189e-05
1.450000e-02 3.345495e-02 3.329410e-02 1.085337e-05 3.344277e-02 1.081461e-05
1.500000e-02 3.345536e-02 3.329325e-02 1.085882e-05 3.344287e-02 1.081742e-05
1.550000e-02 3.345578e-02 3.329241e-02 1.086443e-05 3.344297e-02 1.082032e-05
1.600000e-02 3.345619e-02 3.329158e-02 1.087021e-05 3.344308e-02 1.082331e-05
1.650000e-02 3.345660e-02 3.329076e-02 1.087616e-05 3.344319e-02 1.082639e-05
1.700000e-02 3.345700e-02 3.328995e-02 1.088226e-05 3.344330e-02 1.082956e-05
1.750000e-02 3.345741e-02 3.328915e-02 1.088852e-05 3.344342e-02 1.083281e-05
1.800000e-02 3.345781e-02 3.328835e-02 1.089493e-05 3.344354e-02 1.083616e-05
1.850000e-02 3.345821e-02 3.328757e-02 1.090149e-05 3.344367e-02 1.083959e-05
1.900000e-02 3.345861e-02 3.328679e-02 1.090821e-05 3.344379e-02 1.084312e-05
1.950000e-02 3.345901e-02 3.328602e-02 1.091507e-05 3.344393e-02 1.084672e-05
2.000000e-02 3.345941e-02 3.328526e-02 1.092207e-05 3.344406e-02 1.085042e-05
2.050000e-02 3.345980e-02 3.328451e-02 1.092922e-05 3.344420e-02 1.085419e-05
2.100000e-02 3.346019e-02 3.328376e-02 1.093651e-05 3.344435e-02 1.085805e-05
2.150000e-02 3.346058e-02 3.328303e-02 1.094393e-05 3.344449e-02 1.086200e-05
2.200000e-02 3.346097e-02 3.328230e-02 1.095149e-05 3.344464e-02 1.086603e-05
2.250000e-02 3.346136e-02 3.328158e-02 1.095918e-05 3.344480e-02 1.087014e-05
2.300000e-02 3.346175e-02 3.328086e-02 1.096700e-05 3.344495e-02 1.087433e-05
2.350000e-02 3.346213e-02 3.328015e-02 1.097495e-05 3.344511e-02 1.087860e-05
2.400000e-02 3.346251e-02 3.327945e-02 1.098301e-05 3.344528e-02 1.088295e-05
2.450000e-02 3.346290e-02 3.327876e-02 1.099120e-05 3.344545e-02 1.088739e-05
2.500000e-02 3.346328e-02 3.327808e-02 1.099951e-05 3.344562e-02 1.089190e-05
2.550000e-02 3.346365e-02 3.327740e-02 1.100794e-05 3.344579e-02 1.089648e-05
2.600000e-02 3.346403e-02 3.327672e-02 1.101647e-05 3.344597e-02 1.090115e-05
2.650000e-02 3.346441e-02 3.327606e-02 1.102512e-05 3.344615e-02 1.090589e-05
2.700000e-02 3.346478e-02 3.327540e-02 1.103387e-05 3.344633e-02 1.091071e-05
2.750000e-02 3.346515e-02 3.327475e-02 1.104273e-05 3.344652e-02 1.091560e-05
2.800000e-02 3.346552e-02 3.327410e-02 1.105169e-05 3.344671e-02 1.092056e-05
2.850000e-02 3.346589e-02 3.327346e-02 1.106075e-05 3.344690e-02 1.092560e-05
2.900000e-02 3.346626e-02 3.327282e-02 1.106991e-05 3.344710e-02 1.093070e-05
2.950000e-02 3.346663e-02 3.327220e-02 1.107916e-05 3.344730e-02 1.093588e-05
3.000000e-02 3.346699e-02 3.327157e-02 1.108850e-05 3.344750e-02 1.094113e-05
3.050000e-02 3.346736e-02 3.327096e-02 1.109793e-05 3.344771e-02 1.094645e-05
3.100000e-02 3.346772e-02 3.327034e-02 1.110744e-05 3.344792e-02 1.095184e-05
3.150000e-02 3.346808e-02 3.326974e-02 1.111704e-05 3.344813e-02 1.095729e-05
3.200000e-02 3.346844e-02 3.326914e-02 1.112672e-05 3.344835e-02 1.096281e-05
3.250000e-02 3.346880e-02 3.326854e-02 1.113647e-05 3.344856e-02 1.096839e-05
3.300000e-02 3.346916e-02 3.326796e-02 1.114630e-05 3.344879e-02 1.097404e-05
3.350000e-02 3.346951e-02 3.326737e-02 1.115620e-05 3.344901e-02 1.097976e-05
3.400000e-02 3.346987e-02 3.326679e-02 1.116617e-05 3.344924e-02 1.098554e-05
3.450000e-02 3.347022e-02 3.326622e-02 1.117621e-05 3.344947e-02 1.099138e-05
3.500000e-02 3.347058e-02 3.326565e-02 1.118631e-05 3.344970e-02 1.099728e-05
3.550000e-02 3.347093e-02 3.326509e-02 1.119648e-05 3.344993e-02 1.100324e-05
3.600000e-02 3.347128e-02 3.326453e-02 1.120670e-05 3.345017e-02 1.100926e-05
3.650000e-02 3.347163e-02 3.326398e-02 1.121698e-05 3.345041e-02 1.101534e-05
3.700000e-02 3.347198e-02 3.326343e-02 1.122731e-05 3.345065e-02 1.102147e-05
3.750000e-02 3.347232e-02 3.326288e-02 1.123769e-05 3.345090e-02 1.102767e-05
3.800000e-02 3.347267e-02 3.326234e-02 1.124812e-05 3.345115e-02 1.103392e-05
3.850000e-02 3.347302e-02 3.326181e-02 1.125860e-05 3.345140e-02 1.104022e-05
3.900000e-02 3.347336e-02 3.326128e-02 1.126912e-05 3.345165e-02 1.104658e-05
3.950000e-02 3.347370e-02 3.326075e-02 1.127968e-05 3.345191e-02 1.105299e-05
4.000000e-02 3.347404e-02 3.326023e-02 1.129029e-05 3.345217e-02 1.105945e-05
4.050000e-02 3.347439e-02 3.325971e-02 1.130092e-05 3.345243e-02 1.106597e-05
4.100000e-02 3.347472e-02 3.325920e-02 1.131160e-05 3.345269e-02 1.107254e-05
4.150000e-02 3.347506e-02 3.325869e-02 1.132230e-05 3.345295e-02 1.107915e-05
4.200000e-02 3.347540e-02 3.325818e-02 1.133303e-05 3.345322e-02 1.108581e-05
4.250000e-02 3.347574e-02 3.325768e-02 1.134379e-05 3.345349e-02 1.109253e-05
4.300000e-02 3.347607e-02 3.325719e-02 1.135458e-05 3.345376e-02 1.109928e-05
4.350000e-02 3.347641e-02 3.325669e-02 1.136539e-05 3.345404e-02 1.110609e-05
4.400000e-02 3.347674e-02 3.325620e-02 1.137622e-05 3.345431e-02 1.111294e-05
4.450000e-02 3.347707e-02 3.325572e-02 1.138707e-05 3.345459e-02 1.111983e-05
4.500000e-02 3.347741e-02 3.325524e-02 1.139793e-05 3.345487e-02 1.112677e-05
4.550000e-02 3.347774e-02 3.325476e-02 1.140881e-05 3.345516e-02 1.113375e-05
4.600000e-02 3.347807e-02 3.325429e-02 1.141970e-05 3.345544e-02 1.114077e-05
4.650000e-02 3.347840e-02 3.325382e-02 1.143060e-05 3.345573e-02 1.114783e-05
4.700000e-02 3.347872e-02 3.325335e-02 1.144150e-05 3.345602e-02 1.115493e-05
4.750000e-02 3.347905e-02 3.325289e-02 1.145241e-05 3.345632e-02 1.116207e-05
4.800000e-02 3.347938e-02 3.325243e-02 1.146332e-05 3.345661e-02 1.116925e-05
4.850000e-02 3.347970e-02 3.325197e-02 1.147423e-05 3.345691e-02 1.117647e-05
4.900000e-02 3.348003e-02 3.325152e-02 1.148513e-05 3.345721e-02 1.118372e-05
4.950000e-02 3.348035e-02 3.325107e-02 1.149604e-05 3.345751e-02 1.119100e-05
5.000000e-02 3.348067e-02 3.325063e-02 1.150694e-05 3.345781e-02 1.119833e-05
5.050000e-02 3.348100e-02 3.325018e-02 1.151783e-05 3.345811e-02 1.120568e-05
5.100000e-02 3.348132e-02 3.324975e-02 1.152871e-05 3.345842e-02 1.121307e-05
5.150000e-02 3.348164e-02 3.324931e-02 1.153959e-05 3.345873e-02 1.122049e-05
5.200000e-02 3.348196e-02 3.324888e-02 1.155045e-05 3.345904e-02 1.122794e-05
5.250000e-02 3.348227e-02 3.324844e-02 1.156130e-05 3.345935e-02 1.123542e-05
5.300000e-02 3.348259e-02 3.324802e-02 1.157213e-05 3.345966e-02 1.124293e-05
5.350000e-02 3.348291e-02 3.324759e-02 1.158295e-05 3.345997e-02 1.125047e-05
5.400000e-02 3.348322e-02 3.324717e-02 1.159375e-05 3.346029e-02 1.125804e-05
5.450000e-02 3.348354e-02 3.324675e-02 1.160453e-05 3.346061e-02 1.126564e-05
5.500000e-02 3.348385e-02 3.324633e-02 1.161530e-05 3.346093e-02 1.127326e-05
5.550000e-02 3.348417e-02 3.324592e-02 1.162604e-05 3.346125e-02 1.128091e-05
5.600000e-02 3.348448e-02 3.324551e-02 1.163676e-05 3.346157e-02 1.128858e-05
5.650000e-02 3.348479e-02 3.324510e-02 1.164746e-05 3.346189e-02 1.129627e-05
5.700000e-02 3.348510e-02 3.324470e-02 1.165813e-05 3.346221e-02 1.130399e-05
5.750000e-02 3.348541e-02 3.324429e-02 1.166878e-05 3.346254e-02 1.131173e-05
5.800000e-02 3.348572e-02 3.324389e-02 1.167940e-05 3.346287e-02 1.131949e-05
5.850000e-02 3.348603e-02 3.324349e-02 1.168999e-05 3.346320e-02 1.132728e-05
5.900000e-02 3.348634e-02 3.324310e-02 1.170055e-05 3.346353e-02 1.133508e-05
5.950000e-02 3.348665e-02 3.324270e-02 1.171109e-05 3.346386e-02 1.134290e-05
6.000000e-02 3.348696e-02 3.324231e-02 1.172159e-05 3.346419e-02 1.135074e-05
6.050000e-02 3.348726e-02 3.324192e-02 1.173206e-05 3.346452e-02 1.135860e-05
6.100000e-02 3.348757e-02 3.324154e-02 1.174250e-05 3.346486e-02 1.136648e-05
6.150000e-02 3.348787e-02 3.324115e-02 1.175291e-05 3.346519e-02 1.137437e-05
6.200000e-02 3.348818e-02 3.324077e-02 1.176328e-05 3.346553e-02 1.138228e-05
6.250000e-02 3.348848e-02 3.324039e-02 1.177362e-05 3.346587e-02 1.139020e-05
6.300000e-02 3.348878e-02 3.324001e-02 1.178392e-05 3.346621e-02 1.139814e-05
6.350000e-02 3.348908e-02 3.323964e-02 1.179419e-05 3.346655e-02 1.140609e-05
6.400000e-02 3.348939e-02 3.323926e-02 1.180442e-05 3.346689e-02 1.141406e-05
6.450000e-02 3.348969e-02 3.323889e-02 1.181462e-05 3.346724e-02 1.142203e-05
6.500000e-02 3.348999e-02 3.323852e-02 1.182478e-05 3.346758e-02 1.143001e-05
6.550000e-02 3.349028e-02 3.323815e-02 1.183490e-05 3.346793e-02 1.143801e-05
