t mart.cavg aus1.cavg fer1.cavg aus2.cavg fer2.cavg
5.000000e-04 3.344140e-02 3.344140e-02 1.077469e-05 3.344140e-02 1.077469e-05
1.000000e-03 3.344140e-02 3.344161e-02 1.079464e-05 3.344171e-02 1.078467e-05
1.500000e-03 3.344140e-02 3.344202e-02 1.083448e-05 3.344234e-02 1.080461e-05
2.000000e-03 3.344140e-02 3.344264e-02 1.089407e-05 3.344327e-02 1.083447e-05
2.500000e-03 3.344140e-02 3.344347e-02 1.097314e-05 3.344451e-02 1.087420e-05
3.000000e-03 3.344140e-02 3.344451e-02 1.107134e-05 3.344606e-02 1.092371e-05
3.500000e-03 3.344140e-02 3.344572e-02 1.118820e-05 3.344791e-02 1.098288e-05
4.000000e-03 3.344140e-02 3.344712e-02 1.132315e-05 3.345003e-02 1.105158e-05
4.500000e-03 3.344140e-02 3.344869e-02 1.147550e-05 3.345243e-02 1.112964e-05
5.000000e-03 3.344140e-02 3.345044e-02 1.164444e-05 3.345508e-02 1.121688e-05
5.500000e-03 3.344140e-02 3.345232e-02 1.182902e-05 3.345797e-02 1.131307e-05
6.000000e-03 3.344140e-02 3.345435e-02 1.202821e-05 3.346109e-02 1.141797e-05
6.500000e-03 3.344140e-02 3.345650e-02 1.224083e-05 3.346442e-02 1.153131e-05
7.000000e-03 3.344140e-02 3.345875e-02 1.246561e-05 3.346794e-02 1.165277e-05
7.500000e-03 3.344140e-02 3.346111e-02 1.270117e-05 3.347164e-02 1.178202e-05
8.000000e-03 3.344140e-02 3.346353e-02 1.294602e-05 3.347546e-02 1.191870e-05
8.500000e-03 3.344140e-02 3.346603e-02 1.319861e-05 3.347945e-02 1.206242e-05
9.000000e-03 3.344140e-02 3.346856e-02 1.345734e-05 3.348353e-02 1.221276e-05
9.500000e-03 3.344140e-02 3.347114e-02 1.372058e-05 3.348770e-02 1.236927e-05
1.000000e-02 3.344140e-02 3.347372e-02 1.398668e-05 3.349194e-02 1.253149e-05
1.050000e-02 3.344140e-02 3.347631e-02 1.425399e-05 3.349624e-02 1.269892e-05
1.100000e-02 3.344140e-02 3.347889e-02 1.452088e-05 3.350056e-02 1.287102e-05
1.150000e-02 3.344140e-02 3.348145e-02 1.478581e-05 3.350490e-02 1.304728e-05
1.200000e-02 3.344140e-02 3.348397e-02 1.504733e-05 3.350925e-02 1.322714e-05
1.250000e-02 3.344140e-02 3.348645e-02 1.530415e-05 3.351356e-02 1.341005e-05
1.300000e-02 3.344140e-02 3.348889e-02 1.555502e-05 3.351786e-02 1.359545e-05
1.350000e-02 3.344140e-02 3.349125e-02 1.579883e-05 3.352212e-02 1.378275e-05
1.400000e-02 3.344140e-02 3.349357e-02 1.603467e-05 3.352632e-02 1.397139e-05
1.450000e-02 3.344140e-02 3.349581e-02 1.626173e-05 3.353047e-02 1.416080e-05
1.500000e-02 3.344140e-02 3.349798e-02 1.647947e-05 3.353454e-02 1.435041e-05
1.550000e-02 3.344140e-02 3.350008e-02 1.668739e-05 3.353854e-02 1.453966e-05
1.600000e-02 3.344140e-02 3.350210e-02 1.688514e-05 3.354246e-02 1.472804e-05
1.650000e-02 3.344140e-02 3.350405e-02 1.707263e-05 3.354629e-02 1.491504e-05
1.700000e-02 3.344140e-02 3.350593e-02 1.724978e-05 3.355005e-02 1.510017e-05
1.750000e-02 3.344140e-02 3.350773e-02 1.741662e-05 3.355371e-02 1.528304e-05
1.800000e-02 3.344140e-02 3.350947e-02 1.757337e-05 3.355729e-02 1.546317e-05
1.850000e-02 3.344140e-02 3.351113e-02 1.772035e-05 3.356077e-02 1.564016e-05
1.900000e-02 3.344140e-02 3.351273e-02 1.785788e-05 3.356416e-02 1.581370e-05
1.950000e-02 3.344140e-02 3.351428e-02 1.798630e-05 3.356748e-02 1.598345e-05
2.000000e-02 3.344140e-02 3.351576e-02 1.810607e-05 3.357071e-02 1.614912e-05
2.050000e-02 3.344140e-02 3.351719e-02 1.821771e-05 3.357385e-02 1.631049e-05
2.100000e-02 3.344140e-02 3.351857e-02 1.832175e-05 3.357690e-02 1.646739e-05
2.150000e-02 3.344140e-02 3.351990e-02 1.841873e-05 3.357989e-02 1.661965e-05
2.200000e-02 3.344140e-02 3.352119e-02 1.850910e-05 3.358281e-02 1.676708e-05
2.250000e-02 3.344140e-02 3.352244e-02 1.859331e-05 3.358565e-02 1.690964e-05
2.300000e-02 3.344140e-02 3.352366e-02 1.867187e-05 3.358842e-02 1.704731e-05
2.350000e-02 3.344140e-02 3.352484e-02 1.874528e-05 3.359113e-02 1.718004e-05
2.400000e-02 3.344140e-02 3.352599e-02 1.881403e-05 3.359378e-02 1.730781e-05
2.450000e-02 3.344140e-02 3.352711e-02 1.887855e-05 3.359637e-02 1.743064e-05
2.500000e-02 3.344140e-02 3.352821e-02 1.893927e-05 3.359891e-02 1.754862e-05
2.550000e-02 3.344140e-02 3.352929e-02 1.899657e-05 3.360139e-02 1.766184e-05
2.600000e-02 3.344140e-02 3.353035e-02 1.905082e-05 3.360382e-02 1.777044e-05
2.650000e-02 3.344140e-02 3.353139e-02 1.910233e-05 3.360622e-02 1.787447e-05
2.700000e-02 3.344140e-02 3.353241e-02 1.915139e-05 3.360857e-02 1.797405e-05
2.750000e-02 3.344140e-02 3.353343e-02 1.919819e-05 3.361089e-02 1.806934e-05
2.800000e-02 3.344140e-02 3.353443e-02 1.924299e-05 3.361316e-02 1.816051e-05
2.850000e-02 3.344140e-02 3.353542e-02 1.928602e-05 3.361540e-02 1.824773e-05
2.900000e-02 3.344140e-02 3.353640e-02 1.932749e-05 3.361761e-02 1.833119e-05
2.950000e-02 3.344140e-02 3.353737e-02 1.936760e-05 3.361978e-02 1.841107e-05
3.000000e-02 3.344140e-02 3.353834e-02 1.940652e-05 3.362193e-02 1.848751e-05
3.050000e-02 3.344140e-02 3.353930e-02 1.944439e-05 3.362406e-02 1.856065e-05
3.100000e-02 3.344140e-02 3.354025e-02 1.948135e-05 3.362616e-02 1.863066e-05
3.150000e-02 3.344140e-02 3.354120e-02 1.951751e-05 3.362825e-02 1.869773e-05
3.200000e-02 3.344140e-02 3.354215e-02 1.955298e-05 3.363031e-02 1.876204e-05
3.250000e-02 3.344140e-02 3.354309e-02 1.958784e-05 3.363235e-02 1.882375e-05
3.300000e-02 3.344140e-02 3.354402e-02 1.962217e-05 3.363437e-02 1.888305e-05
3.350000e-02 3.344140e-02 3.354496e-02 1.965604e-05 3.363638e-02 1.894009e-05
3.400000e-02 3.344140e-02 3.354589e-02 1.968951e-05 3.363837e-02 1.899502e-05
3.450000e-02 3.344140e-02 3.354682e-02 1.972263e-05 3.364035e-02 1.904799e-05
3.500000e-02 3.344140e-02 3.354775e-02 1.975543e-05 3.364232e-02 1.909914e-05
3.550000e-02 3.344140e-02 3.354868e-02 1.978796e-05 3.364428e-02 1.914858e-05
3.600000e-02 3.344140e-02 3.354961e-02 1.982025e-05 3.364623e-02 1.919640e-05
3.650000e-02 3.344140e-02 3.355054e-02 1.985229e-05 3.364817e-02 1.924270e-05
3.700000e-02 3.344140e-02 3.355146e-02 1.988408e-05 3.365011e-02 1.928760e-05
3.750000e-02 3.344140e-02 3.355239e-02 1.991566e-05 3.365203e-02 1.933122e-05
3.800000e-02 3.344140e-02 3.355331e-02 1.994704e-05 3.365395e-02 1.937365e-05
3.850000e-02 3.344140e-02 3.355424e-02 1.997826e-05 3.365586e-02 1.941499e-05
3.900000e-02 3.344140e-02 3.355516e-02 2.000932e-05 3.365777e-02 1.945534e-05
3.950000e-02 3.344140e-02 3.355608e-02 2.004025e-05 3.365967e-02 1.949478e-05
4.000000e-02 3.344140e-02 3.355700e-02 2.007105e-05 3.366156e-02 1.953338e-05
4.050000e-02 3.344140e-02 3.355793e-02 2.010174e-05 3.366345e-02 1.957122e-05
4.100000e-02 3.344140e-02 3.355885e-02 2.013232e-05 3.366534e-02 1.960836e-05
4.150000e-02 3.344140e-02 3.355977e-02 2.016280e-05 3.366722e-02 1.964486e-05
4.200000e-02 3.344140e-02 3.356069e-02 2.019320e-05 3.366910e-02 1.968078e-05
4.250000e-02 3.344140e-02 3.356161e-02 2.022350e-05 3.367098e-02 1.971617e-05
4.300000e-02 3.344140e-02 3.356253e-02 2.025373e-05 3.367285e-02 1.975107e-05
4.350000e-02 3.344140e-02 3.356345e-02 2.028388e-05 3.367472e-02 1.978553e-05
4.400000e-02 3.344140e-02 3.356437e-02 2.031395e-05 3.367659e-02 1.981957e-05
4.450000e-02 3.344140e-02 3.356529e-02 2.034395e-05 3.367846e-02 1.985323e-05
4.500000e-02 3.344140e-02 3.356621e-02 2.037389e-05 3.368033e-02 1.988651e-05
4.550000e-02 3.344140e-02 3.356713e-02 2.040375e-05 3.368220e-02 1.991944e-05
4.600000e-02 3.344140e-02 3.356805e-02 2.043355e-05 3.368406e-02 1.995206e-05
4.650000e-02 3.344140e-02 3.356897e-02 2.046329e-05 3.368593e-02 1.998439e-05
4.700000e-02 3.344140e-02 3.356989e-02 2.049296e-05 3.368779e-02 2.001646e-05
4.750000e-02 3.344140e-02 3.357080e-02 2.052257e-05 3.368965e-02 2.004828e-05
4.800000e-02 3.344140e-02 3.357172e-02 2.055211e-05 3.369151e-02 2.007989e-05
4.850000e-02 3.344140e-02 3.357264e-02 2.058153e-05 3.369337e-02 2.011129e-05
