t mart aus1 fer1 aus2 fer2
0.000000e+00 3.344140e-02 3.363842e-02 1.077469e-05 3.344140e-02 1.077469e-05
5.000250e-03 3.328816e-02 3.368292e-02 1.097370e-05 3.344568e-02 1.087435e-05
1.000050e-02 3.316085e-02 3.372928e-02 1.136508e-05 3.345414e-02 1.107214e-05
1.500075e-02 3.305498e-02 3.377633e-02 1.193041e-05 3.346634e-02 1.136402e-05
2.000100e-02 3.296800e-02 3.382300e-02 1.263820e-05 3.348158e-02 1.174324e-05
2.500125e-02 3.289697e-02 3.386839e-02 1.344509e-05 3.349896e-02 1.220017e-05
3.000150e-02 3.283887e-02 3.391199e-02 1.430039e-05 3.351762e-02 1.272265e-05
3.500175e-02 3.279079e-02 3.395355e-02 1.515345e-05 3.353671e-02 1.329627e-05
4.000200e-02 3.275024e-02 3.399308e-02 1.596185e-05 3.355566e-02 1.390532e-05
4.500225e-02 3.271518e-02 3.403071e-02 1.669679e-05 3.357410e-02 1.453377e-05
5.000250e-02 3.268407e-02 3.406664e-02 1.734505e-05 3.359187e-02 1.516618e-05
5.500275e-02 3.265581e-02 3.410110e-02 1.790638e-05 3.360898e-02 1.578917e-05
6.000300e-02 3.262961e-02 3.413427e-02 1.838933e-05 3.362552e-02 1.639155e-05
6.500325e-02 3.260496e-02 3.416634e-02 1.880648e-05 3.364162e-02 1.696521e-05
7.000350e-02 3.258151e-02 3.419744e-02 1.917155e-05 3.365739e-02 1.750487e-05
7.500375e-02 3.255903e-02 3.422771e-02 1.949689e-05 3.367298e-02 1.800799e-05
8.000400e-02 3.253738e-02 3.425722e-02 1.979254e-05 3.368841e-02 1.847436e-05
8.500425e-02 3.251644e-02 3.428608e-02 2.006646e-05 3.370381e-02 1.890518e-05
9.000450e-02 3.249613e-02 3.431435e-02 2.032463e-05 3.371919e-02 1.930276e-05
9.500475e-02 3.247640e-02 3.434209e-02 2.057141e-05 3.373456e-02 1.967015e-05
1.000050e-01 3.245720e-02 3.436934e-02 2.080897e-05 3.374999e-02 2.001058e-05
1.050053e-01 3.243850e-02 3.439615e-02 2.103863e-05 3.376542e-02 2.032765e-05
1.100055e-01 3.242024e-02 3.442254e-02 2.126211e-05 3.378088e-02 2.062478e-05
1.150058e-01 3.240241e-02 3.444855e-02 2.147983e-05 3.379639e-02 2.090458e-05
1.200060e-01 3.238497e-02 3.447419e-02 2.169209e-05 3.381191e-02 2.116935e-05
1.250063e-01 3.236790e-02 3.449950e-02 2.189962e-05 3.382745e-02 2.142133e-05
1.300065e-01 3.235117e-02 3.452449e-02 2.210271e-05 3.384302e-02 2.166211e-05
1.350068e-01 3.233477e-02 3.454918e-02 2.230110e-05 3.385862e-02 2.189323e-05
1.400070e-01 3.231867e-02 3.457358e-02 2.249497e-05 3.387422e-02 2.211597e-05
1.450073e-01 3.230286e-02 3.459771e-02 2.268477e-05 3.388984e-02 2.233100e-05
1.500075e-01 3.228733e-02 3.462157e-02 2.287061e-05 3.390547e-02 2.253904e-05
1.550078e-01 3.227205e-02 3.464520e-02 2.305205e-05 3.392112e-02 2.274089e-05
1.600080e-01 3.225702e-02 3.466858e-02 2.322911e-05 3.393676e-02 2.293691e-05
1.650083e-01 3.224223e-02 3.469174e-02 2.340231e-05 3.395241e-02 2.312718e-05
1.700085e-01 3.222766e-02 3.471467e-02 2.357189e-05 3.396806e-02 2.331205e-05
1.750088e-01 3.221331e-02 3.473740e-02 2.373758e-05 3.398372e-02 2.349198e-05
1.800090e-01 3.219916e-02 3.475993e-02 2.389905e-05 3.399938e-02 2.366725e-05
