t mart.cavg aust.cavg
1.050000e+00 1.278746e-03 5.662120e-02
1.100000e+00 1.152338e-03 5.680683e-02
1.150000e+00 1.043073e-03 5.697266e-02
1.200000e+00 9.484730e-04 5.712736e-02
1.250000e+00 8.664427e-04 5.727741e-02
1.300000e+00 7.951957e-04 5.742243e-02
1.350000e+00 7.332052e-04 5.755782e-02
1.400000e+00 6.791676e-04 5.767996e-02
1.450000e+00 6.319693e-04 5.778953e-02
1.500000e+00 5.906582e-04 5.789007e-02
1.550000e+00 5.544177e-04 5.798469e-02
1.600000e+00 5.225494e-04 5.807448e-02
1.650000e+00 4.944545e-04 5.815883e-02
1.700000e+00 4.696209e-04 5.823670e-02
1.750000e+00 4.476088e-04 5.830776e-02
1.800000e+00 4.280403e-04 5.837274e-02
1.850000e+00 4.105913e-04 5.843292e-02
1.900000e+00 3.949836e-04 5.848946e-02
1.950000e+00 3.809782e-04 5.854300e-02
2.000000e+00 3.683692e-04 5.859363e-02
2.050000e+00 3.569786e-04 5.864119e-02
2.100000e+00 3.466538e-04 5.868550e-02
2.150000e+00 3.372625e-04 5.872664e-02
2.200000e+00 3.286910e-04 5.876491e-02
2.250000e+00 3.208406e-04 5.880076e-02
2.300000e+00 3.136264e-04 5.883460e-02
2.350000e+00 3.069746e-04 5.886674e-02
2.400000e+00 3.008209e-04 5.889735e-02
2.450000e+00 2.951091e-04 5.892646e-02
2.500000e+00 2.897911e-04 5.895407e-02
2.550000e+00 2.848245e-04 5.898018e-02
2.600000e+00 2.801729e-04 5.900482e-02
2.650000e+00 2.758038e-04 5.902809e-02
2.700000e+00 2.716891e-04 5.905013e-02
2.750000e+00 2.678043e-04 5.907109e-02
2.800000e+00 2.641275e-04 5.909110e-02
2.850000e+00 2.606397e-04 5.911025e-02
2.900000e+00 2.573236e-04 5.912862e-02
2.950000e+00 2.541645e-04 5.914623e-02
3.000000e+00 2.511494e-04 5.916311e-02
3.050000e+00 2.482663e-04 5.917927e-02
3.100000e+00 2.455051e-04 5.919472e-02
3.150000e+00 2.428565e-04 5.920949e-02
3.200000e+00 2.403119e-04 5.922364e-02
3.250000e+00 2.378641e-04 5.923719e-02
3.300000e+00 2.355065e-04 5.925021e-02
3.350000e+00 2.332325e-04 5.926273e-02
3.400000e+00 2.310370e-04 5.927479e-02
3.450000e+00 2.289150e-04 5.928643e-02
3.500000e+00 2.268622e-04 5.929766e-02
3.550000e+00 2.248743e-04 5.930851e-02
3.600000e+00 2.229479e-04 5.931898e-02
3.650000e+00 2.210794e-04 5.932909e-02
3.700000e+00 2.192654e-04 5.933885e-02
3.750000e+00 2.175033e-04 5.934827e-02
3.800000e+00 2.157905e-04 5.935737e-02
3.850000e+00 2.141245e-04 5.936616e-02
3.900000e+00 2.125028e-04 5.937466e-02
3.950000e+00 2.109236e-04 5.938288e-02
4.000000e+00 2.093850e-04 5.939085e-02
4.050000e+00 2.078852e-04 5.939857e-02
4.100000e+00 2.064223e-04 5.940607e-02
4.150000e+00 2.049950e-04 5.941334e-02
4.200000e+00 2.036018e-04 5.942040e-02
4.250000e+00 2.022413e-04 5.942725e-02
