t mart aust
0.000000e+00 1.278746e-03 5.662120e-02
5.000250e-02 1.152338e-03 5.680683e-02
1.000050e-01 1.043073e-03 5.697266e-02
1.500075e-01 9.484730e-04 5.712736e-02
2.000100e-01 8.664427e-04 5.727741e-02
2.500125e-01 7.951957e-04 5.742243e-02
3.000150e-01 7.332052e-04 5.755782e-02
3.500175e-01 6.791676e-04 5.767996e-02
4.000200e-01 6.319693e-04 5.778953e-02
4.500225e-01 5.906582e-04 5.789007e-02
5.000250e-01 5.544177e-04 5.798469e-02
5.500275e-01 5.225494e-04 5.807448e-02
6.000300e-01 4.944545e-04 5.815883e-02
6.500325e-01 4.696209e-04 5.823670e-02
7.000350e-01 4.476088e-04 5.830776e-02
7.500375e-01 4.280403e-04 5.837274e-02
8.000400e-01 4.105913e-04 5.843292e-02
8.500425e-01 3.949836e-04 5.848946e-02
9.000450e-01 3.809782e-04 5.854300e-02
9.500475e-01 3.683692e-04 5.859363e-02
1.000050e+00 3.569786e-04 5.864119e-02
1.050053e+00 3.466538e-04 5.868550e-02
1.100055e+00 3.372625e-04 5.872664e-02
1.150058e+00 3.286910e-04 5.876491e-02
1.200060e+00 3.208406e-04 5.880076e-02
1.250063e+00 3.136264e-04 5.883460e-02
1.300065e+00 3.069746e-04 5.886674e-02
1.350068e+00 3.008209e-04 5.889735e-02
1.400070e+00 2.951091e-04 5.892646e-02
1.450073e+00 2.897911e-04 5.895407e-02
1.500075e+00 2.848245e-04 5.898018e-02
1.550078e+00 2.801729e-04 5.900482e-02
1.600080e+00 2.758038e-04 5.902809e-02
1.650083e+00 2.716891e-04 5.905013e-02
1.700085e+00 2.678043e-04 5.907109e-02
1.750088e+00 2.641275e-04 5.909110e-02
1.800090e+00 2.606397e-04 5.911025e-02
1.850093e+00 2.573236e-04 5.912862e-02
1.900095e+00 2.541645e-04 5.914623e-02
1.950098e+00 2.511494e-04 5.916311e-02
2.000100e+00 2.482663e-04 5.917927e-02
2.050103e+00 2.455051e-04 5.919472e-02
2.100105e+00 2.428565e-04 5.920949e-02
2.150108e+00 2.403119e-04 5.922364e-02
2.200110e+00 2.378641e-04 5.923719e-02
2.250113e+00 2.355065e-04 5.925021e-02
2.300115e+00 2.332325e-04 5.926273e-02
2.350118e+00 2.310370e-04 5.927479e-02
2.400120e+00 2.289150e-04 5.928643e-02
2.450123e+00 2.268622e-04 5.929766e-02
2.500125e+00 2.248743e-04 5.930851e-02
2.550128e+00 2.229479e-04 5.931898e-02
2.600130e+00 2.210794e-04 5.932909e-02
2.650133e+00 2.192654e-04 5.933885e-02
2.700135e+00 2.175033e-04 5.934827e-02
2.750138e+00 2.157905e-04 5.935737e-02
2.800140e+00 2.141245e-04 5.936616e-02
2.850143e+00 2.125028e-04 5.937466e-02
2.900145e+00 2.109236e-04 5.938288e-02
2.950148e+00 2.093850e-04 5.939085e-02
3.000150e+00 2.078852e-04 5.939857e-02
3.050153e+00 2.064223e-04 5.940607e-02
3.100155e+00 2.049950e-04 5.941334e-02
3.150158e+00 2.036018e-04 5.942040e-02
3.200160e+00 2.022413e-04 5.942725e-02
3.250163e+00 2.009119e-04 5.943391e-02
3.300165e+00 1.996126e-04 5.944038e-02
3.350168e+00 1.983422e-04 5.944666e-02
3.400170e+00 1.970998e-04 5.945277e-02
3.450173e+00 1.958841e-04 5.945870e-02
3.500175e+00 1.946939e-04 5.946447e-02
3.550178e+00 1.935286e-04 5.947009e-02
3.600180e+00 1.923874e-04 5.947555e-02
3.650183e+00 1.912694e-04 5.948086e-02
3.700185e+00 1.901738e-04 5.948604e-02
3.750188e+00 1.890999e-04 5.949108e-02
3.800190e+00 1.880470e-04 5.949600e-02
3.850193e+00 1.870146e-04 5.950079e-02
3.900195e+00 1.860018e-04 5.950546e-02
3.950198e+00 1.850081e-04 5.951002e-02
4.000200e+00 1.840327e-04 5.951447e-02
4.050203e+00 1.830752e-04 5.951881e-02
4.100205e+00 1.821351e-04 5.952305e-02
4.150208e+00 1.812118e-04 5.952718e-02
