t mart.cavg aust.cavg
5.000000e-05 3.344140e-02 3.332395e-02
1.000000e-04 3.344181e-02 3.332392e-02
1.500000e-04 3.344184e-02 3.332388e-02
2.000000e-04 3.344187e-02 3.332385e-02
2.500000e-04 3.344190e-02 3.332382e-02
3.000000e-04 3.344192e-02 3.332379e-02
3.500000e-04 3.344195e-02 3.332376e-02
4.000000e-04 3.344198e-02 3.332373e-02
4.500000e-04 3.344200e-02 3.332370e-02
5.000000e-04 3.344203e-02 3.332367e-02
5.500000e-04 3.344206e-02 3.332364e-02
6.000000e-04 3.344208e-02 3.332361e-02
6.500000e-04 3.344211e-02 3.332358e-02
7.000000e-04 3.344214e-02 3.332355e-02
7.500000e-04 3.344216e-02 3.332352e-02
8.000000e-04 3.344219e-02 3.332349e-02
8.500000e-04 3.344222e-02 3.332345e-02
9.000000e-04 3.344224e-02 3.332342e-02
9.500000e-04 3.344227e-02 3.332339e-02
1.000000e-03 3.344229e-02 3.332336e-02
1.050000e-03 3.344232e-02 3.332333e-02
1.100000e-03 3.344235e-02 3.332330e-02
1.150000e-03 3.344237e-02 3.332327e-02
1.200000e-03 3.344240e-02 3.332324e-02
1.250000e-03 3.344242e-02 3.332321e-02
1.300000e-03 3.344245e-02 3.332318e-02
1.350000e-03 3.344248e-02 3.332315e-02
1.400000e-03 3.344250e-02 3.332312e-02
1.450000e-03 3.344253e-02 3.332309e-02
1.500000e-03 3.344255e-02 3.332306e-02
1.550000e-03 3.344258e-02 3.332303e-02
1.600000e-03 3.344260e-02 3.332300e-02
1.650000e-03 3.344263e-02 3.332297e-02
1.700000e-03 3.344266e-02 3.332294e-02
1.750000e-03 3.344268e-02 3.332291e-02
1.800000e-03 3.344271e-02 3.332288e-02
1.850000e-03 3.344273e-02 3.332284e-02
1.900000e-03 3.344276e-02 3.332281e-02
1.950000e-03 3.344278e-02 3.332278e-02
2.000000e-03 3.344281e-02 3.332275e-02
2.050000e-03 3.344283e-02 3.332272e-02
2.100000e-03 3.344286e-02 3.332269e-02
2.150000e-03 3.344288e-02 3.332266e-02
2.200000e-03 3.344291e-02 3.332263e-02
2.250000e-03 3.344293e-02 3.332260e-02
2.300000e-03 3.344296e-02 3.332257e-02
2.350000e-03 3.344299e-02 3.332254e-02
2.400000e-03 3.344301e-02 3.332251e-02
2.450000e-03 3.344304e-02 3.332248e-02
2.500000e-03 3.344306e-02 3.332245e-02
2.550000e-03 3.344309e-02 3.332242e-02
2.600000e-03 3.344311e-02 3.332239e-02
2.650000e-03 3.344314e-02 3.332236e-02
2.700000e-03 3.344316e-02 3.332233e-02
2.750000e-03 3.344319e-02 3.332230e-02
2.800000e-03 3.344321e-02 3.332227e-02
2.850000e-03 3.344324e-02 3.332224e-02
2.900000e-03 3.344326e-02 3.332221e-02
2.950000e-03 3.344329e-02 3.332218e-02
3.000000e-03 3.344331e-02 3.332215e-02
3.050000e-03 3.344334e-02 3.332212e-02
3.100000e-03 3.344336e-02 3.332209e-02
3.150000e-03 3.344339e-02 3.332206e-02
3.200000e-03 3.344341e-02 3.332203e-02
3.250000e-03 3.344344e-02 3.332200e-02
3.300000e-03 3.344346e-02 3.332197e-02
