t mart.cavg aust.cavg
5.000000e-05 3.344140e-02 3.361744e-02
1.000000e-04 3.343233e-02 3.361755e-02
1.500000e-04 3.343173e-02 3.361766e-02
2.000000e-04 3.343112e-02 3.361777e-02
2.500000e-04 3.343052e-02 3.361789e-02
3.000000e-04 3.342992e-02 3.361800e-02
3.500000e-04 3.342932e-02 3.361811e-02
4.000000e-04 3.342873e-02 3.361822e-02
4.500000e-04 3.342813e-02 3.361833e-02
5.000000e-04 3.342754e-02 3.361844e-02
5.500000e-04 3.342695e-02 3.361855e-02
6.000000e-04 3.342636e-02 3.361867e-02
6.500000e-04 3.342577e-02 3.361878e-02
7.000000e-04 3.342518e-02 3.361889e-02
7.500000e-04 3.342460e-02 3.361900e-02
8.000000e-04 3.342401e-02 3.361911e-02
8.500000e-04 3.342343e-02 3.361922e-02
9.000000e-04 3.342285e-02 3.361933e-02
9.500000e-04 3.342227e-02 3.361945e-02
1.000000e-03 3.342169e-02 3.361956e-02
1.050000e-03 3.342111e-02 3.361967e-02
1.100000e-03 3.342054e-02 3.361978e-02
1.150000e-03 3.341996e-02 3.361989e-02
1.200000e-03 3.341939e-02 3.362000e-02
1.250000e-03 3.341881e-02 3.362012e-02
1.300000e-03 3.341824e-02 3.362023e-02
1.350000e-03 3.341767e-02 3.362034e-02
1.400000e-03 3.341710e-02 3.362045e-02
1.450000e-03 3.341653e-02 3.362056e-02
1.500000e-03 3.341596e-02 3.362067e-02
1.550000e-03 3.341539e-02 3.362079e-02
1.600000e-03 3.341483e-02 3.362090e-02
1.650000e-03 3.341426e-02 3.362101e-02
1.700000e-03 3.341370e-02 3.362112e-02
1.750000e-03 3.341313e-02 3.362123e-02
1.800000e-03 3.341257e-02 3.362134e-02
1.850000e-03 3.341200e-02 3.362146e-02
1.900000e-03 3.341144e-02 3.362157e-02
1.950000e-03 3.341088e-02 3.362168e-02
2.000000e-03 3.341032e-02 3.362179e-02
2.050000e-03 3.340976e-02 3.362190e-02
2.100000e-03 3.340920e-02 3.362202e-02
2.150000e-03 3.340864e-02 3.362213e-02
2.200000e-03 3.340808e-02 3.362224e-02
2.250000e-03 3.340752e-02 3.362235e-02
2.300000e-03 3.340697e-02 3.362246e-02
2.350000e-03 3.340641e-02 3.362257e-02
2.400000e-03 3.340585e-02 3.362269e-02
2.450000e-03 3.340530e-02 3.362280e-02
2.500000e-03 3.340474e-02 3.362291e-02
2.550000e-03 3.340419e-02 3.362302e-02
2.600000e-03 3.340364e-02 3.362313e-02
2.650000e-03 3.340308e-02 3.362325e-02
2.700000e-03 3.340253e-02 3.362336e-02
2.750000e-03 3.340198e-02 3.362347e-02
2.800000e-03 3.340143e-02 3.362358e-02
2.850000e-03 3.340088e-02 3.362369e-02
2.900000e-03 3.340032e-02 3.362381e-02
2.950000e-03 3.339977e-02 3.362392e-02
3.000000e-03 3.339922e-02 3.362403e-02
3.050000e-03 3.339868e-02 3.362414e-02
3.100000e-03 3.339813e-02 3.362425e-02
3.150000e-03 3.339758e-02 3.362437e-02
3.200000e-03 3.339703e-02 3.362448e-02
3.250000e-03 3.339648e-02 3.362459e-02
3.300000e-03 3.339594e-02 3.362470e-02
3.350000e-03 3.339539e-02 3.362481e-02
3.400000e-03 3.339484e-02 3.362493e-02
3.450000e-03 3.339430e-02 3.362504e-02
3.500000e-03 3.339375e-02 3.362515e-02
3.550000e-03 3.339321e-02 3.362526e-02
3.600000e-03 3.339266e-02 3.362537e-02
3.650000e-03 3.339212e-02 3.362549e-02
3.700000e-03 3.339158e-02 3.362560e-02
3.750000e-03 3.339103e-02 3.362571e-02
3.800000e-03 3.339049e-02 3.362582e-02
3.850000e-03 3.338995e-02 3.362593e-02
3.900000e-03 3.338941e-02 3.362605e-02
3.950000e-03 3.338886e-02 3.362616e-02
4.000000e-03 3.338832e-02 3.362627e-02
4.050000e-03 3.338778e-02 3.362638e-02
4.100000e-03 3.338724e-02 3.362650e-02
4.150000e-03 3.338670e-02 3.362661e-02
4.200000e-03 3.338616e-02 3.362672e-02
4.250000e-03 3.338562e-02 3.362683e-02
4.300000e-03 3.338508e-02 3.362694e-02
4.350000e-03 3.338454e-02 3.362706e-02
4.400000e-03 3.338401e-02 3.362717e-02
4.450000e-03 3.338347e-02 3.362728e-02
4.500000e-03 3.338293e-02 3.362739e-02
4.550000e-03 3.338239e-02 3.362751e-02
4.600000e-03 3.338186e-02 3.362762e-02
4.650000e-03 3.338132e-02 3.362773e-02
4.700000e-03 3.338078e-02 3.362784e-02
4.750000e-03 3.338025e-02 3.362795e-02
4.800000e-03 3.337971e-02 3.362807e-02
4.850000e-03 3.337918e-02 3.362818e-02
4.900000e-03 3.337864e-02 3.362829e-02
4.950000e-03 3.337811e-02 3.362840e-02
5.000000e-03 3.337757e-02 3.362852e-02
5.050000e-03 3.337704e-02 3.362863e-02
5.100000e-03 3.337651e-02 3.362874e-02
5.150000e-03 3.337597e-02 3.362885e-02
5.200000e-03 3.337544e-02 3.362897e-02
5.250000e-03 3.337491e-02 3.362908e-02
5.300000e-03 3.337437e-02 3.362919e-02
5.350000e-03 3.337384e-02 3.362930e-02
5.400000e-03 3.337331e-02 3.362941e-02
5.450000e-03 3.337278e-02 3.362953e-02
5.500000e-03 3.337225e-02 3.362964e-02
5.550000e-03 3.337172e-02 3.362975e-02
5.600000e-03 3.337119e-02 3.362986e-02
5.650000e-03 3.337066e-02 3.362998e-02
5.700000e-03 3.337013e-02 3.363009e-02
