t mart.ci0 mart.cin aus1.ci0 aus1.cin fer1.ci0 fer1.cin aus2.ci0 aus2.cin fer2.ci0 fer2.cin
0.000000e+00 3.344140e-02 4.206039e-04 1.438319e-01 3.344140e-02 1.077469e-05 1.077469e-05 3.344140e-02 3.344140e-02 1.077469e-05 1.077469e-05
5.000250e-04 3.344140e-02 3.495680e-04 1.367650e-01 3.350292e-02 1.080463e-05 1.080463e-05 3.350292e-02 3.347218e-02 1.078966e-05 1.078966e-05
1.000050e-03 3.344140e-02 3.485121e-04 1.366495e-01 3.362537e-02 1.086448e-05 1.086448e-05 3.362537e-02 3.353359e-02 1.081959e-05 1.081959e-05
1.500075e-03 3.344140e-02 3.661170e-04 1.385310e-01 3.380889e-02 1.095403e-05 1.095403e-05 3.380889e-02 3.362528e-02 1.086443e-05 1.086443e-05
2.000100e-03 3.344140e-02 4.036426e-04 1.422587e-01 3.405284e-02 1.107294e-05 1.107294e-05 3.405283e-02 3.374707e-02 1.092410e-05 1.092410e-05
2.500125e-03 3.344140e-02 4.381390e-04 1.453930e-01 3.435225e-02 1.122064e-05 1.122064e-05 3.435224e-02 3.390039e-02 1.099848e-05 1.099848e-05
3.000150e-03 3.344140e-02 4.550067e-04 1.468375e-01 3.470347e-02 1.139642e-05 1.139641e-05 3.470346e-02 3.408230e-02 1.108739e-05 1.108739e-05
3.500175e-03 3.344140e-02 4.648540e-04 1.476558e-01 3.510930e-02 1.159934e-05 1.159933e-05 3.510928e-02 3.429169e-02 1.119061e-05 1.119061e-05
4.000200e-03 3.344140e-02 4.720923e-04 1.482464e-01 3.555908e-02 1.182820e-05 1.182819e-05 3.555906e-02 3.452727e-02 1.130789e-05 1.130789e-05
4.500225e-03 3.344140e-02 4.821628e-04 1.490531e-01 3.605251e-02 1.208163e-05 1.208161e-05 3.605246e-02 3.478872e-02 1.143892e-05 1.143892e-05
5.000250e-03 3.344140e-02 4.959630e-04 1.501316e-01 3.658190e-02 1.235795e-05 1.235792e-05 3.658183e-02 3.507754e-02 1.158335e-05 1.158335e-05
5.500275e-03 3.344140e-02 5.095775e-04 1.511667e-01 3.714559e-02 1.265530e-05 1.265525e-05 3.714549e-02 3.538820e-02 1.174072e-05 1.174072e-05
