t mart.ci0 mart.cin aus1.ci0 aus1.cin fer1.ci0 fer1.cin aus2.ci0 aus2.cin fer2.ci0 fer2.cin
0.000000e+00 3.344140e-02 3.344140e-02 1.128870e-01 3.344140e-02 1.077469e-05 1.077469e-05 3.344140e-02 3.344140e-02 1.077469e-05 1.077469e-05
5.000250e-03 3.343477e-02 1.053637e-02 1.128870e-01 3.384942e-02 1.097370e-05 1.097370e-05 3.384942e-02 3.364549e-02 1.087435e-05 1.087435e-05
1.000050e-02 3.340785e-02 1.920543e-02 1.128870e-01 3.464128e-02 1.136510e-05 1.136507e-05 3.464123e-02 3.405114e-02 1.107211e-05 1.107211e-05
1.500075e-02 3.334789e-02 2.470599e-02 1.128870e-01 3.575778e-02 1.193048e-05 1.193034e-05 3.575750e-02 3.463867e-02 1.136378e-05 1.136378e-05
2.000100e-02 3.324968e-02 2.521241e-02 1.128870e-01 3.711380e-02 1.263842e-05 1.263798e-05 3.711297e-02 3.539126e-02 1.174229e-05 1.174229e-05
2.500125e-02 3.311595e-02 2.543577e-02 1.128870e-01 3.860204e-02 1.344561e-05 1.344457e-05 3.860017e-02 3.627585e-02 1.219745e-05 1.219745e-05
3.000150e-02 3.295419e-02 2.556920e-02 1.128870e-01 4.012237e-02 1.430141e-05 1.429937e-05 4.011881e-02 3.725989e-02 1.271619e-05 1.271619e-05
3.500175e-02 3.277319e-02 2.567258e-02 1.128870e-01 4.158087e-02 1.515517e-05 1.515172e-05 4.157510e-02 3.830747e-02 1.328292e-05 1.328292e-05
4.000200e-02 3.258083e-02 2.576514e-02 1.128870e-01 4.291627e-02 1.596444e-05 1.595925e-05 4.290782e-02 3.938235e-02 1.388051e-05 1.388051e-05
4.500225e-02 3.238330e-02 2.584579e-02 1.128870e-01 4.409271e-02 1.670030e-05 1.669327e-05 4.408163e-02 4.045181e-02 1.449150e-05 1.449150e-05
5.000250e-02 3.218503e-02 2.591247e-02 1.128870e-01 4.510157e-02 1.734944e-05 1.734066e-05 4.508806e-02 4.148749e-02 1.509934e-05 1.509934e-05
5.500275e-02 3.198900e-02 2.596771e-02 1.128870e-01 4.595471e-02 1.791149e-05 1.790126e-05 4.593929e-02 4.246881e-02 1.569002e-05 1.569002e-05
6.000300e-02 3.179713e-02 2.601481e-02 1.128870e-01 4.667345e-02 1.839496e-05 1.838371e-05 4.665694e-02 4.338155e-02 1.625260e-05 1.625260e-05
6.500325e-02 3.161057e-02 2.605520e-02 1.128870e-01 4.728536e-02 1.881236e-05 1.880059e-05 4.726828e-02 4.421789e-02 1.677990e-05 1.677990e-05
7.000350e-02 3.142996e-02 2.608899e-02 1.128870e-01 4.781097e-02 1.917741e-05 1.916567e-05 4.779406e-02 4.497654e-02 1.726832e-05 1.726832e-05
7.500375e-02 3.125559e-02 2.611629e-02 1.128870e-01 4.827506e-02 1.950251e-05 1.949125e-05 4.825911e-02 4.566130e-02 1.771729e-05 1.771729e-05
8.000400e-02 3.108756e-02 2.613770e-02 1.128870e-01 4.868986e-02 1.979775e-05 1.978732e-05 4.867531e-02 4.627952e-02 1.812839e-05 1.812839e-05
8.500425e-02 3.092579e-02 2.615398e-02 1.128870e-01 4.907214e-02 2.007109e-05 2.006181e-05 4.905922e-02 4.683551e-02 1.850491e-05 1.850491e-05
9.000450e-02 3.077012e-02 2.616573e-02 1.128870e-01 4.942790e-02 2.032859e-05 2.032066e-05 4.941700e-02 4.734120e-02 1.885088e-05 1.885088e-05
9.500475e-02 3.062033e-02 2.617329e-02 1.128870e-01 4.976400e-02 2.057461e-05 2.056818e-05 4.975518e-02 4.780117e-02 1.917060e-05 1.917060e-05
1.000050e-01 3.047619e-02 2.617688e-02 1.128870e-01 5.008665e-02 2.081137e-05 2.080654e-05 5.008011e-02 4.822631e-02 1.946811e-05 1.946811e-05
1.050053e-01 3.033741e-02 2.617674e-02 1.128870e-01 5.039505e-02 2.104022e-05 2.103702e-05 5.039076e-02 4.861892e-02 1.974694e-05 1.974694e-05
1.100055e-01 3.020373e-02 2.617318e-02 1.128870e-01 5.069192e-02 2.126289e-05 2.126132e-05 5.068985e-02 4.898766e-02 2.001043e-05 2.001043e-05
1.150058e-01 3.007487e-02 2.616650e-02 1.128870e-01 5.098066e-02 2.147980e-05 2.147985e-05 5.098073e-02 4.933541e-02 2.026133e-05 2.026133e-05
1.200060e-01 2.995057e-02 2.615700e-02 1.128870e-01 5.125972e-02 2.169127e-05 2.169292e-05 5.126187e-02 4.966504e-02 2.050207e-05 2.050207e-05
1.250063e-01 2.983056e-02 2.614491e-02 1.128870e-01 5.152993e-02 2.189804e-05 2.190122e-05 5.153408e-02 4.998179e-02 2.073413e-05 2.073413e-05
