t mart.ci0 mart.cin aust.ci0 aust.cin
1.050000e+00 1.775333e-03 1.775333e-03 1.428071e-01 1.428071e-01
1.100000e+00 1.579982e-03 1.579982e-03 1.422555e-01 1.422555e-01
1.150000e+00 1.411678e-03 1.411678e-03 1.416413e-01 1.416413e-01
1.200000e+00 1.266563e-03 1.266563e-03 1.409907e-01 1.409907e-01
1.250000e+00 1.141304e-03 1.141304e-03 1.403191e-01 1.403191e-01
1.300000e+00 1.033042e-03 1.033042e-03 1.396359e-01 1.396359e-01
1.350000e+00 9.393367e-04 9.393367e-04 1.389474e-01 1.389474e-01
1.400000e+00 8.581053e-04 8.581053e-04 1.382580e-01 1.382580e-01
1.450000e+00 7.875709e-04 7.875709e-04 1.375715e-01 1.375715e-01
1.500000e+00 7.262172e-04 7.262172e-04 1.368905e-01 1.368905e-01
1.550000e+00 6.727493e-04 6.727493e-04 1.362171e-01 1.362171e-01
1.600000e+00 6.260603e-04 6.260603e-04 1.355530e-01 1.355530e-01
1.650000e+00 5.852039e-04 5.852039e-04 1.348993e-01 1.348993e-01
1.700000e+00 5.493706e-04 5.493706e-04 1.342571e-01 1.342571e-01
1.750000e+00 5.178676e-04 5.178676e-04 1.336269e-01 1.336269e-01
1.800000e+00 4.901015e-04 4.901015e-04 1.330093e-01 1.330093e-01
1.850000e+00 4.655636e-04 4.655636e-04 1.324046e-01 1.324046e-01
1.900000e+00 4.438179e-04 4.438179e-04 1.318131e-01 1.318131e-01
1.950000e+00 4.244905e-04 4.244905e-04 1.312347e-01 1.312347e-01
2.000000e+00 4.072602e-04 4.072602e-04 1.306694e-01 1.306694e-01
2.050000e+00 3.918514e-04 3.918514e-04 1.301173e-01 1.301173e-01
2.100000e+00 3.780267e-04 3.780267e-04 1.295781e-01 1.295781e-01
2.150000e+00 3.655822e-04 3.655822e-04 1.290516e-01 1.290516e-01
2.200000e+00 3.543422e-04 3.543422e-04 1.285376e-01 1.285376e-01
2.250000e+00 3.441551e-04 3.441551e-04 1.280358e-01 1.280358e-01
2.300000e+00 3.348903e-04 3.348903e-04 1.275459e-01 1.275459e-01
2.350000e+00 3.264353e-04 3.264353e-04 1.270675e-01 1.270675e-01
2.400000e+00 3.186925e-04 3.186925e-04 1.266005e-01 1.266005e-01
2.450000e+00 3.115776e-04 3.115776e-04 1.261445e-01 1.261445e-01
2.500000e+00 3.050173e-04 3.050173e-04 1.256990e-01 1.256990e-01
2.550000e+00 2.989483e-04 2.989483e-04 1.252639e-01 1.252639e-01
2.600000e+00 2.933155e-04 2.933155e-04 1.248387e-01 1.248387e-01
2.650000e+00 2.880710e-04 2.880710e-04 1.244232e-01 1.244232e-01
2.700000e+00 2.831732e-04 2.831732e-04 1.240170e-01 1.240170e-01
2.750000e+00 2.785857e-04 2.785857e-04 1.236199e-01 1.236199e-01
2.800000e+00 2.742766e-04 2.742766e-04 1.232314e-01 1.232314e-01
2.850000e+00 2.702183e-04 2.702183e-04 1.228514e-01 1.228514e-01
2.900000e+00 2.663863e-04 2.663863e-04 1.224795e-01 1.224795e-01
2.950000e+00 2.627591e-04 2.627591e-04 1.221155e-01 1.221155e-01
3.000000e+00 2.593179e-04 2.593179e-04 1.217591e-01 1.217591e-01
3.050000e+00 2.560459e-04 2.560459e-04 1.214101e-01 1.214101e-01
3.100000e+00 2.529286e-04 2.529286e-04 1.210681e-01 1.210681e-01
3.150000e+00 2.499529e-04 2.499529e-04 1.207330e-01 1.207330e-01
3.200000e+00 2.471074e-04 2.471074e-04 1.204045e-01 1.204045e-01
3.250000e+00 2.443817e-04 2.443817e-04 1.200824e-01 1.200824e-01
3.300000e+00 2.417667e-04 2.417667e-04 1.197666e-01 1.197666e-01
3.350000e+00 2.392543e-04 2.392543e-04 1.194567e-01 1.194567e-01
3.400000e+00 2.368369e-04 2.368369e-04 1.191527e-01 1.191527e-01
3.450000e+00 2.345080e-04 2.345080e-04 1.188542e-01 1.188542e-01
3.500000e+00 2.322617e-04 2.322617e-04 1.185612e-01 1.185612e-01
3.550000e+00 2.300926e-04 2.300926e-04 1.182735e-01 1.182735e-01
3.600000e+00 2.279960e-04 2.279960e-04 1.179909e-01 1.179909e-01
3.650000e+00 2.259673e-04 2.259673e-04 1.177132e-01 1.177132e-01
3.700000e+00 2.240026e-04 2.240026e-04 1.174403e-01 1.174403e-01
3.750000e+00 2.220982e-04 2.220982e-04 1.171721e-01 1.171721e-01
3.800000e+00 2.202507e-04 2.202507e-04 1.169083e-01 1.169083e-01
3.850000e+00 2.184571e-04 2.184571e-04 1.166490e-01 1.166490e-01
3.900000e+00 2.167145e-04 2.167145e-04 1.163939e-01 1.163939e-01
3.950000e+00 2.150203e-04 2.150203e-04 1.161430e-01 1.161430e-01
4.000000e+00 2.133722e-04 2.133722e-04 1.158960e-01 1.158960e-01
4.050000e+00 2.117680e-04 2.117680e-04 1.156530e-01 1.156530e-01
4.100000e+00 2.102055e-04 2.102055e-04 1.154137e-01 1.154137e-01
4.150000e+00 2.086830e-04 2.086830e-04 1.151781e-01 1.151781e-01
4.200000e+00 2.071987e-04 2.071987e-04 1.149461e-01 1.149461e-01
4.250000e+00 2.057509e-04 2.057509e-04 1.147176e-01 1.147176e-01
4.300000e+00 2.043380e-04 2.043380e-04 1.144924e-01 1.144924e-01
4.350000e+00 2.029586e-04 2.029586e-04 1.142706e-01 1.142706e-01
4.400000e+00 2.016114e-04 2.016114e-04 1.140520e-01 1.140520e-01
4.450000e+00 2.002950e-04 2.002950e-04 1.138365e-01 1.138365e-01
4.500000e+00 1.990083e-04 1.990083e-04 1.136240e-01 1.136240e-01
4.550000e+00 1.977500e-04 1.977500e-04 1.134146e-01 1.134146e-01
4.600000e+00 1.965191e-04 1.965191e-04 1.132080e-01 1.132080e-01
4.650000e+00 1.953145e-04 1.953145e-04 1.130043e-01 1.130043e-01
4.700000e+00 1.941354e-04 1.941354e-04 1.128033e-01 1.128033e-01
4.750000e+00 1.929808e-04 1.929808e-04 1.126050e-01 1.126050e-01
4.800000e+00 1.918499e-04 1.918499e-04 1.124093e-01 1.124093e-01
4.850000e+00 1.907419e-04 1.907419e-04 1.122162e-01 1.122162e-01
4.900000e+00 1.896561e-04 1.896561e-04 1.120256e-01 1.120256e-01
4.950000e+00 1.885917e-04 1.885917e-04 1.118374e-01 1.118374e-01
5.000000e+00 1.875480e-04 1.875480e-04 1.116516e-01 1.116516e-01
5.050000e+00 1.865244e-04 1.865244e-04 1.114682e-01 1.114682e-01
5.100000e+00 1.855202e-04 1.855202e-04 1.112870e-01 1.112870e-01
5.150000e+00 1.845347e-04 1.845347e-04 1.111080e-01 1.111080e-01
5.200000e+00 1.835675e-04 1.835675e-04 1.109313e-01 1.109313e-01
5.250000e+00 1.826180e-04 1.826180e-04 1.107566e-01 1.107566e-01
5.300000e+00 1.816855e-04 1.816855e-04 1.105841e-01 1.105841e-01
5.350000e+00 1.807697e-04 1.807697e-04 1.104135e-01 1.104135e-01
5.400000e+00 1.798699e-04 1.798699e-04 1.102450e-01 1.102450e-01
5.450000e+00 1.789857e-04 1.789857e-04 1.100784e-01 1.100784e-01
5.500000e+00 1.781167e-04 1.781167e-04 1.099138e-01 1.099138e-01
5.550000e+00 1.772624e-04 1.772624e-04 1.097510e-01 1.097510e-01
5.600000e+00 1.764225e-04 1.764225e-04 1.095900e-01 1.095900e-01
5.650000e+00 1.755965e-04 1.755965e-04 1.094308e-01 1.094308e-01
5.700000e+00 1.747841e-04 1.747841e-04 1.092734e-01 1.092734e-01
5.750000e+00 1.739848e-04 1.739848e-04 1.091177e-01 1.091177e-01
5.800000e+00 1.731984e-04 1.731984e-04 1.089637e-01 1.089637e-01
5.850000e+00 1.724246e-04 1.724246e-04 1.088113e-01 1.088113e-01
5.900000e+00 1.716629e-04 1.716629e-04 1.086606e-01 1.086606e-01
5.950000e+00 1.709131e-04 1.709131e-04 1.085115e-01 1.085115e-01
6.000000e+00 1.701749e-04 1.701749e-04 1.083639e-01 1.083639e-01
6.050000e+00 1.694479e-04 1.694479e-04 1.082178e-01 1.082178e-01
6.100000e+00 1.687320e-04 1.687320e-04 1.080733e-01 1.080733e-01
6.150000e+00 1.680267e-04 1.680267e-04 1.079302e-01 1.079302e-01
6.200000e+00 1.673320e-04 1.673320e-04 1.077886e-01 1.077886e-01
6.250000e+00 1.666474e-04 1.666474e-04 1.076484e-01 1.076484e-01
6.300000e+00 1.659728e-04 1.659728e-04 1.075095e-01 1.075095e-01
6.350000e+00 1.653079e-04 1.653079e-04 1.073721e-01 1.073721e-01
6.400000e+00 1.646524e-04 1.646524e-04 1.072360e-01 1.072360e-01
6.450000e+00 1.640061e-04 1.640061e-04 1.071012e-01 1.071012e-01
6.500000e+00 1.633689e-04 1.633689e-04 1.069677e-01 1.069677e-01
6.550000e+00 1.627405e-04 1.627405e-04 1.068355e-01 1.068355e-01
6.600000e+00 1.621208e-04 1.621208e-04 1.067045e-01 1.067045e-01
6.650000e+00 1.615095e-04 1.615095e-04 1.065747e-01 1.065747e-01
6.700000e+00 1.609064e-04 1.609064e-04 1.064462e-01 1.064462e-01
6.750000e+00 1.603114e-04 1.603114e-04 1.063189e-01 1.063189e-01
6.800000e+00 1.597242e-04 1.597242e-04 1.061927e-01 1.061927e-01
6.850000e+00 1.591448e-04 1.591448e-04 1.060676e-01 1.060676e-01
6.900000e+00 1.585729e-04 1.585729e-04 1.059437e-01 1.059437e-01
6.950000e+00 1.580085e-04 1.580085e-04 1.058209e-01 1.058209e-01
7.000000e+00 1.574513e-04 1.574513e-04 1.056992e-01 1.056992e-01
7.050000e+00 1.569011e-04 1.569011e-04 1.055785e-01 1.055785e-01
7.100000e+00 1.563579e-04 1.563579e-04 1.054590e-01 1.054590e-01
7.150000e+00 1.558214e-04 1.558214e-04 1.053404e-01 1.053404e-01
7.200000e+00 1.552915e-04 1.552915e-04 1.052229e-01 1.052229e-01
7.250000e+00 1.547681e-04 1.547681e-04 1.051064e-01 1.051064e-01
7.300000e+00 1.542511e-04 1.542511e-04 1.049908e-01 1.049908e-01
7.350000e+00 1.537403e-04 1.537403e-04 1.048763e-01 1.048763e-01
7.400000e+00 1.532357e-04 1.532357e-04 1.047627e-01 1.047627e-01
7.450000e+00 1.527371e-04 1.527371e-04 1.046500e-01 1.046500e-01
7.500000e+00 1.522443e-04 1.522443e-04 1.045383e-01 1.045383e-01
7.550000e+00 1.517573e-04 1.517573e-04 1.044275e-01 1.044275e-01
7.600000e+00 1.512758e-04 1.512758e-04 1.043176e-01 1.043176e-01
7.650000e+00 1.507999e-04 1.507999e-04 1.042086e-01 1.042086e-01
7.700000e+00 1.503294e-04 1.503294e-04 1.041004e-01 1.041004e-01
7.750000e+00 1.498643e-04 1.498643e-04 1.039931e-01 1.039931e-01
7.800000e+00 1.494044e-04 1.494044e-04 1.038867e-01 1.038867e-01
7.850000e+00 1.489496e-04 1.489496e-04 1.037811e-01 1.037811e-01
7.900000e+00 1.484999e-04 1.484999e-04 1.036763e-01 1.036763e-01
7.950000e+00 1.480552e-04 1.480552e-04 1.035724e-01 1.035724e-01
8.000000e+00 1.476153e-04 1.476153e-04 1.034692e-01 1.034692e-01
8.050000e+00 1.471801e-04 1.471801e-04 1.033668e-01 1.033668e-01
8.100000e+00 1.467497e-04 1.467497e-04 1.032652e-01 1.032652e-01
8.150000e+00 1.463238e-04 1.463238e-04 1.031644e-01 1.031644e-01
8.200000e+00 1.459025e-04 1.459025e-04 1.030643e-01 1.030643e-01
8.250000e+00 1.454857e-04 1.454857e-04 1.029650e-01 1.029650e-01
8.300000e+00 1.450732e-04 1.450732e-04 1.028664e-01 1.028664e-01
8.350000e+00 1.446651e-04 1.446651e-04 1.027686e-01 1.027686e-01
8.400000e+00 1.442612e-04 1.442612e-04 1.026714e-01 1.026714e-01
8.450000e+00 1.438614e-04 1.438614e-04 1.025750e-01 1.025750e-01
8.500000e+00 1.434656e-04 1.434656e-04 1.024793e-01 1.024793e-01
8.550000e+00 1.430738e-04 1.430738e-04 1.023842e-01 1.023842e-01
8.600000e+00 1.426858e-04 1.426858e-04 1.022898e-01 1.022898e-01
8.650000e+00 1.423017e-04 1.423017e-04 1.021961e-01 1.021961e-01
8.700000e+00 1.419214e-04 1.419214e-04 1.021031e-01 1.021031e-01
8.750000e+00 1.415449e-04 1.415449e-04 1.020107e-01 1.020107e-01
8.800000e+00 1.411720e-04 1.411720e-04 1.019189e-01 1.019189e-01
8.850000e+00 1.408027e-04 1.408027e-04 1.018278e-01 1.018278e-01
8.900000e+00 1.404370e-04 1.404370e-04 1.017373e-01 1.017373e-01
8.950000e+00 1.400748e-04 1.400748e-04 1.016475e-01 1.016475e-01
9.000000e+00 1.397161e-04 1.397161e-04 1.015582e-01 1.015582e-01
9.050000e+00 1.393607e-04 1.393607e-04 1.014696e-01 1.014696e-01
9.100000e+00 1.390087e-04 1.390087e-04 1.013815e-01 1.013815e-01
9.150000e+00 1.386600e-04 1.386600e-04 1.012940e-01 1.012940e-01
9.200000e+00 1.383145e-04 1.383145e-04 1.012071e-01 1.012071e-01
9.250000e+00 1.379722e-04 1.379722e-04 1.011208e-01 1.011208e-01
9.300000e+00 1.376330e-04 1.376330e-04 1.010351e-01 1.010351e-01
9.350000e+00 1.372970e-04 1.372970e-04 1.009499e-01 1.009499e-01
9.400000e+00 1.369640e-04 1.369640e-04 1.008652e-01 1.008652e-01
9.450000e+00 1.366340e-04 1.366340e-04 1.007811e-01 1.007811e-01
9.500000e+00 1.363071e-04 1.363071e-04 1.006976e-01 1.006976e-01
9.550000e+00 1.359830e-04 1.359830e-04 1.006146e-01 1.006146e-01
9.600000e+00 1.356617e-04 1.356617e-04 1.005321e-01 1.005321e-01
9.650000e+00 1.353433e-04 1.353433e-04 1.004501e-01 1.004501e-01
9.700000e+00 1.350276e-04 1.350276e-04 1.003687e-01 1.003687e-01
9.750000e+00 1.347146e-04 1.347146e-04 1.002877e-01 1.002877e-01
9.800000e+00 1.344044e-04 1.344044e-04 1.002073e-01 1.002073e-01
9.850000e+00 1.340967e-04 1.340967e-04 1.001273e-01 1.001273e-01
9.900000e+00 1.337917e-04 1.337917e-04 1.000479e-01 1.000479e-01
9.950000e+00 1.334893e-04 1.334893e-04 9.996890e-02 9.996890e-02
1.000000e+01 1.331895e-04 1.331895e-04 9.989041e-02 9.989041e-02
1.005000e+01 1.328922e-04 1.328922e-04 9.981239e-02 9.981239e-02
1.010000e+01 1.325974e-04 1.325974e-04 9.973484e-02 9.973484e-02
1.015000e+01 1.323050e-04 1.323050e-04 9.965777e-02 9.965777e-02
1.020000e+01 1.320151e-04 1.320151e-04 9.958116e-02 9.958116e-02
1.025000e+01 1.317274e-04 1.317274e-04 9.950499e-02 9.950499e-02
1.030000e+01 1.314421e-04 1.314421e-04 9.942928e-02 9.942928e-02
1.035000e+01 1.311591e-04 1.311591e-04 9.935401e-02 9.935401e-02
1.040000e+01 1.308783e-04 1.308783e-04 9.927917e-02 9.927917e-02
1.045000e+01 1.305998e-04 1.305998e-04 9.920477e-02 9.920477e-02
1.050000e+01 1.303234e-04 1.303234e-04 9.913080e-02 9.913080e-02
1.055000e+01 1.300493e-04 1.300493e-04 9.905725e-02 9.905725e-02
1.060000e+01 1.297773e-04 1.297773e-04 9.898413e-02 9.898413e-02
1.065000e+01 1.295075e-04 1.295075e-04 9.891141e-02 9.891141e-02
1.070000e+01 1.292398e-04 1.292398e-04 9.883911e-02 9.883911e-02
1.075000e+01 1.289742e-04 1.289742e-04 9.876722e-02 9.876722e-02
1.080000e+01 1.287107e-04 1.287107e-04 9.869574e-02 9.869574e-02
1.085000e+01 1.284491e-04 1.284491e-04 9.862466e-02 9.862466e-02
