t mart.ci0 mart.cin aust.ci0 aust.cin
0.000000e+00 1.775333e-03 4.094762e-04 1.428071e-01 3.344140e-02
5.000250e-02 1.579982e-03 4.036086e-04 1.422555e-01 3.344140e-02
1.000050e-01 1.411678e-03 3.971744e-04 1.416413e-01 3.344140e-02
1.500075e-01 1.266563e-03 3.904654e-04 1.409907e-01 3.344140e-02
2.000100e-01 1.141304e-03 3.836626e-04 1.403191e-01 3.344140e-02
2.500125e-01 1.033042e-03 3.768647e-04 1.396359e-01 3.344140e-02
3.000150e-01 9.393367e-04 3.701313e-04 1.389474e-01 3.344140e-02
3.500175e-01 8.581053e-04 3.635079e-04 1.382580e-01 3.344140e-02
4.000200e-01 7.875709e-04 3.570286e-04 1.375715e-01 3.344140e-02
4.500225e-01 7.262172e-04 3.507188e-04 1.368905e-01 3.344140e-02
5.000250e-01 6.727493e-04 3.445861e-04 1.362171e-01 3.344140e-02
5.500275e-01 6.260603e-04 3.386408e-04 1.355530e-01 3.344140e-02
6.000300e-01 5.852039e-04 3.328864e-04 1.348993e-01 3.344140e-02
6.500325e-01 5.493706e-04 3.273276e-04 1.342571e-01 3.344140e-02
7.000350e-01 5.178676e-04 3.219630e-04 1.336269e-01 3.344140e-02
7.500375e-01 4.901015e-04 3.167877e-04 1.330093e-01 3.344140e-02
8.000400e-01 4.655636e-04 3.117993e-04 1.324046e-01 3.344140e-02
8.500425e-01 4.438179e-04 3.069935e-04 1.318131e-01 3.344140e-02
9.000450e-01 4.244905e-04 3.023664e-04 1.312347e-01 3.344140e-02
9.500475e-01 4.072602e-04 2.979118e-04 1.306694e-01 3.344140e-02
1.000050e+00 3.918514e-04 2.936210e-04 1.301173e-01 3.344140e-02
1.050053e+00 3.780267e-04 2.894894e-04 1.295781e-01 3.344140e-02
1.100055e+00 3.655822e-04 2.855095e-04 1.290516e-01 3.344140e-02
1.150058e+00 3.543422e-04 2.816756e-04 1.285376e-01 3.344140e-02
1.200060e+00 3.441551e-04 2.779807e-04 1.280358e-01 3.344140e-02
1.250063e+00 3.348903e-04 2.744203e-04 1.275459e-01 3.344140e-02
1.300065e+00 3.264353e-04 2.709881e-04 1.270675e-01 3.344140e-02
1.350068e+00 3.186925e-04 2.676771e-04 1.266005e-01 3.344140e-02
1.400070e+00 3.115776e-04 2.644796e-04 1.261445e-01 3.344140e-02
1.450073e+00 3.050173e-04 2.613934e-04 1.256990e-01 3.344140e-02
1.500075e+00 2.989483e-04 2.584114e-04 1.252639e-01 3.344140e-02
1.550078e+00 2.933155e-04 2.555305e-04 1.248387e-01 3.344140e-02
1.600080e+00 2.880710e-04 2.527447e-04 1.244232e-01 3.344140e-02
1.650083e+00 2.831732e-04 2.500503e-04 1.240170e-01 3.344140e-02
1.700085e+00 2.785857e-04 2.474429e-04 1.236199e-01 3.344140e-02
1.750088e+00 2.742766e-04 2.449179e-04 1.232314e-01 3.344140e-02
1.800090e+00 2.702183e-04 2.424725e-04 1.228514e-01 3.344140e-02
1.850093e+00 2.663863e-04 2.401010e-04 1.224795e-01 3.344140e-02
1.900095e+00 2.627591e-04 2.378010e-04 1.221155e-01 3.344140e-02
1.950098e+00 2.593179e-04 2.355704e-04 1.217591e-01 3.344140e-02
2.000100e+00 2.560459e-04 2.334047e-04 1.214101e-01 3.344140e-02
2.050103e+00 2.529286e-04 2.313022e-04 1.210681e-01 3.344140e-02
2.100105e+00 2.499529e-04 2.292602e-04 1.207330e-01 3.344140e-02
2.150108e+00 2.471074e-04 2.272748e-04 1.204045e-01 3.344140e-02
2.200110e+00 2.443817e-04 2.253448e-04 1.200824e-01 3.344140e-02
2.250113e+00 2.417667e-04 2.234678e-04 1.197666e-01 3.344140e-02
2.300115e+00 2.392543e-04 2.216395e-04 1.194567e-01 3.344140e-02
2.350118e+00 2.368369e-04 2.198597e-04 1.191527e-01 3.344140e-02
2.400120e+00 2.345080e-04 2.181267e-04 1.188542e-01 3.344140e-02
2.450123e+00 2.322617e-04 2.164379e-04 1.185612e-01 3.344140e-02
2.500125e+00 2.300926e-04 2.147916e-04 1.182735e-01 3.344140e-02
2.550128e+00 2.279960e-04 2.131868e-04 1.179909e-01 3.344140e-02
2.600130e+00 2.259673e-04 2.116216e-04 1.177132e-01 3.344140e-02
2.650133e+00 2.240026e-04 2.100927e-04 1.174403e-01 3.344140e-02
2.700135e+00 2.220982e-04 2.086005e-04 1.171721e-01 3.344140e-02
2.750138e+00 2.202507e-04 2.071438e-04 1.169083e-01 3.344140e-02
2.800140e+00 2.184571e-04 2.057206e-04 1.166490e-01 3.344140e-02
2.850143e+00 2.167145e-04 2.043290e-04 1.163939e-01 3.344140e-02
2.900145e+00 2.150203e-04 2.029691e-04 1.161430e-01 3.344140e-02
2.950148e+00 2.133722e-04 2.016397e-04 1.158960e-01 3.344140e-02
3.000150e+00 2.117680e-04 2.003394e-04 1.156530e-01 3.344140e-02
3.050153e+00 2.102055e-04 1.990671e-04 1.154137e-01 3.344140e-02
3.100155e+00 2.086830e-04 1.978222e-04 1.151781e-01 3.344140e-02
3.150158e+00 2.071987e-04 1.966038e-04 1.149461e-01 3.344140e-02
3.200160e+00 2.057509e-04 1.954109e-04 1.147176e-01 3.344140e-02
3.250163e+00 2.043380e-04 1.942414e-04 1.144924e-01 3.344140e-02
3.300165e+00 2.029586e-04 1.930958e-04 1.142706e-01 3.344140e-02
3.350168e+00 2.016114e-04 1.919734e-04 1.140520e-01 3.344140e-02
3.400170e+00 2.002950e-04 1.908734e-04 1.138365e-01 3.344140e-02
3.450173e+00 1.990083e-04 1.897941e-04 1.136240e-01 3.344140e-02
3.500175e+00 1.977500e-04 1.887348e-04 1.134146e-01 3.344140e-02
3.550178e+00 1.965191e-04 1.876960e-04 1.132080e-01 3.344140e-02
3.600180e+00 1.953145e-04 1.866769e-04 1.130043e-01 3.344140e-02
3.650183e+00 1.941354e-04 1.856770e-04 1.128033e-01 3.344140e-02
3.700185e+00 1.929808e-04 1.846954e-04 1.126050e-01 3.344140e-02
3.750188e+00 1.918499e-04 1.837315e-04 1.124093e-01 3.344140e-02
3.800190e+00 1.907419e-04 1.827852e-04 1.122162e-01 3.344140e-02
3.850193e+00 1.896561e-04 1.818559e-04 1.120256e-01 3.344140e-02
3.900195e+00 1.885917e-04 1.809431e-04 1.118374e-01 3.344140e-02
3.950198e+00 1.875480e-04 1.800459e-04 1.116516e-01 3.344140e-02
4.000200e+00 1.865244e-04 1.791637e-04 1.114682e-01 3.344140e-02
4.050203e+00 1.855202e-04 1.782966e-04 1.112870e-01 3.344140e-02
4.100205e+00 1.845347e-04 1.774443e-04 1.111080e-01 3.344140e-02
4.150208e+00 1.835675e-04 1.766063e-04 1.109313e-01 3.344140e-02
4.200210e+00 1.826180e-04 1.757823e-04 1.107566e-01 3.344140e-02
4.250213e+00 1.816855e-04 1.749706e-04 1.105841e-01 3.344140e-02
4.300215e+00 1.807697e-04 1.741719e-04 1.104135e-01 3.344140e-02
4.350218e+00 1.798699e-04 1.733861e-04 1.102450e-01 3.344140e-02
