t mart.ci0 mart.cin aust.ci0 aust.cin
5.000000e-05 3.344140e-02 3.344140e-02 1.019283e-02 3.344140e-02
1.000000e-04 3.344140e-02 3.345653e-02 1.019283e-02 3.344140e-02
1.500000e-04 3.344140e-02 3.345693e-02 1.019283e-02 3.344140e-02
2.000000e-04 3.344140e-02 3.345732e-02 1.019283e-02 3.344140e-02
2.500000e-04 3.344140e-02 3.345771e-02 1.019283e-02 3.344140e-02
3.000000e-04 3.344140e-02 3.345809e-02 1.019283e-02 3.344140e-02
3.500000e-04 3.344140e-02 3.345846e-02 1.019283e-02 3.344140e-02
4.000000e-04 3.344140e-02 3.345882e-02 1.019283e-02 3.344140e-02
4.500000e-04 3.344140e-02 3.345918e-02 1.019283e-02 3.344140e-02
5.000000e-04 3.344140e-02 3.345954e-02 1.019283e-02 3.344140e-02
5.500000e-04 3.344140e-02 3.345989e-02 1.019283e-02 3.344140e-02
6.000000e-04 3.344140e-02 3.346023e-02 1.019283e-02 3.344140e-02
6.500000e-04 3.344140e-02 3.346057e-02 1.019283e-02 3.344140e-02
7.000000e-04 3.344140e-02 3.346090e-02 1.019283e-02 3.344140e-02
7.500000e-04 3.344140e-02 3.346123e-02 1.019283e-02 3.344140e-02
8.000000e-04 3.344140e-02 3.346155e-02 1.019283e-02 3.344140e-02
8.500000e-04 3.344140e-02 3.346187e-02 1.019283e-02 3.344140e-02
9.000000e-04 3.344140e-02 3.346218e-02 1.019283e-02 3.344140e-02
9.500000e-04 3.344140e-02 3.346249e-02 1.019283e-02 3.344140e-02
1.000000e-03 3.344140e-02 3.346280e-02 1.019283e-02 3.344140e-02
1.050000e-03 3.344140e-02 3.346310e-02 1.019283e-02 3.344140e-02
1.100000e-03 3.344140e-02 3.346340e-02 1.019283e-02 3.344140e-02
1.150000e-03 3.344140e-02 3.346369e-02 1.019283e-02 3.344140e-02
1.200000e-03 3.344140e-02 3.346398e-02 1.019283e-02 3.344140e-02
1.250000e-03 3.344140e-02 3.346427e-02 1.019283e-02 3.344140e-02
1.300000e-03 3.344140e-02 3.346455e-02 1.019283e-02 3.344140e-02
1.350000e-03 3.344140e-02 3.346483e-02 1.019283e-02 3.344140e-02
1.400000e-03 3.344140e-02 3.346511e-02 1.019283e-02 3.344140e-02
1.450000e-03 3.344140e-02 3.346538e-02 1.019283e-02 3.344140e-02
1.500000e-03 3.344140e-02 3.346565e-02 1.019283e-02 3.344140e-02
1.550000e-03 3.344140e-02 3.346592e-02 1.019283e-02 3.344140e-02
1.600000e-03 3.344140e-02 3.346618e-02 1.019283e-02 3.344140e-02
1.650000e-03 3.344140e-02 3.346645e-02 1.019283e-02 3.344140e-02
1.700000e-03 3.344140e-02 3.346670e-02 1.019283e-02 3.344140e-02
1.750000e-03 3.344140e-02 3.346696e-02 1.019283e-02 3.344140e-02
1.800000e-03 3.344140e-02 3.346721e-02 1.019283e-02 3.344140e-02
1.850000e-03 3.344140e-02 3.346747e-02 1.019283e-02 3.344140e-02
1.900000e-03 3.344140e-02 3.346771e-02 1.019283e-02 3.344140e-02
1.950000e-03 3.344140e-02 3.346796e-02 1.019283e-02 3.344140e-02
2.000000e-03 3.344140e-02 3.346820e-02 1.019283e-02 3.344140e-02
2.050000e-03 3.344140e-02 3.346845e-02 1.019283e-02 3.344140e-02
2.100000e-03 3.344140e-02 3.346869e-02 1.019283e-02 3.344140e-02
2.150000e-03 3.344140e-02 3.346892e-02 1.019283e-02 3.344140e-02
2.200000e-03 3.344140e-02 3.346916e-02 1.019283e-02 3.344140e-02
2.250000e-03 3.344140e-02 3.346939e-02 1.019283e-02 3.344140e-02
2.300000e-03 3.344140e-02 3.346962e-02 1.019283e-02 3.344140e-02
2.350000e-03 3.344140e-02 3.346985e-02 1.019283e-02 3.344140e-02
2.400000e-03 3.344140e-02 3.347008e-02 1.019283e-02 3.344140e-02
2.450000e-03 3.344140e-02 3.347030e-02 1.019283e-02 3.344140e-02
2.500000e-03 3.344140e-02 3.347053e-02 1.019283e-02 3.344140e-02
2.550000e-03 3.344140e-02 3.347075e-02 1.019283e-02 3.344140e-02
2.600000e-03 3.344140e-02 3.347097e-02 1.019283e-02 3.344140e-02
2.650000e-03 3.344140e-02 3.347119e-02 1.019283e-02 3.344140e-02
2.700000e-03 3.344140e-02 3.347140e-02 1.019283e-02 3.344140e-02
2.750000e-03 3.344140e-02 3.347162e-02 1.019283e-02 3.344140e-02
2.800000e-03 3.344140e-02 3.347183e-02 1.019283e-02 3.344140e-02
2.850000e-03 3.344140e-02 3.347204e-02 1.019283e-02 3.344140e-02
2.900000e-03 3.344140e-02 3.347225e-02 1.019283e-02 3.344140e-02
2.950000e-03 3.344140e-02 3.347246e-02 1.019283e-02 3.344140e-02
3.000000e-03 3.344140e-02 3.347267e-02 1.019283e-02 3.344140e-02
3.050000e-03 3.344140e-02 3.347287e-02 1.019283e-02 3.344140e-02
3.100000e-03 3.344140e-02 3.347308e-02 1.019283e-02 3.344140e-02
3.150000e-03 3.344140e-02 3.347328e-02 1.019283e-02 3.344140e-02
3.200000e-03 3.344140e-02 3.347348e-02 1.019283e-02 3.344140e-02
3.250000e-03 3.344140e-02 3.347368e-02 1.019283e-02 3.344140e-02
3.300000e-03 3.344140e-02 3.347388e-02 1.019283e-02 3.344140e-02
3.350000e-03 3.344140e-02 3.347408e-02 1.019283e-02 3.344140e-02
3.400000e-03 3.344140e-02 3.347427e-02 1.019283e-02 3.344140e-02
3.450000e-03 3.344140e-02 3.347447e-02 1.019283e-02 3.344140e-02
3.500000e-03 3.344140e-02 3.347466e-02 1.019283e-02 3.344140e-02
3.550000e-03 3.344140e-02 3.347485e-02 1.019283e-02 3.344140e-02
