t mart.ci0 mart.cin aust.ci0 aust.cin
5.000000e-04 3.344140e-02 3.344140e-02 7.940147e-02 3.344140e-02
1.000000e-03 3.344140e-02 3.254803e-02 7.940147e-02 3.344140e-02
1.500000e-03 3.344140e-02 3.240014e-02 7.940147e-02 3.344140e-02
2.000000e-03 3.344140e-02 3.226789e-02 7.940147e-02 3.344140e-02
2.500000e-03 3.344140e-02 3.214938e-02 7.940147e-02 3.344140e-02
3.000000e-03 3.344140e-02 3.204187e-02 7.940147e-02 3.344140e-02
3.500000e-03 3.344140e-02 3.194333e-02 7.940147e-02 3.344140e-02
4.000000e-03 3.344140e-02 3.185228e-02 7.940147e-02 3.344140e-02
4.500000e-03 3.344140e-02 3.176757e-02 7.940147e-02 3.344140e-02
5.000000e-03 3.344140e-02 3.168831e-02 7.940147e-02 3.344140e-02
5.500000e-03 3.344140e-02 3.161381e-02 7.940147e-02 3.344140e-02
6.000000e-03 3.344140e-02 3.154352e-02 7.940147e-02 3.344140e-02
6.500000e-03 3.344140e-02 3.147696e-02 7.940147e-02 3.344140e-02
7.000000e-03 3.344140e-02 3.141377e-02 7.940147e-02 3.344140e-02
7.500000e-03 3.344140e-02 3.135362e-02 7.940147e-02 3.344140e-02
8.000000e-03 3.344140e-02 3.129627e-02 7.940147e-02 3.344140e-02
8.500000e-03 3.344140e-02 3.124147e-02 7.940147e-02 3.344140e-02
9.000000e-03 3.344140e-02 3.118902e-02 7.940147e-02 3.344140e-02
9.500000e-03 3.344140e-02 3.113877e-02 7.940147e-02 3.344140e-02
1.000000e-02 3.344140e-02 3.109056e-02 7.940147e-02 3.344140e-02
1.050000e-02 3.344140e-02 3.104426e-02 7.940147e-02 3.344140e-02
1.100000e-02 3.344140e-02 3.099974e-02 7.940147e-02 3.344140e-02
1.150000e-02 3.344140e-02 3.095692e-02 7.940147e-02 3.344140e-02
1.200000e-02 3.344140e-02 3.091568e-02 7.940147e-02 3.344140e-02
1.250000e-02 3.344140e-02 3.087595e-02 7.940147e-02 3.344140e-02
1.300000e-02 3.344140e-02 3.083765e-02 7.940147e-02 3.344140e-02
1.350000e-02 3.344140e-02 3.080072e-02 7.940147e-02 3.344140e-02
1.400000e-02 3.344140e-02 3.076507e-02 7.940147e-02 3.344140e-02
1.450000e-02 3.344140e-02 3.073067e-02 7.940147e-02 3.344140e-02
1.500000e-02 3.344140e-02 3.069745e-02 7.940147e-02 3.344140e-02
1.550000e-02 3.344140e-02 3.066536e-02 7.940147e-02 3.344140e-02
1.600000e-02 3.344139e-02 3.063436e-02 7.940147e-02 3.344140e-02
1.650000e-02 3.344139e-02 3.060441e-02 7.940147e-02 3.344140e-02
1.700000e-02 3.344139e-02 3.057546e-02 7.940147e-02 3.344140e-02
1.750000e-02 3.344139e-02 3.054748e-02 7.940147e-02 3.344140e-02
1.800000e-02 3.344138e-02 3.052043e-02 7.940147e-02 3.344140e-02
1.850000e-02 3.344138e-02 3.049428e-02 7.940147e-02 3.344140e-02
1.900000e-02 3.344137e-02 3.046901e-02 7.940147e-02 3.344140e-02
1.950000e-02 3.344137e-02 3.044457e-02 7.940147e-02 3.344140e-02
2.000000e-02 3.344136e-02 3.042095e-02 7.940147e-02 3.344140e-02
2.050000e-02 3.344135e-02 3.039812e-02 7.940147e-02 3.344140e-02
2.100000e-02 3.344134e-02 3.037605e-02 7.940147e-02 3.344140e-02
2.150000e-02 3.344133e-02 3.035472e-02 7.940147e-02 3.344140e-02
2.200000e-02 3.344131e-02 3.033412e-02 7.940147e-02 3.344140e-02
2.250000e-02 3.344129e-02 3.031421e-02 7.940147e-02 3.344140e-02
2.300000e-02 3.344127e-02 3.029498e-02 7.940147e-02 3.344140e-02
2.350000e-02 3.344125e-02 3.027641e-02 7.940147e-02 3.344140e-02
2.400000e-02 3.344122e-02 3.025848e-02 7.940147e-02 3.344140e-02
2.450000e-02 3.344119e-02 3.024118e-02 7.940147e-02 3.344140e-02
2.500000e-02 3.344116e-02 3.022449e-02 7.940147e-02 3.344140e-02
2.550000e-02 3.344112e-02 3.020839e-02 7.940147e-02 3.344140e-02
2.600000e-02 3.344107e-02 3.019287e-02 7.940147e-02 3.344140e-02
2.650000e-02 3.344102e-02 3.017791e-02 7.940147e-02 3.344140e-02
2.700000e-02 3.344097e-02 3.016351e-02 7.940147e-02 3.344140e-02
2.750000e-02 3.344091e-02 3.014964e-02 7.940147e-02 3.344140e-02
2.800000e-02 3.344084e-02 3.013629e-02 7.940147e-02 3.344140e-02
2.850000e-02 3.344076e-02 3.012345e-02 7.940147e-02 3.344140e-02
2.900000e-02 3.344068e-02 3.011111e-02 7.940147e-02 3.344140e-02
2.950000e-02 3.344059e-02 3.009926e-02 7.940147e-02 3.344140e-02
3.000000e-02 3.344049e-02 3.008789e-02 7.940147e-02 3.344140e-02
3.050000e-02 3.344038e-02 3.007697e-02 7.940147e-02 3.344140e-02
3.100000e-02 3.344027e-02 3.006652e-02 7.940147e-02 3.344140e-02
3.150000e-02 3.344014e-02 3.005651e-02 7.940147e-02 3.344140e-02
3.200000e-02 3.344000e-02 3.004693e-02 7.940147e-02 3.344140e-02
3.250000e-02 3.343985e-02 3.003778e-02 7.940147e-02 3.344140e-02
3.300000e-02 3.343969e-02 3.002904e-02 7.940147e-02 3.344140e-02
3.350000e-02 3.343952e-02 3.002071e-02 7.940147e-02 3.344140e-02
3.400000e-02 3.343933e-02 3.001277e-02 7.940147e-02 3.344140e-02
3.450000e-02 3.343913e-02 3.000523e-02 7.940147e-02 3.344140e-02
3.500000e-02 3.343892e-02 2.999806e-02 7.940147e-02 3.344140e-02
3.550000e-02 3.343869e-02 2.999127e-02 7.940147e-02 3.344140e-02
3.600000e-02 3.343845e-02 2.998484e-02 7.940147e-02 3.344140e-02
3.650000e-02 3.343819e-02 2.997877e-02 7.940147e-02 3.344140e-02
3.700000e-02 3.343792e-02 2.997304e-02 7.940147e-02 3.344140e-02
3.750000e-02 3.343763e-02 2.996766e-02 7.940147e-02 3.344140e-02
3.800000e-02 3.343732e-02 2.996261e-02 7.940147e-02 3.344140e-02
3.850000e-02 3.343699e-02 2.995788e-02 7.940147e-02 3.344140e-02
3.900000e-02 3.343665e-02 2.995348e-02 7.940147e-02 3.344140e-02
3.950000e-02 3.343629e-02 2.994939e-02 7.940147e-02 3.344140e-02
4.000000e-02 3.343591e-02 2.994560e-02 7.940147e-02 3.344140e-02
4.050000e-02 3.343551e-02 2.994212e-02 7.940147e-02 3.344140e-02
4.100000e-02 3.343508e-02 2.993893e-02 7.940147e-02 3.344140e-02
4.150000e-02 3.343464e-02 2.993602e-02 7.940147e-02 3.344140e-02
4.200000e-02 3.343418e-02 2.993340e-02 7.940147e-02 3.344140e-02
4.250000e-02 3.343369e-02 2.993105e-02 7.940147e-02 3.344140e-02
4.300000e-02 3.343319e-02 2.992896e-02 7.940147e-02 3.344140e-02
4.350000e-02 3.343266e-02 2.992714e-02 7.940147e-02 3.344140e-02
4.400000e-02 3.343211e-02 2.992558e-02 7.940147e-02 3.344140e-02
4.450000e-02 3.343153e-02 2.992427e-02 7.940147e-02 3.344140e-02
4.500000e-02 3.343093e-02 2.992320e-02 7.940147e-02 3.344140e-02
4.550000e-02 3.343031e-02 2.992238e-02 7.940147e-02 3.344140e-02
4.600000e-02 3.342966e-02 2.992178e-02 7.940147e-02 3.344140e-02
4.650000e-02 3.342898e-02 2.992142e-02 7.940147e-02 3.344140e-02
4.700000e-02 3.342829e-02 2.992128e-02 7.940147e-02 3.344140e-02
4.750000e-02 3.342756e-02 2.992136e-02 7.940147e-02 3.344140e-02
4.800000e-02 3.342681e-02 2.992166e-02 7.940147e-02 3.344140e-02
4.850000e-02 3.342603e-02 2.992216e-02 7.940147e-02 3.344140e-02
4.900000e-02 3.342523e-02 2.992287e-02 7.940147e-02 3.344140e-02
4.950000e-02 3.342440e-02 2.992377e-02 7.940147e-02 3.344140e-02
5.000000e-02 3.342354e-02 2.992487e-02 7.940147e-02 3.344140e-02
