# n=270
# ti=0.05 tf=10 tstep=0.05 ntime=200
z c strct
-1.160000e+00 3.315806e-02 mart
-1.149796e+00 3.315364e-02 mart
-1.139592e+00 3.314037e-02 mart
-1.129388e+00 3.311801e-02 mart
-1.119184e+00 3.308615e-02 mart
-1.108980e+00 3.304423e-02 mart
-1.098776e+00 3.299150e-02 mart
-1.088571e+00 3.292708e-02 mart
-1.078367e+00 3.284990e-02 mart
-1.068163e+00 3.275874e-02 mart
-1.057959e+00 3.265222e-02 mart
-1.047755e+00 3.252882e-02 mart
-1.037551e+00 3.238684e-02 mart
-1.027347e+00 3.222446e-02 mart
-1.017143e+00 3.203972e-02 mart
-1.006939e+00 3.183054e-02 mart
-9.967347e-01 3.159475e-02 mart
-9.865306e-01 3.133007e-02 mart
-9.763265e-01 3.103418e-02 mart
-9.661224e-01 3.070469e-02 mart
-9.559184e-01 3.033924e-02 mart
-9.457143e-01 2.993545e-02 mart
-9.355102e-01 2.949103e-02 mart
-9.253061e-01 2.900376e-02 mart
-9.151020e-01 2.847156e-02 mart
-9.048980e-01 2.789252e-02 mart
-8.946939e-01 2.726494e-02 mart
-8.844898e-01 2.658737e-02 mart
-8.742857e-01 2.585865e-02 mart
-8.640816e-01 2.507793e-02 mart
-8.538776e-01 2.424475e-02 mart
-8.436735e-01 2.335900e-02 mart
-8.334694e-01 2.242097e-02 mart
-8.232653e-01 2.143139e-02 mart
-8.130612e-01 2.039141e-02 mart
-8.028571e-01 1.930259e-02 mart
-7.926531e-01 1.816694e-02 mart
-7.824490e-01 1.698686e-02 mart
-7.722449e-01 1.576514e-02 mart
-7.620408e-01 1.450494e-02 mart
-7.518367e-01 1.320972e-02 mart
-7.416327e-01 1.188328e-02 mart
-7.314286e-01 1.052962e-02 mart
-7.212245e-01 9.152966e-03 mart
-7.110204e-01 7.757708e-03 mart
-7.008163e-01 6.348332e-03 mart
-6.906122e-01 4.929390e-03 mart
-6.804082e-01 3.505449e-03 mart
-6.702041e-01 2.081044e-03 mart
-6.600000e-01 6.606342e-04 mart
-6.600000e-01 1.610760e-01 aus1
-6.566835e-01 1.589061e-01 aus1
-6.533670e-01 1.564663e-01 aus1
-6.500505e-01 1.536874e-01 aus1
-6.467340e-01 1.504699e-01 aus1
-6.434175e-01 1.466648e-01 aus1
-6.401010e-01 1.420344e-01 aus1
-6.367845e-01 1.361680e-01 aus1
-6.334680e-01 1.282687e-01 aus1
-6.301516e-01 1.165006e-01 aus1
-6.268351e-01 9.529670e-02 aus1
-6.235186e-01 4.420356e-02 aus1
-6.202021e-01 3.381307e-02 aus1
-6.168856e-01 3.345246e-02 aus1
-6.135691e-01 3.344172e-02 aus1
-6.102526e-01 3.344141e-02 aus1
-6.069361e-01 3.344140e-02 aus1
-6.036196e-01 3.344140e-02 aus1
-6.003031e-01 3.344140e-02 aus1
-5.969866e-01 3.344140e-02 aus1
-5.936701e-01 3.344140e-02 aus1
-5.903536e-01 3.344140e-02 aus1
-5.870371e-01 3.344140e-02 aus1
-5.837206e-01 3.344140e-02 aus1
-5.804041e-01 3.344140e-02 aus1
-5.770876e-01 3.344140e-02 aus1
-5.737711e-01 3.344140e-02 aus1
-5.704547e-01 3.344140e-02 aus1
-5.671382e-01 3.344140e-02 aus1
-5.638217e-01 3.344140e-02 aus1
-5.605052e-01 3.344140e-02 aus1
-5.571887e-01 3.344140e-02 aus1
-5.538722e-01 3.344140e-02 aus1
-5.505557e-01 3.344140e-02 aus1
-5.472392e-01 3.344140e-02 aus1
-5.439227e-01 3.344140e-02 aus1
-5.406062e-01 3.344140e-02 aus1
-5.372897e-01 3.344140e-02 aus1
-5.339732e-01 3.344140e-02 aus1
