t cavg
1.000000e-02 3.296586e-02
2.000000e-02 3.290210e-02
3.000000e-02 3.285935e-02
4.000000e-02 3.283109e-02
5.000000e-02 3.280594e-02
6.000000e-02 3.278826e-02
7.000000e-02 3.277248e-02
8.000000e-02 3.275771e-02
9.000000e-02 3.274396e-02
1.000000e-01 3.273104e-02
2.000000e-01 3.264577e-02
3.000000e-01 3.260516e-02
4.000000e-01 3.258799e-02
5.000000e-01 3.258253e-02
6.000000e-01 3.258193e-02
7.000000e-01 3.258290e-02
8.000000e-01 3.258381e-02
9.000000e-01 3.258404e-02
1.000000e+00 3.258345e-02
2.000000e+00 3.291710e-02
3.000000e+00 3.299752e-02
4.000000e+00 3.301997e-02
5.000000e+00 3.302915e-02
6.000000e+00 3.303500e-02
7.000000e+00 3.303624e-02
8.000000e+00 3.303415e-02
9.000000e+00 3.303041e-02
1.000000e+01 3.302600e-02
2.000000e+01 3.302109e-02
3.000000e+01 3.305136e-02
4.000000e+01 3.310246e-02
5.000000e+01 3.314108e-02
6.000000e+01 3.316885e-02
7.000000e+01 3.318954e-02
8.000000e+01 3.320549e-02
9.000000e+01 3.321815e-02
1.000000e+02 3.322841e-02
1.100000e+02 3.323687e-02
1.200000e+02 3.324394e-02
1.300000e+02 3.324991e-02
1.400000e+02 3.325501e-02
1.500000e+02 3.325940e-02
1.600000e+02 3.326319e-02
1.700000e+02 3.326650e-02
1.800000e+02 3.326939e-02
1.900000e+02 3.327193e-02
2.000000e+02 3.327417e-02
2.100000e+02 3.327616e-02
2.200000e+02 3.327791e-02
2.300000e+02 3.327948e-02
2.400000e+02 3.328087e-02
2.500000e+02 3.328211e-02
2.600000e+02 3.328322e-02
2.700000e+02 3.328422e-02
2.800000e+02 3.328511e-02
2.900000e+02 3.328591e-02
3.000000e+02 3.328663e-02
3.100000e+02 3.328728e-02
3.200000e+02 3.328786e-02
3.300000e+02 3.328838e-02
3.400000e+02 3.328885e-02
3.500000e+02 3.328928e-02
3.600000e+02 3.328966e-02
3.700000e+02 3.329001e-02
3.800000e+02 3.329032e-02
3.900000e+02 3.329060e-02
4.000000e+02 3.329085e-02
4.100000e+02 3.329108e-02
4.200000e+02 3.329129e-02
4.300000e+02 3.329148e-02
4.400000e+02 3.329164e-02
4.500000e+02 3.329180e-02
4.600000e+02 3.329193e-02
4.700000e+02 3.329206e-02
4.800000e+02 3.329217e-02
4.900000e+02 3.329227e-02
5.000000e+02 3.329237e-02
5.100000e+02 3.329245e-02
5.200000e+02 3.329252e-02
5.300000e+02 3.329259e-02
5.400000e+02 3.329265e-02
5.500000e+02 3.329271e-02
5.600000e+02 3.329276e-02
5.700000e+02 3.329280e-02
5.800000e+02 3.329284e-02
5.900000e+02 3.329288e-02
6.000000e+02 3.329292e-02
6.100000e+02 3.329295e-02
6.200000e+02 3.329297e-02
6.300000e+02 3.329300e-02
6.400000e+02 3.329302e-02
6.500000e+02 3.329304e-02
6.600000e+02 3.329306e-02
6.700000e+02 3.329308e-02
6.800000e+02 3.329309e-02
6.900000e+02 3.329310e-02
7.000000e+02 3.329312e-02
7.100000e+02 3.329313e-02
7.200000e+02 3.329314e-02
7.300000e+02 3.329315e-02
7.400000e+02 3.329315e-02
7.500000e+02 3.329316e-02
7.600000e+02 3.329317e-02
7.700000e+02 3.329317e-02
7.800000e+02 3.329318e-02
7.900000e+02 3.329319e-02
8.000000e+02 3.329319e-02
8.100000e+02 3.329319e-02
8.200000e+02 3.329320e-02
8.300000e+02 3.329320e-02
8.400000e+02 3.329320e-02
8.500000e+02 3.329321e-02
8.600000e+02 3.329321e-02
8.700000e+02 3.329321e-02
8.800000e+02 3.329321e-02
8.900000e+02 3.329321e-02
9.000000e+02 3.329322e-02
9.100000e+02 3.329322e-02
9.200000e+02 3.329322e-02
9.300000e+02 3.329322e-02
9.400000e+02 3.329322e-02
9.500000e+02 3.329322e-02
9.600000e+02 3.329322e-02
9.700000e+02 3.329322e-02
9.800000e+02 3.329322e-02
9.900000e+02 3.329323e-02
1.000000e+03 3.329323e-02
