t cavg
1.000000e-02 3.379746e-02
2.000000e-02 3.382388e-02
3.000000e-02 3.383581e-02
4.000000e-02 3.383875e-02
5.000000e-02 3.383899e-02
6.000000e-02 3.383820e-02
7.000000e-02 3.383625e-02
8.000000e-02 3.383382e-02
9.000000e-02 3.383252e-02
1.000000e-01 3.383161e-02
2.000000e-01 3.380975e-02
3.000000e-01 3.379214e-02
4.000000e-01 3.377792e-02
5.000000e-01 3.376600e-02
6.000000e-01 3.375589e-02
7.000000e-01 3.374707e-02
8.000000e-01 3.373928e-02
9.000000e-01 3.373229e-02
1.000000e+00 3.372597e-02
2.000000e+00 3.421936e-02
3.000000e+00 3.447058e-02
4.000000e+00 3.453713e-02
5.000000e+00 3.456502e-02
6.000000e+00 3.457826e-02
7.000000e+00 3.458063e-02
8.000000e+00 3.457802e-02
9.000000e+00 3.457351e-02
1.000000e+01 3.456839e-02
2.000000e+01 3.460735e-02
3.000000e+01 3.465485e-02
4.000000e+01 3.471244e-02
5.000000e+01 3.475418e-02
6.000000e+01 3.478365e-02
7.000000e+01 3.480535e-02
8.000000e+01 3.482196e-02
9.000000e+01 3.483507e-02
1.000000e+02 3.484566e-02
1.100000e+02 3.485440e-02
1.200000e+02 3.486176e-02
1.300000e+02 3.486844e-02
1.400000e+02 3.487868e-02
1.500000e+02 3.488905e-02
1.600000e+02 3.489773e-02
1.700000e+02 3.490473e-02
1.800000e+02 3.491046e-02
1.900000e+02 3.491529e-02
2.000000e+02 3.491948e-02
2.100000e+02 3.492321e-02
2.200000e+02 3.492658e-02
2.300000e+02 3.492968e-02
2.400000e+02 3.493254e-02
2.500000e+02 3.493521e-02
2.600000e+02 3.493770e-02
2.700000e+02 3.494005e-02
2.800000e+02 3.494225e-02
2.900000e+02 3.494433e-02
3.000000e+02 3.494629e-02
3.100000e+02 3.494814e-02
3.200000e+02 3.494989e-02
3.300000e+02 3.495155e-02
3.400000e+02 3.495312e-02
3.500000e+02 3.495461e-02
3.600000e+02 3.495602e-02
3.700000e+02 3.495736e-02
3.800000e+02 3.495863e-02
3.900000e+02 3.495983e-02
4.000000e+02 3.496098e-02
4.100000e+02 3.496206e-02
4.200000e+02 3.496309e-02
4.300000e+02 3.496408e-02
4.400000e+02 3.496501e-02
4.500000e+02 3.496589e-02
4.600000e+02 3.496674e-02
4.700000e+02 3.496754e-02
4.800000e+02 3.496830e-02
4.900000e+02 3.496903e-02
5.000000e+02 3.496972e-02
5.100000e+02 3.497038e-02
5.200000e+02 3.497101e-02
5.300000e+02 3.497160e-02
5.400000e+02 3.497217e-02
5.500000e+02 3.497271e-02
5.600000e+02 3.497323e-02
5.700000e+02 3.497372e-02
5.800000e+02 3.497419e-02
5.900000e+02 3.497464e-02
6.000000e+02 3.497507e-02
6.100000e+02 3.497547e-02
6.200000e+02 3.497586e-02
6.300000e+02 3.497623e-02
6.400000e+02 3.497658e-02
6.500000e+02 3.497692e-02
6.600000e+02 3.497724e-02
6.700000e+02 3.497755e-02
6.800000e+02 3.497784e-02
6.900000e+02 3.497812e-02
7.000000e+02 3.497839e-02
7.100000e+02 3.497864e-02
7.200000e+02 3.497888e-02
7.300000e+02 3.497912e-02
7.400000e+02 3.497934e-02
7.500000e+02 3.497955e-02
7.600000e+02 3.497975e-02
7.700000e+02 3.497994e-02
7.800000e+02 3.498013e-02
7.900000e+02 3.498030e-02
8.000000e+02 3.498047e-02
8.100000e+02 3.498063e-02
8.200000e+02 3.498078e-02
8.300000e+02 3.498093e-02
8.400000e+02 3.498107e-02
8.500000e+02 3.498120e-02
8.600000e+02 3.498133e-02
8.700000e+02 3.498145e-02
8.800000e+02 3.498157e-02
8.900000e+02 3.498168e-02
9.000000e+02 3.498178e-02
9.100000e+02 3.498188e-02
9.200000e+02 3.498198e-02
9.300000e+02 3.498207e-02
9.400000e+02 3.498216e-02
9.500000e+02 3.498225e-02
9.600000e+02 3.498233e-02
9.700000e+02 3.498240e-02
9.800000e+02 3.498248e-02
9.900000e+02 3.498255e-02
1.000000e+03 3.498262e-02
