t cavg
1.000000e-02 3.348656e-02
2.000000e-02 3.346736e-02
3.000000e-02 3.345127e-02
4.000000e-02 3.343765e-02
5.000000e-02 3.342597e-02
6.000000e-02 3.341582e-02
7.000000e-02 3.340692e-02
8.000000e-02 3.339907e-02
9.000000e-02 3.339209e-02
1.000000e-01 3.338587e-02
1.100000e-01 3.338030e-02
1.200000e-01 3.337531e-02
1.300000e-01 3.337083e-02
1.400000e-01 3.336680e-02
1.500000e-01 3.336317e-02
1.600000e-01 3.335989e-02
1.700000e-01 3.335691e-02
1.800000e-01 3.335421e-02
1.900000e-01 3.335175e-02
2.000000e-01 3.334951e-02
3.000000e-01 3.333263e-02
4.000000e-01 3.332393e-02
5.000000e-01 3.331873e-02
6.000000e-01 3.331526e-02
7.000000e-01 3.331278e-02
8.000000e-01 3.331090e-02
9.000000e-01 3.330941e-02
1.000000e+00 3.330820e-02
1.100000e+00 3.330719e-02
1.200000e+00 3.330633e-02
1.300000e+00 3.330559e-02
1.400000e+00 3.330493e-02
1.500000e+00 3.330435e-02
1.600000e+00 3.330383e-02
1.700000e+00 3.330336e-02
1.800000e+00 3.330293e-02
1.900000e+00 3.330253e-02
2.000000e+00 3.330217e-02
3.000000e+00 3.328313e-02
4.000000e+00 3.326952e-02
5.000000e+00 3.325902e-02
6.000000e+00 3.325041e-02
7.000000e+00 3.324307e-02
8.000000e+00 3.323665e-02
9.000000e+00 3.323092e-02
1.000000e+01 3.322572e-02
1.100000e+01 3.322095e-02
1.200000e+01 3.321651e-02
1.300000e+01 3.321236e-02
1.400000e+01 3.320843e-02
1.500000e+01 3.320469e-02
1.600000e+01 3.320112e-02
1.700000e+01 3.319768e-02
1.800000e+01 3.319438e-02
1.900000e+01 3.319120e-02
2.000000e+01 3.318814e-02
3.000000e+01 3.301931e-02
4.000000e+01 3.295488e-02
5.000000e+01 3.292044e-02
6.000000e+01 3.289743e-02
7.000000e+01 3.287916e-02
8.000000e+01 3.286227e-02
9.000000e+01 3.284508e-02
1.000000e+02 3.282670e-02
