# n=270
z c strct
-1.160000e+00 3.344140e-02 mart
-1.149796e+00 3.344140e-02 mart
-1.139592e+00 3.344140e-02 mart
-1.129388e+00 3.344140e-02 mart
-1.119184e+00 3.344140e-02 mart
-1.108980e+00 3.344140e-02 mart
-1.098776e+00 3.344140e-02 mart
-1.088571e+00 3.344140e-02 mart
-1.078367e+00 3.344140e-02 mart
-1.068163e+00 3.344140e-02 mart
-1.057959e+00 3.344140e-02 mart
-1.047755e+00 3.344140e-02 mart
-1.037551e+00 3.344140e-02 mart
-1.027347e+00 3.344139e-02 mart
-1.017143e+00 3.344139e-02 mart
-1.006939e+00 3.344138e-02 mart
-9.967347e-01 3.344137e-02 mart
-9.865306e-01 3.344134e-02 mart
-9.763265e-01 3.344130e-02 mart
-9.661224e-01 3.344124e-02 mart
-9.559184e-01 3.344112e-02 mart
-9.457143e-01 3.344094e-02 mart
-9.355102e-01 3.344064e-02 mart
-9.253061e-01 3.344016e-02 mart
-9.151020e-01 3.343940e-02 mart
-9.048980e-01 3.343823e-02 mart
-8.946939e-01 3.343644e-02 mart
-8.844898e-01 3.343375e-02 mart
-8.742857e-01 3.342974e-02 mart
-8.640816e-01 3.342387e-02 mart
-8.538776e-01 3.341539e-02 mart
-8.436735e-01 3.340334e-02 mart
-8.334694e-01 3.338645e-02 mart
-8.232653e-01 3.336315e-02 mart
-8.130612e-01 3.333146e-02 mart
-8.028571e-01 3.328904e-02 mart
-7.926531e-01 3.323313e-02 mart
-7.824490e-01 3.316058e-02 mart
-7.722449e-01 3.306790e-02 mart
-7.620408e-01 3.295141e-02 mart
-7.518367e-01 3.280734e-02 mart
-7.416327e-01 3.263208e-02 mart
-7.314286e-01 3.242242e-02 mart
-7.212245e-01 3.217587e-02 mart
-7.110204e-01 3.189098e-02 mart
-7.008163e-01 3.156769e-02 mart
-6.906122e-01 3.120763e-02 mart
-6.804082e-01 3.081440e-02 mart
-6.702041e-01 3.039377e-02 mart
-6.600000e-01 2.995378e-02 mart
-6.600000e-01 7.940147e-02 aus1
-6.566672e-01 4.943400e-02 aus1
-6.533344e-01 3.457464e-02 aus1
-6.500016e-01 3.348582e-02 aus1
-6.466688e-01 3.344274e-02 aus1
-6.433360e-01 3.344143e-02 aus1
-6.400032e-01 3.344140e-02 aus1
-6.366703e-01 3.344140e-02 aus1
-6.333375e-01 3.344140e-02 aus1
-6.300047e-01 3.344140e-02 aus1
-6.266719e-01 3.344140e-02 aus1
-6.233391e-01 3.344140e-02 aus1
-6.200063e-01 3.344140e-02 aus1
-6.166735e-01 3.344140e-02 aus1
-6.133407e-01 3.344140e-02 aus1
-6.100079e-01 3.344140e-02 aus1
-6.066751e-01 3.344140e-02 aus1
-6.033423e-01 3.344140e-02 aus1
-6.000095e-01 3.344140e-02 aus1
-5.966766e-01 3.344140e-02 aus1
-5.933438e-01 3.344140e-02 aus1
-5.900110e-01 3.344140e-02 aus1
-5.866782e-01 3.344140e-02 aus1
-5.833454e-01 3.344140e-02 aus1
-5.800126e-01 3.344140e-02 aus1
-5.766798e-01 3.344140e-02 aus1
-5.733470e-01 3.344140e-02 aus1
-5.700142e-01 3.344140e-02 aus1
-5.666814e-01 3.344140e-02 aus1
-5.633486e-01 3.344140e-02 aus1
-5.600158e-01 3.344140e-02 aus1
-5.566829e-01 3.344140e-02 aus1
-5.533501e-01 3.344140e-02 aus1
-5.500173e-01 3.344140e-02 aus1
-5.466845e-01 3.344140e-02 aus1
-5.433517e-01 3.344140e-02 aus1
-5.400189e-01 3.344140e-02 aus1
-5.366861e-01 3.344140e-02 aus1
-5.333533e-01 3.344140e-02 aus1
-5.300205e-01 3.344140e-02 aus1
-5.266877e-01 3.344140e-02 aus1
-5.233549e-01 3.344140e-02 aus1
-5.200221e-01 3.344140e-02 aus1
-5.166893e-01 3.344140e-02 aus1
-5.133564e-01 3.344140e-02 aus1
-5.100236e-01 3.344140e-02 aus1
-5.066908e-01 3.344140e-02 aus1
-5.033580e-01 3.344140e-02 aus1
-5.000252e-01 3.344140e-02 aus1
-4.966924e-01 3.344140e-02 aus1
-4.933596e-01 3.344140e-02 aus1
-4.900268e-01 3.344140e-02 aus1
-4.866940e-01 3.344140e-02 aus1
-4.833612e-01 3.344140e-02 aus1
-4.800284e-01 3.344140e-02 aus1
-4.766956e-01 3.344140e-02 aus1
-4.733627e-01 3.344140e-02 aus1
-4.700299e-01 3.344140e-02 aus1
-4.666971e-01 3.344140e-02 aus1
-4.633643e-01 3.344140e-02 aus1
-4.600315e-01 3.344140e-02 aus1
-4.566987e-01 3.344140e-02 aus1
-4.533659e-01 3.344140e-02 aus1
-4.500331e-01 3.344140e-02 aus1
-4.467003e-01 3.344140e-02 aus1
-4.433675e-01 3.344140e-02 aus1
-4.400347e-01 3.344140e-02 aus1
-4.367019e-01 3.344140e-02 aus1
-4.333691e-01 3.344140e-02 aus1
-4.300362e-01 3.344140e-02 aus1
-4.267034e-01 3.344140e-02 aus1
-4.233706e-01 3.344140e-02 aus1
-4.200378e-01 3.344140e-02 aus1
-4.167050e-01 3.344140e-02 aus1
-4.133722e-01 3.344140e-02 aus1
-4.100394e-01 3.344140e-02 aus1
-4.067066e-01 3.344140e-02 aus1
-4.033738e-01 3.344140e-02 aus1
-4.000410e-01 3.344140e-02 aus1
-3.967082e-01 3.344140e-02 aus1
-3.933754e-01 3.344140e-02 aus1
-3.900425e-01 3.344140e-02 aus1
-3.867097e-01 3.344140e-02 aus1
-3.833769e-01 3.344140e-02 aus1
-3.800441e-01 3.344140e-02 aus1
-3.767113e-01 3.344140e-02 aus1
-3.733785e-01 3.344140e-02 aus1
-3.700457e-01 3.344140e-02 aus1
-3.667129e-01 3.344140e-02 aus1
-3.633801e-01 3.344140e-02 aus1
-3.600473e-01 3.344140e-02 aus1
-3.567145e-01 3.344140e-02 aus1
-3.533817e-01 3.344140e-02 aus1
-3.500488e-01 3.344140e-02 aus1
-3.467160e-01 3.344140e-02 aus1
-3.433832e-01 3.344140e-02 aus1
-3.400504e-01 3.344142e-02 aus1
-3.367176e-01 3.344222e-02 aus1
-3.333848e-01 3.346931e-02 aus1
-3.300520e-01 3.414787e-02 aus1
-3.300520e-01 1.111961e-05 fer1
-3.300404e-01 1.111961e-05 fer1
-3.300289e-01 1.111960e-05 fer1
-3.300173e-01 1.111960e-05 fer1
-3.300058e-01 1.111960e-05 fer1
-3.299942e-01 1.111960e-05 fer1
-3.299827e-01 1.111960e-05 fer1
-3.299711e-01 1.111960e-05 fer1
-3.299596e-01 1.111960e-05 fer1
-3.299480e-01 1.111960e-05 fer1
-3.299480e-01 3.414786e-02 aus2
-3.266157e-01 3.346933e-02 aus2
-3.232834e-01 3.344222e-02 aus2
-3.199512e-01 3.344142e-02 aus2
-3.166189e-01 3.344140e-02 aus2
-3.132866e-01 3.344140e-02 aus2
-3.099543e-01 3.344140e-02 aus2
-3.066220e-01 3.344140e-02 aus2
-3.032897e-01 3.344140e-02 aus2
-2.999575e-01 3.344140e-02 aus2
-2.966252e-01 3.344140e-02 aus2
-2.932929e-01 3.344140e-02 aus2
-2.899606e-01 3.344140e-02 aus2
-2.866283e-01 3.344140e-02 aus2
-2.832961e-01 3.344140e-02 aus2
-2.799638e-01 3.344140e-02 aus2
-2.766315e-01 3.344140e-02 aus2
-2.732992e-01 3.344140e-02 aus2
-2.699669e-01 3.344140e-02 aus2
-2.666347e-01 3.344140e-02 aus2
-2.633024e-01 3.344140e-02 aus2
-2.599701e-01 3.344140e-02 aus2
-2.566378e-01 3.344140e-02 aus2
-2.533055e-01 3.344140e-02 aus2
-2.499732e-01 3.344140e-02 aus2
-2.466410e-01 3.344140e-02 aus2
-2.433087e-01 3.344140e-02 aus2
-2.399764e-01 3.344140e-02 aus2
-2.366441e-01 3.344140e-02 aus2
-2.333118e-01 3.344140e-02 aus2
-2.299796e-01 3.344140e-02 aus2
-2.266473e-01 3.344140e-02 aus2
-2.233150e-01 3.344140e-02 aus2
-2.199827e-01 3.344140e-02 aus2
-2.166504e-01 3.344140e-02 aus2
-2.133182e-01 3.344140e-02 aus2
-2.099859e-01 3.344140e-02 aus2
-2.066536e-01 3.344140e-02 aus2
-2.033213e-01 3.344140e-02 aus2
