t cavg
1.000000e-02 3.288548e-02
2.000000e-02 3.281986e-02
3.000000e-02 3.278092e-02
4.000000e-02 3.275083e-02
5.000000e-02 3.272973e-02
6.000000e-02 3.271421e-02
7.000000e-02 3.269928e-02
8.000000e-02 3.268572e-02
9.000000e-02 3.267366e-02
1.000000e-01 3.266261e-02
1.100000e-01 3.265207e-02
1.200000e-01 3.264209e-02
1.300000e-01 3.263353e-02
1.400000e-01 3.262674e-02
1.500000e-01 3.262018e-02
1.600000e-01 3.261244e-02
1.700000e-01 3.260575e-02
1.800000e-01 3.260085e-02
1.900000e-01 3.259473e-02
2.000000e-01 3.258896e-02
3.000000e-01 3.256649e-02
4.000000e-01 3.256389e-02
5.000000e-01 3.257023e-02
6.000000e-01 3.257915e-02
7.000000e-01 3.258790e-02
8.000000e-01 3.259550e-02
9.000000e-01 3.260163e-02
1.000000e+00 3.260638e-02
1.100000e+00 3.260992e-02
1.200000e+00 3.261249e-02
1.300000e+00 3.261429e-02
1.400000e+00 3.261551e-02
1.500000e+00 3.261627e-02
1.600000e+00 3.261670e-02
1.700000e+00 3.261689e-02
1.800000e+00 3.261688e-02
1.900000e+00 3.261675e-02
2.000000e+00 3.261652e-02
3.000000e+00 3.269596e-02
4.000000e+00 3.273327e-02
5.000000e+00 3.275410e-02
6.000000e+00 3.276737e-02
7.000000e+00 3.277654e-02
8.000000e+00 3.278324e-02
9.000000e+00 3.278834e-02
1.000000e+01 3.279234e-02
1.100000e+01 3.279554e-02
1.200000e+01 3.279816e-02
1.300000e+01 3.280034e-02
1.400000e+01 3.280217e-02
1.500000e+01 3.280373e-02
1.600000e+01 3.280507e-02
1.700000e+01 3.280623e-02
1.800000e+01 3.280723e-02
1.900000e+01 3.280812e-02
2.000000e+01 3.280890e-02
3.000000e+01 3.290259e-02
4.000000e+01 3.296404e-02
5.000000e+01 3.300535e-02
6.000000e+01 3.303517e-02
7.000000e+01 3.305784e-02
8.000000e+01 3.307575e-02
9.000000e+01 3.309032e-02
1.000000e+02 3.310243e-02
1.100000e+02 3.311270e-02
1.200000e+02 3.312153e-02
1.300000e+02 3.312922e-02
1.400000e+02 3.313597e-02
1.500000e+02 3.314195e-02
1.600000e+02 3.314727e-02
1.700000e+02 3.315204e-02
1.800000e+02 3.315632e-02
1.900000e+02 3.316017e-02
2.000000e+02 3.316365e-02
2.100000e+02 3.316679e-02
2.200000e+02 3.316963e-02
2.300000e+02 3.317220e-02
2.400000e+02 3.317452e-02
2.500000e+02 3.317663e-02
2.600000e+02 3.317854e-02
2.700000e+02 3.318027e-02
2.800000e+02 3.318184e-02
2.900000e+02 3.318326e-02
3.000000e+02 3.318455e-02
3.100000e+02 3.318571e-02
3.200000e+02 3.318677e-02
3.300000e+02 3.318773e-02
3.400000e+02 3.318860e-02
3.500000e+02 3.318939e-02
3.600000e+02 3.319010e-02
3.700000e+02 3.319075e-02
3.800000e+02 3.319133e-02
3.900000e+02 3.319187e-02
4.000000e+02 3.319235e-02
4.100000e+02 3.319278e-02
4.200000e+02 3.319318e-02
4.300000e+02 3.319354e-02
4.400000e+02 3.319386e-02
4.500000e+02 3.319416e-02
4.600000e+02 3.319443e-02
4.700000e+02 3.319467e-02
4.800000e+02 3.319489e-02
4.900000e+02 3.319509e-02
5.000000e+02 3.319527e-02
5.100000e+02 3.319543e-02
5.200000e+02 3.319558e-02
5.300000e+02 3.319571e-02
5.400000e+02 3.319584e-02
5.500000e+02 3.319595e-02
5.600000e+02 3.319605e-02
5.700000e+02 3.319614e-02
5.800000e+02 3.319622e-02
5.900000e+02 3.319629e-02
6.000000e+02 3.319636e-02
6.100000e+02 3.319642e-02
6.200000e+02 3.319648e-02
6.300000e+02 3.319653e-02
6.400000e+02 3.319658e-02
6.500000e+02 3.319662e-02
6.600000e+02 3.319665e-02
6.700000e+02 3.319669e-02
6.800000e+02 3.319672e-02
6.900000e+02 3.319675e-02
7.000000e+02 3.319677e-02
7.100000e+02 3.319680e-02
7.200000e+02 3.319682e-02
7.300000e+02 3.319684e-02
7.400000e+02 3.319685e-02
7.500000e+02 3.319687e-02
7.600000e+02 3.319688e-02
7.700000e+02 3.319690e-02
7.800000e+02 3.319691e-02
7.900000e+02 3.319692e-02
8.000000e+02 3.319693e-02
8.100000e+02 3.319694e-02
8.200000e+02 3.319694e-02
8.300000e+02 3.319695e-02
8.400000e+02 3.319696e-02
8.500000e+02 3.319696e-02
8.600000e+02 3.319697e-02
8.700000e+02 3.319697e-02
8.800000e+02 3.319698e-02
8.900000e+02 3.319698e-02
9.000000e+02 3.319698e-02
9.100000e+02 3.319699e-02
9.200000e+02 3.319699e-02
9.300000e+02 3.319699e-02
9.400000e+02 3.319700e-02
9.500000e+02 3.319700e-02
9.600000e+02 3.319700e-02
9.700000e+02 3.319700e-02
9.800000e+02 3.319700e-02
9.900000e+02 3.319700e-02
1.000000e+03 3.319701e-02
