t cavg
1.000000e-02 3.337349e-02
2.000000e-02 3.337232e-02
3.000000e-02 3.337126e-02
4.000000e-02 3.337028e-02
5.000000e-02 3.336938e-02
6.000000e-02 3.336855e-02
7.000000e-02 3.336778e-02
8.000000e-02 3.336705e-02
9.000000e-02 3.336637e-02
1.000000e-01 3.336573e-02
1.100000e-01 3.336513e-02
1.200000e-01 3.336456e-02
1.300000e-01 3.336402e-02
1.400000e-01 3.336350e-02
1.500000e-01 3.336301e-02
1.600000e-01 3.336254e-02
1.700000e-01 3.336209e-02
1.800000e-01 3.336166e-02
1.900000e-01 3.336124e-02
2.000000e-01 3.336084e-02
3.000000e-01 3.335753e-02
4.000000e-01 3.335504e-02
5.000000e-01 3.335305e-02
6.000000e-01 3.335141e-02
7.000000e-01 3.335001e-02
8.000000e-01 3.334880e-02
9.000000e-01 3.334774e-02
1.000000e+00 3.334680e-02
1.100000e+00 3.334595e-02
1.200000e+00 3.334518e-02
1.300000e+00 3.334448e-02
1.400000e+00 3.334384e-02
1.500000e+00 3.334325e-02
1.600000e+00 3.334270e-02
1.700000e+00 3.334219e-02
1.800000e+00 3.334171e-02
1.900000e+00 3.334126e-02
2.000000e+00 3.334084e-02
3.000000e+00 3.333771e-02
4.000000e+00 3.333566e-02
5.000000e+00 3.333418e-02
6.000000e+00 3.333305e-02
7.000000e+00 3.333213e-02
8.000000e+00 3.333138e-02
9.000000e+00 3.333075e-02
1.000000e+01 3.333020e-02
1.100000e+01 3.332973e-02
1.200000e+01 3.332931e-02
1.300000e+01 3.332893e-02
1.400000e+01 3.332860e-02
1.500000e+01 3.332829e-02
1.600000e+01 3.332801e-02
1.700000e+01 3.332776e-02
1.800000e+01 3.332752e-02
1.900000e+01 3.332731e-02
2.000000e+01 3.332711e-02
3.000000e+01 3.332583e-02
4.000000e+01 3.332504e-02
5.000000e+01 3.332450e-02
6.000000e+01 3.332410e-02
7.000000e+01 3.332378e-02
8.000000e+01 3.332352e-02
9.000000e+01 3.332331e-02
1.000000e+02 3.332312e-02
1.100000e+02 3.332297e-02
1.200000e+02 3.332283e-02
1.300000e+02 3.332271e-02
1.400000e+02 3.332260e-02
1.500000e+02 3.332250e-02
1.600000e+02 3.332241e-02
1.700000e+02 3.332233e-02
1.800000e+02 3.332226e-02
1.900000e+02 3.332219e-02
2.000000e+02 3.332213e-02
2.100000e+02 3.332207e-02
2.200000e+02 3.332201e-02
2.300000e+02 3.332196e-02
2.400000e+02 3.332191e-02
2.500000e+02 3.332187e-02
2.600000e+02 3.332183e-02
2.700000e+02 3.332179e-02
2.800000e+02 3.332175e-02
2.900000e+02 3.332171e-02
3.000000e+02 3.332168e-02
3.100000e+02 3.332165e-02
3.200000e+02 3.332161e-02
3.300000e+02 3.332158e-02
3.400000e+02 3.332156e-02
3.500000e+02 3.332153e-02
3.600000e+02 3.332150e-02
3.700000e+02 3.332148e-02
3.800000e+02 3.332145e-02
3.900000e+02 3.332143e-02
4.000000e+02 3.332141e-02
4.100000e+02 3.332139e-02
4.200000e+02 3.332137e-02
4.300000e+02 3.332135e-02
4.400000e+02 3.332133e-02
4.500000e+02 3.332131e-02
4.600000e+02 3.332129e-02
4.700000e+02 3.332127e-02
4.800000e+02 3.332126e-02
4.900000e+02 3.332124e-02
5.000000e+02 3.332122e-02
5.100000e+02 3.332121e-02
5.200000e+02 3.332119e-02
5.300000e+02 3.332118e-02
5.400000e+02 3.332116e-02
5.500000e+02 3.332115e-02
5.600000e+02 3.332114e-02
5.700000e+02 3.332112e-02
5.800000e+02 3.332111e-02
5.900000e+02 3.332110e-02
6.000000e+02 3.332109e-02
6.100000e+02 3.332108e-02
6.200000e+02 3.332107e-02
6.300000e+02 3.332106e-02
6.400000e+02 3.332104e-02
6.500000e+02 3.332103e-02
6.600000e+02 3.332102e-02
6.700000e+02 3.332102e-02
6.800000e+02 3.332101e-02
6.900000e+02 3.332100e-02
7.000000e+02 3.332099e-02
7.100000e+02 3.332098e-02
7.200000e+02 3.332097e-02
7.300000e+02 3.332096e-02
7.400000e+02 3.332095e-02
7.500000e+02 3.332095e-02
7.600000e+02 3.332094e-02
7.700000e+02 3.332093e-02
7.800000e+02 3.332093e-02
7.900000e+02 3.332092e-02
8.000000e+02 3.332091e-02
8.100000e+02 3.332091e-02
8.200000e+02 3.332090e-02
8.300000e+02 3.332089e-02
8.400000e+02 3.332089e-02
8.500000e+02 3.332088e-02
8.600000e+02 3.332088e-02
8.700000e+02 3.332087e-02
8.800000e+02 3.332087e-02
8.900000e+02 3.332086e-02
9.000000e+02 3.332086e-02
9.100000e+02 3.332085e-02
9.200000e+02 3.332085e-02
9.300000e+02 3.332084e-02
9.400000e+02 3.332084e-02
9.500000e+02 3.332083e-02
9.600000e+02 3.332083e-02
9.700000e+02 3.332082e-02
9.800000e+02 3.332082e-02
9.900000e+02 3.332082e-02
1.000000e+03 3.332081e-02
