t cavg
1.000000e-02 3.373995e-02
2.000000e-02 3.376797e-02
3.000000e-02 3.378299e-02
4.000000e-02 3.378842e-02
5.000000e-02 3.379117e-02
6.000000e-02 3.379276e-02
7.000000e-02 3.379302e-02
8.000000e-02 3.379276e-02
9.000000e-02 3.379374e-02
1.000000e-01 3.379487e-02
1.100000e-01 3.379405e-02
1.200000e-01 3.379429e-02
1.300000e-01 3.379478e-02
1.400000e-01 3.379396e-02
1.500000e-01 3.379464e-02
1.600000e-01 3.379393e-02
1.700000e-01 3.379430e-02
1.800000e-01 3.379381e-02
1.900000e-01 3.379401e-02
2.000000e-01 3.379359e-02
3.000000e-01 3.379286e-02
4.000000e-01 3.379187e-02
5.000000e-01 3.379129e-02
6.000000e-01 3.379082e-02
7.000000e-01 3.379048e-02
8.000000e-01 3.379024e-02
9.000000e-01 3.379004e-02
1.000000e+00 3.378990e-02
1.100000e+00 3.378979e-02
1.200000e+00 3.378969e-02
1.300000e+00 3.379370e-02
1.400000e+00 3.381385e-02
1.500000e+00 3.383183e-02
1.600000e+00 3.384729e-02
1.700000e+00 3.386030e-02
1.800000e+00 3.387113e-02
1.900000e+00 3.388013e-02
2.000000e+00 3.388762e-02
3.000000e+00 3.419650e-02
4.000000e+00 3.432807e-02
5.000000e+00 3.439611e-02
6.000000e+00 3.443818e-02
7.000000e+00 3.446707e-02
8.000000e+00 3.448829e-02
9.000000e+00 3.450464e-02
1.000000e+01 3.451768e-02
1.100000e+01 3.452837e-02
1.200000e+01 3.453731e-02
1.300000e+01 3.454492e-02
1.400000e+01 3.455150e-02
1.500000e+01 3.455725e-02
1.600000e+01 3.456232e-02
1.700000e+01 3.456684e-02
1.800000e+01 3.457090e-02
1.900000e+01 3.457457e-02
2.000000e+01 3.457790e-02
3.000000e+01 3.474902e-02
4.000000e+01 3.486957e-02
5.000000e+01 3.495253e-02
6.000000e+01 3.501318e-02
7.000000e+01 3.505967e-02
8.000000e+01 3.509662e-02
9.000000e+01 3.512684e-02
1.000000e+02 3.515208e-02
1.100000e+02 3.517355e-02
1.200000e+02 3.519206e-02
1.300000e+02 3.520819e-02
1.400000e+02 3.522236e-02
1.500000e+02 3.523489e-02
1.600000e+02 3.524602e-02
1.700000e+02 3.525592e-02
1.800000e+02 3.526476e-02
1.900000e+02 3.527266e-02
2.000000e+02 3.527972e-02
2.100000e+02 3.528603e-02
2.200000e+02 3.529168e-02
2.300000e+02 3.529673e-02
2.400000e+02 3.530125e-02
2.500000e+02 3.530529e-02
2.600000e+02 3.530890e-02
2.700000e+02 3.531213e-02
2.800000e+02 3.531502e-02
2.900000e+02 3.531760e-02
3.000000e+02 3.531990e-02
3.100000e+02 3.532196e-02
3.200000e+02 3.532380e-02
3.300000e+02 3.532544e-02
3.400000e+02 3.532691e-02
3.500000e+02 3.532822e-02
3.600000e+02 3.532939e-02
3.700000e+02 3.533043e-02
3.800000e+02 3.533136e-02
3.900000e+02 3.533219e-02
4.000000e+02 3.533294e-02
4.100000e+02 3.533360e-02
4.200000e+02 3.533419e-02
4.300000e+02 3.533472e-02
4.400000e+02 3.533519e-02
4.500000e+02 3.533561e-02
4.600000e+02 3.533599e-02
4.700000e+02 3.533632e-02
4.800000e+02 3.533662e-02
4.900000e+02 3.533689e-02
5.000000e+02 3.533712e-02
5.100000e+02 3.533734e-02
5.200000e+02 3.533752e-02
5.300000e+02 3.533769e-02
5.400000e+02 3.533784e-02
5.500000e+02 3.533798e-02
5.600000e+02 3.533810e-02
5.700000e+02 3.533821e-02
5.800000e+02 3.533830e-02
5.900000e+02 3.533839e-02
6.000000e+02 3.533846e-02
6.100000e+02 3.533853e-02
6.200000e+02 3.533859e-02
6.300000e+02 3.533865e-02
6.400000e+02 3.533869e-02
6.500000e+02 3.533874e-02
6.600000e+02 3.533878e-02
6.700000e+02 3.533881e-02
6.800000e+02 3.533884e-02
6.900000e+02 3.533887e-02
7.000000e+02 3.533889e-02
7.100000e+02 3.533891e-02
7.200000e+02 3.533893e-02
7.300000e+02 3.533895e-02
7.400000e+02 3.533897e-02
7.500000e+02 3.533898e-02
7.600000e+02 3.533899e-02
7.700000e+02 3.533900e-02
7.800000e+02 3.533901e-02
7.900000e+02 3.533902e-02
8.000000e+02 3.533903e-02
8.100000e+02 3.533904e-02
8.200000e+02 3.533904e-02
8.300000e+02 3.533905e-02
8.400000e+02 3.533905e-02
8.500000e+02 3.533906e-02
8.600000e+02 3.533906e-02
8.700000e+02 3.533906e-02
8.800000e+02 3.533907e-02
8.900000e+02 3.533907e-02
9.000000e+02 3.533907e-02
9.100000e+02 3.533908e-02
9.200000e+02 3.533908e-02
9.300000e+02 3.533908e-02
9.400000e+02 3.533908e-02
9.500000e+02 3.533908e-02
9.600000e+02 3.533908e-02
9.700000e+02 3.533908e-02
9.800000e+02 3.533909e-02
9.900000e+02 3.533909e-02
1.000000e+03 3.533909e-02
