t cavg
1.000000e-01 3.335930e-02
2.000000e-01 3.333592e-02
3.000000e-01 3.333331e-02
4.000000e-01 3.333234e-02
5.000000e-01 3.333188e-02
6.000000e-01 3.333163e-02
7.000000e-01 3.333147e-02
8.000000e-01 3.333136e-02
9.000000e-01 3.333129e-02
1.000000e+00 3.333123e-02
1.100000e+00 3.333119e-02
1.200000e+00 3.333116e-02
1.300000e+00 3.333113e-02
1.400000e+00 3.333111e-02
1.500000e+00 3.333109e-02
1.600000e+00 3.333107e-02
1.700000e+00 3.333106e-02
1.800000e+00 3.333105e-02
1.900000e+00 3.333104e-02
2.000000e+00 3.333103e-02
3.000000e+00 3.333078e-02
4.000000e+00 3.333065e-02
5.000000e+00 3.333055e-02
6.000000e+00 3.333049e-02
7.000000e+00 3.333044e-02
8.000000e+00 3.333039e-02
9.000000e+00 3.333036e-02
1.000000e+01 3.333033e-02
1.100000e+01 3.333031e-02
1.200000e+01 3.333029e-02
1.300000e+01 3.333027e-02
1.400000e+01 3.333025e-02
1.500000e+01 3.333024e-02
1.600000e+01 3.333022e-02
1.700000e+01 3.333021e-02
1.800000e+01 3.333020e-02
1.900000e+01 3.333019e-02
2.000000e+01 3.333018e-02
3.000000e+01 3.332947e-02
4.000000e+01 3.332905e-02
5.000000e+01 3.332877e-02
6.000000e+01 3.332856e-02
7.000000e+01 3.332839e-02
8.000000e+01 3.332826e-02
9.000000e+01 3.332815e-02
1.000000e+02 3.332806e-02
1.100000e+02 3.332797e-02
1.200000e+02 3.332790e-02
1.300000e+02 3.332784e-02
1.400000e+02 3.332778e-02
1.500000e+02 3.332773e-02
1.600000e+02 3.332768e-02
1.700000e+02 3.332764e-02
1.800000e+02 3.332760e-02
1.900000e+02 3.332756e-02
2.000000e+02 3.332752e-02
2.100000e+02 3.332749e-02
2.200000e+02 3.332746e-02
2.300000e+02 3.332742e-02
2.400000e+02 3.332739e-02
2.500000e+02 3.332737e-02
2.600000e+02 3.332734e-02
2.700000e+02 3.332731e-02
2.800000e+02 3.332729e-02
2.900000e+02 3.332726e-02
3.000000e+02 3.332724e-02
3.100000e+02 3.332721e-02
3.200000e+02 3.332719e-02
3.300000e+02 3.332717e-02
3.400000e+02 3.332715e-02
3.500000e+02 3.332712e-02
3.600000e+02 3.332710e-02
3.700000e+02 3.332708e-02
3.800000e+02 3.332706e-02
3.900000e+02 3.332703e-02
4.000000e+02 3.332701e-02
4.100000e+02 3.332699e-02
4.200000e+02 3.350493e-02
4.300000e+02 3.353009e-02
4.400000e+02 3.354105e-02
4.500000e+02 3.354828e-02
4.600000e+02 3.355372e-02
4.700000e+02 3.355809e-02
4.800000e+02 3.356172e-02
4.900000e+02 3.356481e-02
5.000000e+02 3.356748e-02
5.100000e+02 3.356983e-02
5.200000e+02 3.357190e-02
5.300000e+02 3.357374e-02
5.400000e+02 3.357538e-02
5.500000e+02 3.357686e-02
5.600000e+02 3.357818e-02
5.700000e+02 3.357937e-02
5.800000e+02 3.358044e-02
5.900000e+02 3.358140e-02
6.000000e+02 3.358228e-02
6.100000e+02 3.358306e-02
6.200000e+02 3.358377e-02
6.300000e+02 3.358442e-02
6.400000e+02 3.358500e-02
6.500000e+02 3.358552e-02
6.600000e+02 3.358599e-02
6.700000e+02 3.358642e-02
6.800000e+02 3.358681e-02
6.900000e+02 3.358716e-02
7.000000e+02 3.358747e-02
7.100000e+02 3.358776e-02
7.200000e+02 3.358802e-02
7.300000e+02 3.358825e-02
7.400000e+02 3.358846e-02
7.500000e+02 3.358865e-02
7.600000e+02 3.358882e-02
7.700000e+02 3.358898e-02
7.800000e+02 3.358912e-02
7.900000e+02 3.358925e-02
8.000000e+02 3.358936e-02
8.100000e+02 3.358947e-02
8.200000e+02 3.358956e-02
8.300000e+02 3.358964e-02
8.400000e+02 3.358972e-02
8.500000e+02 3.358979e-02
8.600000e+02 3.358985e-02
8.700000e+02 3.358991e-02
8.800000e+02 3.358996e-02
8.900000e+02 3.359001e-02
9.000000e+02 3.359005e-02
9.100000e+02 3.359008e-02
9.200000e+02 3.359012e-02
9.300000e+02 3.359015e-02
9.400000e+02 3.359018e-02
9.500000e+02 3.359020e-02
9.600000e+02 3.359022e-02
9.700000e+02 3.359024e-02
9.800000e+02 3.359026e-02
9.900000e+02 3.359028e-02
1.000000e+03 3.359030e-02
