bainite_FoFo_375.log @ arthur-tud
2019-07-15T12:33:24

c0 = 3.855349e-02 (approx 0.86 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE9/fofo_cell_boundary/375-BCC.TXT
      z0 = -1.16 um; zn = -1.16 um; n = 10
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE9/fofo_cell_boundary/375-FCC.TXT
      z0 = -1.16 um; zn = -0.39 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE9/fofo_cell_boundary/375-BCC.TXT
      z0 = -0.39 um; zn = -0.39 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE9/fofo_cell_boundary/375-FCC.TXT
      z0 = -0.39 um; zn = 0.00 um; n = 100
int1: type_int = 3 (mobile.mmode)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)

   20: t=0.001, cavg*=0.99999, r_fer1=0, r_aus1=0.000145014, r_fer2=0, r_aus2=0.000580057
   40: t=0.002, cavg*=0.999982, r_fer1=0, r_aus1=0.000145125, r_fer2=0, r_aus2=0.000580498
   60: t=0.003, cavg*=0.999977, r_fer1=0, r_aus1=0.000145309, r_fer2=0, r_aus2=0.000581234
   80: t=0.004, cavg*=0.999974, r_fer1=0, r_aus1=0.000145566, r_fer2=0, r_aus2=0.000582257
  100: t=0.005, cavg*=0.999974, r_fer1=0, r_aus1=0.000145892, r_fer2=0, r_aus2=0.000583557
  120: t=0.006, cavg*=0.999976, r_fer1=0, r_aus1=0.000146287, r_fer2=0, r_aus2=0.000585127
  140: t=0.007, cavg*=0.99998, r_fer1=0, r_aus1=0.00014675, r_fer2=0, r_aus2=0.000586966
  160: t=0.008, cavg*=0.999986, r_fer1=0, r_aus1=0.000147272, r_fer2=0, r_aus2=0.000589038
  180: t=0.009, cavg*=0.999994, r_fer1=0, r_aus1=0.000147848, r_fer2=0, r_aus2=0.000591323
  200: t=0.010, cavg*=1, r_fer1=0, r_aus1=0.000148473, r_fer2=0, r_aus2=0.000593799
  220: t=0.011, cavg*=1.00001, r_fer1=0, r_aus1=0.000149141, r_fer2=0, r_aus2=0.000596443
  240: t=0.012, cavg*=1.00003, r_fer1=0, r_aus1=0.000149846, r_fer2=0, r_aus2=0.000599232
  260: t=0.013, cavg*=1.00004, r_fer1=0, r_aus1=0.000150583, r_fer2=0, r_aus2=0.000602141
  280: t=0.014, cavg*=1.00005, r_fer1=0, r_aus1=0.000151345, r_fer2=0, r_aus2=0.000605147
  300: t=0.015, cavg*=1.00007, r_fer1=0, r_aus1=0.000152126, r_fer2=0, r_aus2=0.000608226
  320: t=0.016, cavg*=1.00008, r_fer1=0, r_aus1=0.00015292, r_fer2=0, r_aus2=0.000611354
  340: t=0.017, cavg*=1.0001, r_fer1=0, r_aus1=0.000153731, r_fer2=0, r_aus2=0.000614536
  360: t=0.018, cavg*=1.00012, r_fer1=0, r_aus1=0.000154546, r_fer2=0, r_aus2=0.000617739
  380: t=0.019, cavg*=1.00013, r_fer1=0, r_aus1=0.000155357, r_fer2=0, r_aus2=0.000620924
  400: t=0.020, cavg*=1.00015, r_fer1=0, r_aus1=0.00015616, r_fer2=0, r_aus2=0.000624074
  420: t=0.021, cavg*=1.00017, r_fer1=0, r_aus1=0.00015695, r_fer2=0, r_aus2=0.000627171
  440: t=0.022, cavg*=1.00018, r_fer1=0, r_aus1=0.000157724, r_fer2=0, r_aus2=0.000630201
  460: t=0.023, cavg*=1.0002, r_fer1=0, r_aus1=0.000158478, r_fer2=0, r_aus2=0.000633151
  480: t=0.024, cavg*=1.00021, r_fer1=0, r_aus1=0.00015921, r_fer2=0, r_aus2=0.000636011
  500: t=0.025, cavg*=1.00022, r_fer1=0, r_aus1=0.000159917, r_fer2=0, r_aus2=0.000638772
  520: t=0.026, cavg*=1.00024, r_fer1=0, r_aus1=0.0001606, r_fer2=0, r_aus2=0.000641428
  540: t=0.027, cavg*=1.00025, r_fer1=0, r_aus1=0.000161261, r_fer2=0, r_aus2=0.000644004
  560: t=0.028, cavg*=1.00026, r_fer1=0, r_aus1=0.000161893, r_fer2=0, r_aus2=0.000646466
  580: t=0.029, cavg*=1.00027, r_fer1=0, r_aus1=0.000162495, r_fer2=0, r_aus2=0.000648809
  600: t=0.030, cavg*=1.00028, r_fer1=0, r_aus1=0.000163066, r_fer2=0, r_aus2=0.000651035
  620: t=0.031, cavg*=1.00029, r_fer1=0, r_aus1=0.000163608, r_fer2=0, r_aus2=0.000653144
  640: t=0.032, cavg*=1.0003, r_fer1=0, r_aus1=0.000164122, r_fer2=0, r_aus2=0.000655141
  660: t=0.033, cavg*=1.00031, r_fer1=0, r_aus1=0.000164608, r_fer2=0, r_aus2=0.000657027
  680: t=0.034, cavg*=1.00032, r_fer1=0, r_aus1=0.000165067, r_fer2=0, r_aus2=0.00065881
  700: t=0.035, cavg*=1.00032, r_fer1=0, r_aus1=0.000165501, r_fer2=0, r_aus2=0.000660492
  720: t=0.036, cavg*=1.00033, r_fer1=0, r_aus1=0.000165911, r_fer2=0, r_aus2=0.000662081
  740: t=0.037, cavg*=1.00034, r_fer1=0, r_aus1=0.000166298, r_fer2=0, r_aus2=0.000663581
  760: t=0.038, cavg*=1.00034, r_fer1=0, r_aus1=0.000166663, r_fer2=0, r_aus2=0.000665
  780: t=0.039, cavg*=1.00035, r_fer1=0, r_aus1=0.000167009, r_fer2=0, r_aus2=0.000666342
  800: t=0.040, cavg*=1.00035, r_fer1=0, r_aus1=0.000167336, r_fer2=0, r_aus2=0.000667613
  820: t=0.041, cavg*=1.00035, r_fer1=0, r_aus1=0.000167647, r_fer2=0, r_aus2=0.000668821
  840: t=0.042, cavg*=1.00036, r_fer1=0, r_aus1=0.000167942, r_fer2=0, r_aus2=0.000669969
  860: t=0.043, cavg*=1.00036, r_fer1=0, r_aus1=0.000168225, r_fer2=0, r_aus2=0.000671063
  880: t=0.044, cavg*=1.00036, r_fer1=0, r_aus1=0.000168497, r_fer2=0, r_aus2=0.000672109
  900: t=0.045, cavg*=1.00037, r_fer1=0, r_aus1=0.000168757, r_fer2=0, r_aus2=0.000673118
