coupled_FoFo_375_CCE.log @ arthur-ltf
2018-06-21T05:32:55

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 25400

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

   20: t=0.001, cavg*=0.991175, r_mart=0.163019, r_aus1=0.0962698, r_fer1=0, r_aus2=0.000659401, r_fer2=0
   40: t=0.002, cavg*=0.989049, r_mart=0.163019, r_aus1=0.160531, r_fer1=0, r_aus2=0.000759797, r_fer2=0
   60: t=0.003, cavg*=0.987565, r_mart=0.163019, r_aus1=0.180724, r_fer1=0, r_aus2=0.000912711, r_fer2=0
   80: t=0.004, cavg*=0.98719, r_mart=0.163019, r_aus1=0.198282, r_fer1=0, r_aus2=0.00107785, r_fer2=0
  100: t=0.005, cavg*=0.986508, r_mart=0.163019, r_aus1=0.224167, r_fer1=0, r_aus2=0.00121157, r_fer2=0
  120: t=0.006, cavg*=0.986042, r_mart=0.163019, r_aus1=0.232585, r_fer1=0, r_aus2=0.00129679, r_fer2=0
  140: t=0.007, cavg*=0.985891, r_mart=0.163019, r_aus1=0.241501, r_fer1=0, r_aus2=0.00134264, r_fer2=0
  160: t=0.008, cavg*=0.98536, r_mart=0.163019, r_aus1=0.254853, r_fer1=0, r_aus2=0.00136581, r_fer2=0
  180: t=0.009, cavg*=0.98492, r_mart=0.163019, r_aus1=0.26287, r_fer1=0, r_aus2=0.00137824, r_fer2=0
  200: t=0.010, cavg*=0.984796, r_mart=0.163019, r_aus1=0.267397, r_fer1=0, r_aus2=0.00138646, r_fer2=0
  220: t=0.011, cavg*=0.984555, r_mart=0.163019, r_aus1=0.273526, r_fer1=0, r_aus2=0.0013932, r_fer2=0
  240: t=0.012, cavg*=0.984126, r_mart=0.163019, r_aus1=0.280759, r_fer1=0, r_aus2=0.00139944, r_fer2=0
  260: t=0.013, cavg*=0.983841, r_mart=0.163019, r_aus1=0.285943, r_fer1=0, r_aus2=0.00140553, r_fer2=0
  280: t=0.014, cavg*=0.983764, r_mart=0.163019, r_aus1=0.289312, r_fer1=0, r_aus2=0.00141156, r_fer2=0
  300: t=0.015, cavg*=0.983625, r_mart=0.163019, r_aus1=0.292763, r_fer1=0, r_aus2=0.00141754, r_fer2=0
  320: t=0.016, cavg*=0.983314, r_mart=0.163019, r_aus1=0.297099, r_fer1=0, r_aus2=0.00142347, r_fer2=0
  340: t=0.017, cavg*=0.983035, r_mart=0.163019, r_aus1=0.301263, r_fer1=0, r_aus2=0.00142938, r_fer2=0
