coupled_FoFo_375_CCEortho.log @ arthur-tud
2019-07-15T12:45:57

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 48800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

   20: t=0.010, cavg*=0.998811, r_mart=0.212779, r_aus1=0.00630473, r_fer1=0, r_aus2=0.00630663, r_fer2=0
   40: t=0.020, cavg*=0.998657, r_mart=0.212779, r_aus1=0.00637069, r_fer1=0, r_aus2=0.00637462, r_fer2=0
   60: t=0.030, cavg*=0.998534, r_mart=0.212779, r_aus1=0.00647303, r_fer1=0, r_aus2=0.00647907, r_fer2=0
   80: t=0.040, cavg*=0.998435, r_mart=0.212778, r_aus1=0.0065978, r_fer1=0, r_aus2=0.00660603, r_fer2=0
  100: t=0.050, cavg*=0.998355, r_mart=0.212778, r_aus1=0.00673344, r_fer1=0, r_aus2=0.00674394, r_fer2=0
  120: t=0.060, cavg*=0.998289, r_mart=0.212777, r_aus1=0.00686996, r_fer1=0, r_aus2=0.00688281, r_fer2=0
  140: t=0.070, cavg*=0.998233, r_mart=0.212776, r_aus1=0.00699938, r_fer1=0, r_aus2=0.00701462, r_fer2=0
  160: t=0.080, cavg*=0.998185, r_mart=0.212774, r_aus1=0.0071204, r_fer1=0, r_aus2=0.00713808, r_fer2=0
  180: t=0.090, cavg*=0.998142, r_mart=0.212772, r_aus1=0.00723041, r_fer1=0, r_aus2=0.00725056, r_fer2=0
  200: t=0.100, cavg*=0.998102, r_mart=0.212769, r_aus1=0.00733075, r_fer1=0, r_aus2=0.00735339, r_fer2=0
  220: t=0.110, cavg*=0.998066, r_mart=0.212766, r_aus1=0.00742419, r_fer1=0, r_aus2=0.00744935, r_fer2=0
  240: t=0.120, cavg*=0.998032, r_mart=0.212763, r_aus1=0.00751078, r_fer1=0, r_aus2=0.00753848, r_fer2=0
  260: t=0.130, cavg*=0.998001, r_mart=0.212759, r_aus1=0.00759203, r_fer1=0, r_aus2=0.00762227, r_fer2=0
  280: t=0.140, cavg*=0.997971, r_mart=0.212755, r_aus1=0.00766904, r_fer1=0, r_aus2=0.00770186, r_fer2=0
  300: t=0.150, cavg*=0.997944, r_mart=0.212751, r_aus1=0.00774312, r_fer1=0, r_aus2=0.00777852, r_fer2=0
  320: t=0.160, cavg*=0.997917, r_mart=0.212747, r_aus1=0.00781409, r_fer1=0, r_aus2=0.0078521, r_fer2=0
  340: t=0.170, cavg*=0.997892, r_mart=0.212742, r_aus1=0.00788226, r_fer1=0, r_aus2=0.0079229, r_fer2=0
  360: t=0.180, cavg*=0.997869, r_mart=0.212738, r_aus1=0.00794808, r_fer1=0, r_aus2=0.00799136, r_fer2=0
  380: t=0.190, cavg*=0.997846, r_mart=0.212734, r_aus1=0.00801182, r_fer1=0, r_aus2=0.00805776, r_fer2=0
  400: t=0.200, cavg*=0.997825, r_mart=0.212729, r_aus1=0.00807369, r_fer1=0, r_aus2=0.0081223, r_fer2=0
  420: t=0.210, cavg*=0.997804, r_mart=0.212725, r_aus1=0.00813433, r_fer1=0, r_aus2=0.00818562, r_fer2=0
  440: t=0.220, cavg*=0.997785, r_mart=0.21272, r_aus1=0.00819304, r_fer1=0, r_aus2=0.00824703, r_fer2=0
  460: t=0.230, cavg*=0.997766, r_mart=0.212716, r_aus1=0.00825021, r_fer1=0, r_aus2=0.00830692, r_fer2=0
  480: t=0.240, cavg*=0.997748, r_mart=0.212711, r_aus1=0.008306, r_fer1=0, r_aus2=0.00836544, r_fer2=0
  500: t=0.250, cavg*=0.99773, r_mart=0.212707, r_aus1=0.00836053, r_fer1=0, r_aus2=0.00842271, r_fer2=0
  520: t=0.260, cavg*=0.997713, r_mart=0.212703, r_aus1=0.00841388, r_fer1=0, r_aus2=0.00847881, r_fer2=0
  540: t=0.270, cavg*=0.997697, r_mart=0.212698, r_aus1=0.00846612, r_fer1=0, r_aus2=0.00853382, r_fer2=0
  560: t=0.280, cavg*=0.997681, r_mart=0.212694, r_aus1=0.00851762, r_fer1=0, r_aus2=0.00858811, r_fer2=0
