coupled_FoFo_375_CCEpara.log @ arthur-tud
2019-07-15T12:37:32

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 74000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

  200: t=0.010, cavg*=1.00953, r_mart=0.152628, r_aus1=0.195914, r_fer1=0, r_aus2=0.000659767, r_fer2=0
  400: t=0.020, cavg*=1.0105, r_mart=0.153541, r_aus1=0.195973, r_fer1=0, r_aus2=0.000715626, r_fer2=0
  600: t=0.030, cavg*=1.01105, r_mart=0.153919, r_aus1=0.19603, r_fer1=0, r_aus2=0.000749529, r_fer2=0
  800: t=0.040, cavg*=1.01127, r_mart=0.15414, r_aus1=0.196086, r_fer1=0, r_aus2=0.000766112, r_fer2=0
 1000: t=0.050, cavg*=1.01139, r_mart=0.154289, r_aus1=0.196142, r_fer1=0, r_aus2=0.000777949, r_fer2=0
 1200: t=0.060, cavg*=1.01146, r_mart=0.154398, r_aus1=0.196197, r_fer1=0, r_aus2=0.000788357, r_fer2=0
 1400: t=0.070, cavg*=1.01149, r_mart=0.154484, r_aus1=0.196252, r_fer1=0, r_aus2=0.000797965, r_fer2=0
 1600: t=0.080, cavg*=1.01151, r_mart=0.154554, r_aus1=0.196306, r_fer1=0, r_aus2=0.000806957, r_fer2=0
 1800: t=0.090, cavg*=1.01156, r_mart=0.154611, r_aus1=0.19636, r_fer1=0, r_aus2=0.000815434, r_fer2=0
 2000: t=0.100, cavg*=1.01161, r_mart=0.15466, r_aus1=0.196414, r_fer1=0, r_aus2=0.000823457, r_fer2=0
 2200: t=0.110, cavg*=1.0116, r_mart=0.154703, r_aus1=0.196468, r_fer1=0, r_aus2=0.000831102, r_fer2=0
 2400: t=0.120, cavg*=1.01163, r_mart=0.154742, r_aus1=0.196521, r_fer1=0, r_aus2=0.000838417, r_fer2=0
 2600: t=0.130, cavg*=1.01166, r_mart=0.154778, r_aus1=0.196574, r_fer1=0, r_aus2=0.000845441, r_fer2=0
 2800: t=0.140, cavg*=1.01165, r_mart=0.154812, r_aus1=0.196627, r_fer1=0, r_aus2=0.000852209, r_fer2=0
 3000: t=0.150, cavg*=1.01168, r_mart=0.154845, r_aus1=0.196679, r_fer1=0, r_aus2=0.000858732, r_fer2=0
 3200: t=0.160, cavg*=1.01167, r_mart=0.154878, r_aus1=0.196732, r_fer1=0, r_aus2=0.000865044, r_fer2=0
 3400: t=0.170, cavg*=1.0117, r_mart=0.154911, r_aus1=0.196784, r_fer1=0, r_aus2=0.000871166, r_fer2=0
 3600: t=0.180, cavg*=1.01169, r_mart=0.154946, r_aus1=0.196836, r_fer1=0, r_aus2=0.000877114, r_fer2=0
 3800: t=0.190, cavg*=1.01172, r_mart=0.154982, r_aus1=0.196888, r_fer1=0, r_aus2=0.000882903, r_fer2=0
 4000: t=0.200, cavg*=1.01171, r_mart=0.155019, r_aus1=0.196939, r_fer1=0, r_aus2=0.000888546, r_fer2=0
 4200: t=0.210, cavg*=1.01173, r_mart=0.155059, r_aus1=0.19699, r_fer1=0, r_aus2=0.000894057, r_fer2=0
 4400: t=0.220, cavg*=1.01172, r_mart=0.155101, r_aus1=0.197042, r_fer1=0, r_aus2=0.000899438, r_fer2=0
 4600: t=0.230, cavg*=1.01174, r_mart=0.155145, r_aus1=0.197093, r_fer1=0, r_aus2=0.000904701, r_fer2=0
 4800: t=0.240, cavg*=1.01174, r_mart=0.155192, r_aus1=0.197144, r_fer1=0, r_aus2=0.000909856, r_fer2=0
 5000: t=0.250, cavg*=1.01175, r_mart=0.15524, r_aus1=0.197194, r_fer1=0, r_aus2=0.000914908, r_fer2=0
 5200: t=0.260, cavg*=1.01175, r_mart=0.155291, r_aus1=0.197245, r_fer1=0, r_aus2=0.000919864, r_fer2=0
 5400: t=0.270, cavg*=1.01176, r_mart=0.155345, r_aus1=0.197295, r_fer1=0, r_aus2=0.000924729, r_fer2=0
 5600: t=0.280, cavg*=1.01176, r_mart=0.1554, r_aus1=0.197346, r_fer1=0, r_aus2=0.00092951, r_fer2=0
 5800: t=0.290, cavg*=1.01176, r_mart=0.155458, r_aus1=0.197396, r_fer1=0, r_aus2=0.00093421, r_fer2=0
 6000: t=0.300, cavg*=1.01178, r_mart=0.155518, r_aus1=0.197446, r_fer1=0, r_aus2=0.000938835, r_fer2=0
 6200: t=0.310, cavg*=1.01178, r_mart=0.155579, r_aus1=0.197496, r_fer1=0, r_aus2=0.00094338, r_fer2=0
 6400: t=0.320, cavg*=1.01178, r_mart=0.155643, r_aus1=0.197545, r_fer1=0, r_aus2=0.000947856, r_fer2=0
 6600: t=0.330, cavg*=1.01179, r_mart=0.155708, r_aus1=0.197595, r_fer1=0, r_aus2=0.000952266, r_fer2=0
 6800: t=0.340, cavg*=1.01179, r_mart=0.155775, r_aus1=0.197644, r_fer1=0, r_aus2=0.000956613, r_fer2=0
 7000: t=0.350, cavg*=1.0118, r_mart=0.155844, r_aus1=0.197694, r_fer1=0, r_aus2=0.0009609, r_fer2=0
 7200: t=0.360, cavg*=1.0118, r_mart=0.155913, r_aus1=0.197743, r_fer1=0, r_aus2=0.00096513, r_fer2=0
 7400: t=0.370, cavg*=1.0118, r_mart=0.155985, r_aus1=0.197792, r_fer1=0, r_aus2=0.000969304, r_fer2=0
