coupled_FoFo_375_mu16e3.log @ arthur-ltf
2018-06-20T21:15:20

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 100.0 [s]; n_time = 12800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

  200: t=0.010, cavg*=1.00089, r_mart=0.0218176, r_aus1=0.00120664, r_fer1=0, r_aus2=0.00120973, r_fer2=0
  400: t=0.020, cavg*=1.00054, r_mart=0.0218176, r_aus1=0.00126488, r_fer1=0, r_aus2=0.00127069, r_fer2=0
  600: t=0.030, cavg*=1.00021, r_mart=0.0218176, r_aus1=0.00131933, r_fer1=0, r_aus2=0.00132803, r_fer2=0
  800: t=0.040, cavg*=0.999898, r_mart=0.0218176, r_aus1=0.00137249, r_fer1=0, r_aus2=0.00138425, r_fer2=0
 1000: t=0.050, cavg*=0.999618, r_mart=0.0218176, r_aus1=0.00142428, r_fer1=0, r_aus2=0.00143923, r_fer2=0
 1200: t=0.060, cavg*=0.999365, r_mart=0.0218176, r_aus1=0.00147461, r_fer1=0, r_aus2=0.00149285, r_fer2=0
 1400: t=0.070, cavg*=0.999135, r_mart=0.0218176, r_aus1=0.00152335, r_fer1=0, r_aus2=0.00154497, r_fer2=0
 1600: t=0.080, cavg*=0.998928, r_mart=0.0218176, r_aus1=0.00157034, r_fer1=0, r_aus2=0.00159538, r_fer2=0
 1800: t=0.090, cavg*=0.99874, r_mart=0.0218176, r_aus1=0.00161539, r_fer1=0, r_aus2=0.00164388, r_fer2=0
 2000: t=0.100, cavg*=0.998571, r_mart=0.0218176, r_aus1=0.00165844, r_fer1=0, r_aus2=0.00169039, r_fer2=0
 2200: t=0.110, cavg*=0.998418, r_mart=0.0218176, r_aus1=0.00169943, r_fer1=0, r_aus2=0.00173482, r_fer2=0
 2400: t=0.120, cavg*=0.998281, r_mart=0.0218176, r_aus1=0.00173841, r_fer1=0, r_aus2=0.00177723, r_fer2=0
 2600: t=0.130, cavg*=0.998156, r_mart=0.0218176, r_aus1=0.0017754, r_fer1=0, r_aus2=0.00181763, r_fer2=0
 2800: t=0.140, cavg*=0.998044, r_mart=0.0218176, r_aus1=0.00181055, r_fer1=0, r_aus2=0.00185615, r_fer2=0
 3000: t=0.150, cavg*=0.997943, r_mart=0.0218176, r_aus1=0.00184397, r_fer1=0, r_aus2=0.00189292, r_fer2=0
 3200: t=0.160, cavg*=0.997852, r_mart=0.0218176, r_aus1=0.00187574, r_fer1=0, r_aus2=0.001928, r_fer2=0
 3400: t=0.170, cavg*=0.997769, r_mart=0.0218176, r_aus1=0.00190594, r_fer1=0, r_aus2=0.00196147, r_fer2=0
 3600: t=0.180, cavg*=0.997693, r_mart=0.0218176, r_aus1=0.00193445, r_fer1=0, r_aus2=0.00199323, r_fer2=0
 3800: t=0.190, cavg*=0.997624, r_mart=0.0218176, r_aus1=0.00196159, r_fer1=0, r_aus2=0.00202358, r_fer2=0
 4000: t=0.200, cavg*=0.997562, r_mart=0.0218176, r_aus1=0.00198744, r_fer1=0, r_aus2=0.00205262, r_fer2=0
 4200: t=0.300, cavg*=0.997082, r_mart=0.218176, r_aus1=0.021864, r_fer1=0, r_aus2=0.0228165, r_fer2=0
 4400: t=0.400, cavg*=0.996835, r_mart=0.218176, r_aus1=0.0232847, r_fer1=0, r_aus2=0.0245199, r_fer2=0
 4600: t=0.500, cavg*=0.996688, r_mart=0.218176, r_aus1=0.0243564, r_fer1=0, r_aus2=0.0258585, r_fer2=0
 4800: t=0.600, cavg*=0.996591, r_mart=0.218176, r_aus1=0.0252152, r_fer1=0, r_aus2=0.0269726, r_fer2=0
 5000: t=0.700, cavg*=0.996522, r_mart=0.218176, r_aus1=0.0259328, r_fer1=0, r_aus2=0.0279363, r_fer2=0
 5200: t=0.800, cavg*=0.99647, r_mart=0.218176, r_aus1=0.0265506, r_fer1=0, r_aus2=0.028793, r_fer2=0
 5400: t=0.900, cavg*=0.996428, r_mart=0.218176, r_aus1=0.0270919, r_fer1=0, r_aus2=0.0295667, r_fer2=0
 5600: t=1.000, cavg*=0.996395, r_mart=0.218176, r_aus1=0.027576, r_fer1=0, r_aus2=0.0302783, r_fer2=0
 5800: t=1.100, cavg*=0.996367, r_mart=0.218176, r_aus1=0.0280153, r_fer1=0, r_aus2=0.0309407, r_fer2=0
 6000: t=1.200, cavg*=0.996343, r_mart=0.218176, r_aus1=0.0284182, r_fer1=0, r_aus2=0.0315632, r_fer2=0
 6200: t=1.300, cavg*=0.996323, r_mart=0.218176, r_aus1=0.0287911, r_fer1=0, r_aus2=0.0321525, r_fer2=0
 6400: t=1.400, cavg*=0.996305, r_mart=0.218176, r_aus1=0.0291389, r_fer1=0, r_aus2=0.0327139, r_fer2=0
 6600: t=1.500, cavg*=0.996289, r_mart=0.218176, r_aus1=0.0294652, r_fer1=0, r_aus2=0.0332516, r_fer2=0
 6800: t=1.600, cavg*=0.996274, r_mart=0.218176, r_aus1=0.0297731, r_fer1=0, r_aus2=0.0337688, r_fer2=0
 7000: t=1.700, cavg*=0.996261, r_mart=0.218176, r_aus1=0.0300649, r_fer1=0, r_aus2=0.0342681, r_fer2=0
 7200: t=1.800, cavg*=0.99625, r_mart=0.218176, r_aus1=0.0303427, r_fer1=0, r_aus2=0.0347518, r_fer2=0
 7400: t=1.900, cavg*=0.996239, r_mart=0.218176, r_aus1=0.030608, r_fer1=0, r_aus2=0.0352216, r_fer2=0
 7600: t=2.000, cavg*=0.996229, r_mart=0.218176, r_aus1=0.0308617, r_fer1=0, r_aus2=0.0356786, r_fer2=0
 7800: t=3.000, cavg*=0.995661, r_mart=2.18176, r_aus1=0.329106, r_fer1=0, r_aus2=0.397185, r_fer2=0
 8000: t=4.000, cavg*=0.995255, r_mart=2.18176, r_aus1=0.346, r_fer1=0, r_aus2=0.434146, r_fer2=0
 8200: t=5.000, cavg*=0.994941, r_mart=2.18176, r_aus1=0.360454, r_fer1=0, r_aus2=0.468908, r_fer2=0
 8400: t=6.000, cavg*=0.994684, r_mart=2.18176, r_aus1=0.373428, r_fer1=0, r_aus2=0.502676, r_fer2=0
 8600: t=7.000, cavg*=0.994465, r_mart=2.18176, r_aus1=0.385398, r_fer1=0, r_aus2=0.53609, r_fer2=0
 8800: t=8.000, cavg*=0.994273, r_mart=2.18176, r_aus1=0.396645, r_fer1=0, r_aus2=0.569558, r_fer2=0
 9000: t=9.000, cavg*=0.994102, r_mart=2.18176, r_aus1=0.40735, r_fer1=0, r_aus2=0.603368, r_fer2=0
 9200: t=10.000, cavg*=0.993947, r_mart=2.18176, r_aus1=0.417637, r_fer1=0, r_aus2=0.637739, r_fer2=0
 9400: t=11.000, cavg*=0.993804, r_mart=2.18176, r_aus1=0.427594, r_fer1=0, r_aus2=0.672856, r_fer2=0
 9600: t=12.000, cavg*=0.993671, r_mart=2.18176, r_aus1=0.437287, r_fer1=0, r_aus2=0.708878, r_fer2=0
 9800: t=13.000, cavg*=0.993547, r_mart=2.18176, r_aus1=0.446767, r_fer1=0, r_aus2=0.745941, r_fer2=0
10000: t=14.000, cavg*=0.993431, r_mart=2.18176, r_aus1=0.456073, r_fer1=0, r_aus2=0.784154, r_fer2=0
10200: t=15.000, cavg*=0.99332, r_mart=2.18176, r_aus1=0.465236, r_fer1=0, r_aus2=0.823574, r_fer2=0
10400: t=16.000, cavg*=0.993215, r_mart=2.18176, r_aus1=0.474284, r_fer1=0, r_aus2=0.864183, r_fer2=0
10600: t=17.000, cavg*=0.993116, r_mart=2.18176, r_aus1=0.483235, r_fer1=0, r_aus2=0.905822, r_fer2=0
10800: t=18.000, cavg*=0.993022, r_mart=2.18176, r_aus1=0.492108, r_fer1=0, r_aus2=0.948192, r_fer2=0
11000: t=19.000, cavg*=0.992934, r_mart=2.18176, r_aus1=0.500915, r_fer1=0, r_aus2=0.990842, r_fer2=0
11200: t=20.000, cavg*=0.992852, r_mart=2.18176, r_aus1=0.509668, r_fer1=0, r_aus2=1.03318, r_fer2=0
11400: t=30.000, cavg*=0.989404, r_mart=21.8161, r_aus1=0.350205, r_fer1=0, r_aus2=13.4373, r_fer2=0
11600: t=40.000, cavg*=0.988536, r_mart=21.8054, r_aus1=0.402001, r_fer1=0, r_aus2=14.0843, r_fer2=0
11800: t=50.000, cavg*=0.98809, r_mart=21.7746, r_aus1=0.456783, r_fer1=0, r_aus2=14.1819, r_fer2=0
12000: t=60.000, cavg*=0.987709, r_mart=21.7199, r_aus1=0.516393, r_fer1=0, r_aus2=14.22, r_fer2=0
12200: t=70.000, cavg*=0.987329, r_mart=21.6451, r_aus1=0.583806, r_fer1=0, r_aus2=14.2502, r_fer2=0
12400: t=80.000, cavg*=0.98692, r_mart=21.5556, r_aus1=0.664208, r_fer1=0, r_aus2=14.2784, r_fer2=0
12600: t=90.000, cavg*=0.98646, r_mart=21.4548, r_aus1=0.765736, r_fer1=0, r_aus2=14.3062, r_fer2=0
12800: t=100.000, cavg*=1.03995, r_fer1=46.1927, r_aus2=5.01721, r_fer2=0
Time elapsed: 61.26 s

