coupled_FoFo_375_mu20e3.log @ arthur-tud
2019-07-15T12:50:35

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 38000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

   20: t=0.010, cavg*=1.00031, r_mart=1.45321, r_aus1=0.0136585, r_fer1=0, r_aus2=0.00630663, r_fer2=0
   40: t=0.020, cavg*=0.999992, r_mart=1.45377, r_aus1=0.0136628, r_fer1=0, r_aus2=0.00637462, r_fer2=0
   60: t=0.030, cavg*=0.999765, r_mart=1.454, r_aus1=0.0136671, r_fer1=0, r_aus2=0.00647907, r_fer2=0
   80: t=0.040, cavg*=0.999602, r_mart=1.45408, r_aus1=0.0136713, r_fer1=0, r_aus2=0.00660603, r_fer2=0
  100: t=0.050, cavg*=0.999484, r_mart=1.4541, r_aus1=0.0136755, r_fer1=0, r_aus2=0.00674394, r_fer2=0
  120: t=0.060, cavg*=0.999397, r_mart=1.45409, r_aus1=0.0136797, r_fer1=0, r_aus2=0.0068828, r_fer2=0
  140: t=0.070, cavg*=0.99933, r_mart=1.45406, r_aus1=0.0136838, r_fer1=0, r_aus2=0.00701461, r_fer2=0
  160: t=0.080, cavg*=0.999277, r_mart=1.45404, r_aus1=0.0136879, r_fer1=0, r_aus2=0.00713807, r_fer2=0
  180: t=0.090, cavg*=0.999231, r_mart=1.45401, r_aus1=0.013692, r_fer1=0, r_aus2=0.00725054, r_fer2=0
  200: t=0.100, cavg*=0.999192, r_mart=1.45399, r_aus1=0.013696, r_fer1=0, r_aus2=0.00735336, r_fer2=0
  220: t=0.110, cavg*=0.999158, r_mart=1.45397, r_aus1=0.0137, r_fer1=0, r_aus2=0.00744931, r_fer2=0
  240: t=0.120, cavg*=0.999127, r_mart=1.45396, r_aus1=0.013704, r_fer1=0, r_aus2=0.00753842, r_fer2=0
  260: t=0.130, cavg*=0.999098, r_mart=1.45394, r_aus1=0.0137079, r_fer1=0, r_aus2=0.00762219, r_fer2=0
  280: t=0.140, cavg*=0.999072, r_mart=1.45393, r_aus1=0.0137118, r_fer1=0, r_aus2=0.00770174, r_fer2=0
  300: t=0.150, cavg*=0.999049, r_mart=1.45392, r_aus1=0.0137157, r_fer1=0, r_aus2=0.00777839, r_fer2=0
  320: t=0.160, cavg*=0.999026, r_mart=1.45391, r_aus1=0.0137196, r_fer1=0, r_aus2=0.00785194, r_fer2=0
  340: t=0.170, cavg*=0.999006, r_mart=1.45391, r_aus1=0.0137235, r_fer1=0, r_aus2=0.0079227, r_fer2=0
  360: t=0.180, cavg*=0.998986, r_mart=1.4539, r_aus1=0.0137273, r_fer1=0, r_aus2=0.00799113, r_fer2=0
  380: t=0.190, cavg*=0.998967, r_mart=1.4539, r_aus1=0.0137312, r_fer1=0, r_aus2=0.00805749, r_fer2=0
  400: t=0.200, cavg*=0.99895, r_mart=1.45389, r_aus1=0.013735, r_fer1=0, r_aus2=0.008122, r_fer2=0
  420: t=0.210, cavg*=0.998934, r_mart=1.45389, r_aus1=0.0137388, r_fer1=0, r_aus2=0.00818529, r_fer2=0
  440: t=0.220, cavg*=0.998918, r_mart=1.45389, r_aus1=0.0137426, r_fer1=0, r_aus2=0.00824666, r_fer2=0
  460: t=0.230, cavg*=0.998903, r_mart=1.45389, r_aus1=0.0137463, r_fer1=0, r_aus2=0.00830651, r_fer2=0
  480: t=0.240, cavg*=0.998888, r_mart=1.45389, r_aus1=0.0137501, r_fer1=0, r_aus2=0.008365, r_fer2=0
  500: t=0.250, cavg*=0.998875, r_mart=1.4539, r_aus1=0.0137538, r_fer1=0, r_aus2=0.00842224, r_fer2=0
  520: t=0.260, cavg*=0.998861, r_mart=1.4539, r_aus1=0.0137576, r_fer1=0, r_aus2=0.0084783, r_fer2=0
  540: t=0.270, cavg*=0.998849, r_mart=1.4539, r_aus1=0.0137613, r_fer1=0, r_aus2=0.00853328, r_fer2=0
  560: t=0.280, cavg*=0.998837, r_mart=1.45391, r_aus1=0.013765, r_fer1=0, r_aus2=0.00858753, r_fer2=0
  580: t=0.290, cavg*=0.998825, r_mart=1.45392, r_aus1=0.0137687, r_fer1=0, r_aus2=0.00864055, r_fer2=0
  600: t=0.300, cavg*=0.998813, r_mart=1.45392, r_aus1=0.0137724, r_fer1=0, r_aus2=0.0086926, r_fer2=0
  620: t=0.310, cavg*=0.998802, r_mart=1.45393, r_aus1=0.013776, r_fer1=0, r_aus2=0.00874377, r_fer2=0
  640: t=0.320, cavg*=0.998792, r_mart=1.45394, r_aus1=0.0137797, r_fer1=0, r_aus2=0.0087941, r_fer2=0
  660: t=0.330, cavg*=0.998781, r_mart=1.45395, r_aus1=0.0137833, r_fer1=0, r_aus2=0.00884365, r_fer2=0
  680: t=0.340, cavg*=0.998771, r_mart=1.45396, r_aus1=0.013787, r_fer1=0, r_aus2=0.00889244, r_fer2=0
  700: t=0.350, cavg*=0.998761, r_mart=1.45397, r_aus1=0.0137906, r_fer1=0, r_aus2=0.00894053, r_fer2=0
  720: t=0.360, cavg*=0.998752, r_mart=1.45398, r_aus1=0.0137942, r_fer1=0, r_aus2=0.00898793, r_fer2=0
  740: t=0.370, cavg*=0.998743, r_mart=1.45399, r_aus1=0.0137978, r_fer1=0, r_aus2=0.0090349, r_fer2=0
  760: t=0.380, cavg*=0.998734, r_mart=1.454, r_aus1=0.0138014, r_fer1=0, r_aus2=0.00908107, r_fer2=0
  780: t=0.390, cavg*=0.998725, r_mart=1.45401, r_aus1=0.013805, r_fer1=0, r_aus2=0.00912661, r_fer2=0
  800: t=0.400, cavg*=0.998716, r_mart=1.45402, r_aus1=0.0138086, r_fer1=0, r_aus2=0.00917158, r_fer2=0
  820: t=0.410, cavg*=0.998708, r_mart=1.45404, r_aus1=0.0138121, r_fer1=0, r_aus2=0.009216, r_fer2=0
  840: t=0.420, cavg*=0.9987, r_mart=1.45405, r_aus1=0.0138157, r_fer1=0, r_aus2=0.00925988, r_fer2=0
  860: t=0.430, cavg*=0.998692, r_mart=1.45406, r_aus1=0.0138192, r_fer1=0, r_aus2=0.00930326, r_fer2=0
  880: t=0.440, cavg*=0.998684, r_mart=1.45407, r_aus1=0.0138228, r_fer1=0, r_aus2=0.00934613, r_fer2=0
  900: t=0.450, cavg*=0.998677, r_mart=1.45409, r_aus1=0.0138263, r_fer1=0, r_aus2=0.00938854, r_fer2=0
