coupled_FoFo_375_mu23e3.log @ arthur-ltf
2018-06-21T02:36:26

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

   20: t=0.001, cavg*=1.00123, r_mart=0.145493, r_aus1=0.00318036, r_fer1=0, r_aus2=0.000649081, r_fer2=0
   40: t=0.002, cavg*=1.00118, r_mart=0.145639, r_aus1=0.00318133, r_fer1=0, r_aus2=0.000715371, r_fer2=0
   60: t=0.003, cavg*=1.00125, r_mart=0.145742, r_aus1=0.00318224, r_fer1=0, r_aus2=0.000817059, r_fer2=0
   80: t=0.004, cavg*=1.00134, r_mart=0.145822, r_aus1=0.00318308, r_fer1=0, r_aus2=0.000932647, r_fer2=0
  100: t=0.005, cavg*=1.00137, r_mart=0.145887, r_aus1=0.00318385, r_fer1=0, r_aus2=0.00103622, r_fer2=0
  120: t=0.006, cavg*=1.00133, r_mart=0.145941, r_aus1=0.00318457, r_fer1=0, r_aus2=0.00111162, r_fer2=0
  140: t=0.007, cavg*=1.00123, r_mart=0.145985, r_aus1=0.00318525, r_fer1=0, r_aus2=0.0011585, r_fer2=0
  160: t=0.008, cavg*=1.00109, r_mart=0.146023, r_aus1=0.00318592, r_fer1=0, r_aus2=0.00118507, r_fer2=0
  180: t=0.009, cavg*=1.00094, r_mart=0.146054, r_aus1=0.00318657, r_fer1=0, r_aus2=0.00120014, r_fer2=0
  200: t=0.010, cavg*=1.00079, r_mart=0.14608, r_aus1=0.00318723, r_fer1=0, r_aus2=0.00120973, r_fer2=0
  220: t=0.011, cavg*=1.00064, r_mart=0.146101, r_aus1=0.00318787, r_fer1=0, r_aus2=0.00121704, r_fer2=0
  240: t=0.012, cavg*=1.0005, r_mart=0.146119, r_aus1=0.00318852, r_fer1=0, r_aus2=0.00122348, r_fer2=0
