coupled_FoFo_375_mu25e3.log @ arthur-tud
2019-07-15T12:54:13

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

  200: t=0.010, cavg*=0.998488, r_mart=0.147006, r_aus1=0.0053741, r_fer1=0, r_aus2=0.000649398, r_fer2=0
  400: t=0.020, cavg*=0.997485, r_mart=0.146868, r_aus1=0.00537575, r_fer1=0, r_aus2=0.000687506, r_fer2=0
  600: t=0.030, cavg*=0.997389, r_mart=0.146638, r_aus1=0.00537736, r_fer1=0, r_aus2=0.000712997, r_fer2=0
  800: t=0.040, cavg*=0.997453, r_mart=0.146523, r_aus1=0.00537894, r_fer1=0, r_aus2=0.000727393, r_fer2=0
 1000: t=0.050, cavg*=0.997505, r_mart=0.146473, r_aus1=0.00538051, r_fer1=0, r_aus2=0.00073831, r_fer2=0
 1200: t=0.060, cavg*=0.997531, r_mart=0.146444, r_aus1=0.00538208, r_fer1=0, r_aus2=0.000748056, r_fer2=0
 1400: t=0.070, cavg*=0.997546, r_mart=0.146423, r_aus1=0.00538363, r_fer1=0, r_aus2=0.000757125, r_fer2=0
 1600: t=0.080, cavg*=0.997557, r_mart=0.146407, r_aus1=0.00538517, r_fer1=0, r_aus2=0.000765679, r_fer2=0
 1800: t=0.090, cavg*=0.997566, r_mart=0.146394, r_aus1=0.0053867, r_fer1=0, r_aus2=0.000773825, r_fer2=0
 2000: t=0.100, cavg*=0.997571, r_mart=0.146384, r_aus1=0.00538823, r_fer1=0, r_aus2=0.000781587, r_fer2=0
 2200: t=0.110, cavg*=0.997575, r_mart=0.146376, r_aus1=0.00538974, r_fer1=0, r_aus2=0.000789032, r_fer2=0
