mart_FoFo_CCE.log @ arthur-ltf
2018-06-23T07:13:19

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 416000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 200
intf: type_int = 0 (fixed.balance)

  200: t=0.010, cavg*=0.999999, r_mart=0.163019, r_aust=0.429154
  400: t=0.020, cavg*=1, r_mart=0.163019, r_aust=0.425971
  600: t=0.030, cavg*=1, r_mart=0.163019, r_aust=0.437632
  800: t=0.040, cavg*=0.999999, r_mart=0.163019, r_aust=0.434242
 1000: t=0.050, cavg*=1, r_mart=0.163019, r_aust=0.441895
 1200: t=0.060, cavg*=1, r_mart=0.163019, r_aust=0.437254
 1400: t=0.070, cavg*=1, r_mart=0.163019, r_aust=0.436429
 1600: t=0.080, cavg*=1, r_mart=0.163019, r_aust=0.437645
 1800: t=0.090, cavg*=1, r_mart=0.163019, r_aust=0.438547
 2000: t=0.100, cavg*=1, r_mart=0.163019, r_aust=0.439091
 2200: t=0.110, cavg*=1, r_mart=0.163019, r_aust=0.439957
 2400: t=0.120, cavg*=1, r_mart=0.163019, r_aust=0.441471
 2600: t=0.130, cavg*=1, r_mart=0.163019, r_aust=0.442602
 2800: t=0.140, cavg*=1, r_mart=0.163019, r_aust=0.441548
 3000: t=0.150, cavg*=1, r_mart=0.163019, r_aust=0.438485
 3200: t=0.160, cavg*=1, r_mart=0.163019, r_aust=0.436945
 3400: t=0.170, cavg*=1, r_mart=0.163019, r_aust=0.437219
 3600: t=0.180, cavg*=1, r_mart=0.163019, r_aust=0.434703
 3800: t=0.190, cavg*=1, r_mart=0.163019, r_aust=0.430911
 4000: t=0.200, cavg*=1, r_mart=0.163019, r_aust=0.429832
 4200: t=0.210, cavg*=1, r_mart=0.163019, r_aust=0.426531
 4400: t=0.220, cavg*=1, r_mart=0.163019, r_aust=0.422386
 4600: t=0.230, cavg*=1, r_mart=0.163019, r_aust=0.420252
 4800: t=0.240, cavg*=1, r_mart=0.163019, r_aust=0.415306
 5000: t=0.250, cavg*=1, r_mart=0.163019, r_aust=0.411986
 5200: t=0.260, cavg*=1, r_mart=0.163019, r_aust=0.407671
 5400: t=0.270, cavg*=1, r_mart=0.163019, r_aust=0.403005
 5600: t=0.280, cavg*=1, r_mart=0.163019, r_aust=0.398989
 5800: t=0.290, cavg*=1, r_mart=0.163019, r_aust=0.393657
 6000: t=0.300, cavg*=1, r_mart=0.163019, r_aust=0.389508
 6200: t=0.310, cavg*=1, r_mart=0.163019, r_aust=0.383936
 6400: t=0.320, cavg*=1, r_mart=0.163019, r_aust=0.379514
 6600: t=0.330, cavg*=1, r_mart=0.163019, r_aust=0.373888
 6800: t=0.340, cavg*=1, r_mart=0.163019, r_aust=0.36918
 7000: t=0.350, cavg*=1, r_mart=0.163019, r_aust=0.363624
 7200: t=0.360, cavg*=1, r_mart=0.163019, r_aust=0.358616
 7400: t=0.370, cavg*=1, r_mart=0.163019, r_aust=0.353251
 7600: t=0.380, cavg*=1, r_mart=0.163019, r_aust=0.347933
 7800: t=0.390, cavg*=1, r_mart=0.163019, r_aust=0.342816
 8000: t=0.400, cavg*=1, r_mart=0.163019, r_aust=0.337286
 8200: t=0.410, cavg*=1, r_mart=0.163019, r_aust=0.332307
 8400: t=0.420, cavg*=1, r_mart=0.163019, r_aust=0.32683
 8600: t=0.430, cavg*=1, r_mart=0.163019, r_aust=0.321748
 8800: t=0.440, cavg*=1, r_mart=0.163019, r_aust=0.316581
 9000: t=0.450, cavg*=1, r_mart=0.163019, r_aust=0.31132
 9200: t=0.460, cavg*=1, r_mart=0.163019, r_aust=0.306397
 9400: t=0.470, cavg*=1, r_mart=0.163019, r_aust=0.301234
 9600: t=0.480, cavg*=1, r_mart=0.163019, r_aust=0.296266
 9800: t=0.490, cavg*=1, r_mart=0.163019, r_aust=0.291415
10000: t=0.500, cavg*=1, r_mart=0.163019, r_aust=0.286436
10200: t=0.510, cavg*=1, r_mart=0.163019, r_aust=0.28169
10400: t=0.520, cavg*=1, r_mart=0.163019, r_aust=0.276974
10600: t=0.530, cavg*=1, r_mart=0.163019, r_aust=0.272225
10800: t=0.540, cavg*=1, r_mart=0.163019, r_aust=0.267674
11000: t=0.550, cavg*=1, r_mart=0.163019, r_aust=0.263152
11200: t=0.560, cavg*=1, r_mart=0.163019, r_aust=0.258636
11400: t=0.570, cavg*=1, r_mart=0.163019, r_aust=0.25428
11600: t=0.580, cavg*=1, r_mart=0.163019, r_aust=0.24998
11800: t=0.590, cavg*=1, r_mart=0.163019, r_aust=0.245698
12000: t=0.600, cavg*=1, r_mart=0.163019, r_aust=0.241542
12200: t=0.610, cavg*=1, r_mart=0.163019, r_aust=0.23747
12400: t=0.620, cavg*=1, r_mart=0.163019, r_aust=0.233426
12600: t=0.630, cavg*=1, r_mart=0.163019, r_aust=0.229473
12800: t=0.640, cavg*=1, r_mart=0.163019, r_aust=0.225622
13000: t=0.650, cavg*=1, r_mart=0.163019, r_aust=0.221817
13200: t=0.660, cavg*=1, r_mart=0.163019, r_aust=0.218075
13400: t=0.670, cavg*=1, r_mart=0.163019, r_aust=0.214429
13600: t=0.680, cavg*=1, r_mart=0.163019, r_aust=0.210856
13800: t=0.690, cavg*=1, r_mart=0.163019, r_aust=0.207334
14000: t=0.700, cavg*=1, r_mart=0.163019, r_aust=0.203888
14200: t=0.710, cavg*=1, r_mart=0.163019, r_aust=0.200524
14400: t=0.720, cavg*=1, r_mart=0.163019, r_aust=0.197223
14600: t=0.730, cavg*=1, r_mart=0.163019, r_aust=0.19398
14800: t=0.740, cavg*=1, r_mart=0.163019, r_aust=0.190809
15000: t=0.750, cavg*=1, r_mart=0.163019, r_aust=0.18771
15200: t=0.760, cavg*=1, r_mart=0.163019, r_aust=0.184672
15400: t=0.770, cavg*=1, r_mart=0.163019, r_aust=0.181692
15600: t=0.780, cavg*=1, r_mart=0.163019, r_aust=0.178778
15800: t=0.790, cavg*=1, r_mart=0.163019, r_aust=0.175929
16000: t=0.800, cavg*=1, r_mart=0.163019, r_aust=0.173139
16200: t=0.810, cavg*=1, r_mart=0.163019, r_aust=0.170405
16400: t=0.820, cavg*=1, r_mart=0.163019, r_aust=0.167729
16600: t=0.830, cavg*=1, r_mart=0.163019, r_aust=0.165114
16800: t=0.840, cavg*=1, r_mart=0.163019, r_aust=0.162554
17000: t=0.850, cavg*=1, r_mart=0.163019, r_aust=0.160048
17200: t=0.860, cavg*=1, r_mart=0.163019, r_aust=0.157594
17400: t=0.870, cavg*=1, r_mart=0.163019, r_aust=0.155195
