mart_FoFo_CCE_resume.log @ arthur-ltf
2018-06-14T19:42:58

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 20000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 10
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 50
intf: type_int = 1 (fixed.fluxes)

  100: t=4.950, cavg*=1.01589, r_mart=5.4996, r_aust=1.33896
  200: t=9.950, cavg*=1.01768, r_mart=5.4996, r_aust=0.821084
  300: t=14.951, cavg*=1.01808, r_mart=5.4996, r_aust=0.627644
  400: t=19.951, cavg*=1.01818, r_mart=5.4996, r_aust=0.523108
  500: t=24.951, cavg*=1.01817, r_mart=5.4996, r_aust=0.456374
  600: t=29.951, cavg*=1.01812, r_mart=5.4996, r_aust=0.409496
  700: t=34.952, cavg*=1.01806, r_mart=5.4996, r_aust=0.374455
  800: t=39.952, cavg*=1.01799, r_mart=5.4996, r_aust=0.347091
  900: t=44.952, cavg*=1.01791, r_mart=5.4996, r_aust=0.325021
 1000: t=49.952, cavg*=1.01784, r_mart=5.4996, r_aust=0.306771
 1100: t=54.953, cavg*=1.01776, r_mart=5.4996, r_aust=0.291377
 1200: t=59.953, cavg*=1.01769, r_mart=5.4996, r_aust=0.278183
 1300: t=64.953, cavg*=1.01763, r_mart=5.4996, r_aust=0.266721
 1400: t=69.953, cavg*=1.01756, r_mart=5.4996, r_aust=0.256652
 1500: t=74.954, cavg*=1.0175, r_mart=5.4996, r_aust=0.247721
 1600: t=79.954, cavg*=1.01744, r_mart=5.4996, r_aust=0.239733
 1700: t=84.954, cavg*=1.01739, r_mart=5.4996, r_aust=0.232539
 1800: t=89.954, cavg*=1.01733, r_mart=5.4996, r_aust=0.226017
 1900: t=94.955, cavg*=1.01728, r_mart=5.4996, r_aust=0.220071
 2000: t=99.955, cavg*=1.01724, r_mart=5.4996, r_aust=0.214624
 2100: t=104.955, cavg*=1.01719, r_mart=5.4996, r_aust=0.209612
 2200: t=109.955, cavg*=1.01715, r_mart=5.4996, r_aust=0.204982
 2300: t=114.956, cavg*=1.01711, r_mart=5.4996, r_aust=0.20069
 2400: t=119.956, cavg*=1.01706, r_mart=5.4996, r_aust=0.1967
 2500: t=124.956, cavg*=1.01703, r_mart=5.4996, r_aust=0.19298
 2600: t=129.956, cavg*=1.01699, r_mart=5.4996, r_aust=0.189503
 2700: t=134.957, cavg*=1.01695, r_mart=5.4996, r_aust=0.186247
 2800: t=139.957, cavg*=1.01692, r_mart=5.4996, r_aust=0.183192
 2900: t=144.957, cavg*=1.01688, r_mart=5.4996, r_aust=0.180322
 3000: t=149.957, cavg*=1.01685, r_mart=5.4996, r_aust=0.177622
 3100: t=154.958, cavg*=1.01682, r_mart=5.4996, r_aust=0.175078
 3200: t=159.958, cavg*=1.01679, r_mart=5.4996, r_aust=0.172679
 3300: t=164.958, cavg*=1.01676, r_mart=5.4996, r_aust=0.170416
 3400: t=169.958, cavg*=1.01673, r_mart=5.4996, r_aust=0.168279
 3500: t=174.959, cavg*=1.0167, r_mart=5.4996, r_aust=0.166259
 3600: t=179.959, cavg*=1.01668, r_mart=5.4996, r_aust=0.164349
 3700: t=184.959, cavg*=1.01665, r_mart=5.4996, r_aust=0.162544
 3800: t=189.959, cavg*=1.01663, r_mart=5.4996, r_aust=0.160835
 3900: t=194.960, cavg*=1.0166, r_mart=5.4996, r_aust=0.159218
 4000: t=199.960, cavg*=1.01658, r_mart=5.4996, r_aust=0.157688
 4100: t=204.960, cavg*=1.01656, r_mart=5.4996, r_aust=0.156239
 4200: t=209.960, cavg*=1.01654, r_mart=5.4996, r_aust=0.154867
 4300: t=214.961, cavg*=1.01652, r_mart=5.4996, r_aust=0.153568
 4400: t=219.961, cavg*=1.0165, r_mart=5.4996, r_aust=0.152337
 4500: t=224.961, cavg*=1.01648, r_mart=5.4996, r_aust=0.151172
 4600: t=229.961, cavg*=1.01646, r_mart=5.4996, r_aust=0.150068
 4700: t=234.962, cavg*=1.01645, r_mart=5.4996, r_aust=0.149022
