# n=60
# ti=5 tf=1000 tstep=5 ntime=200
z c strct
-1.160000e+00 1.701749e-04 mart
-1.104444e+00 1.701079e-04 mart
-1.048889e+00 1.699068e-04 mart
-9.933333e-01 1.695723e-04 mart
-9.377778e-01 1.691052e-04 mart
-8.822222e-01 1.685070e-04 mart
-8.266667e-01 1.677792e-04 mart
-7.711111e-01 1.669240e-04 mart
-7.155556e-01 1.659437e-04 mart
-6.600000e-01 1.648411e-04 mart
-6.600000e-01 1.083639e-01 aust
-6.465306e-01 1.081878e-01 aust
-6.330612e-01 1.078991e-01 aust
-6.195918e-01 1.074948e-01 aust
-6.061224e-01 1.069698e-01 aust
-5.926531e-01 1.063175e-01 aust
-5.791837e-01 1.055286e-01 aust
-5.657143e-01 1.045915e-01 aust
-5.522449e-01 1.034912e-01 aust
-5.387755e-01 1.022085e-01 aust
-5.253061e-01 1.007192e-01 aust
-5.118367e-01 9.899186e-02 aust
-4.983673e-01 9.698585e-02 aust
-4.848980e-01 9.464771e-02 aust
-4.714286e-01 9.190602e-02 aust
-4.579592e-01 8.866363e-02 aust
-4.444898e-01 8.478596e-02 aust
-4.310204e-01 8.008425e-02 aust
-4.175510e-01 7.429517e-02 aust
-4.040816e-01 6.707761e-02 aust
-3.906122e-01 5.814015e-02 aust
-3.771429e-01 4.796916e-02 aust
-3.636735e-01 3.954692e-02 aust
-3.502041e-01 3.537884e-02 aust
-3.367347e-01 3.396804e-02 aust
-3.232653e-01 3.357270e-02 aust
-3.097959e-01 3.347220e-02 aust
-2.963265e-01 3.344827e-02 aust
-2.828571e-01 3.344286e-02 aust
-2.693878e-01 3.344170e-02 aust
-2.559184e-01 3.344146e-02 aust
-2.424490e-01 3.344141e-02 aust
-2.289796e-01 3.344140e-02 aust
-2.155102e-01 3.344140e-02 aust
-2.020408e-01 3.344140e-02 aust
-1.885714e-01 3.344140e-02 aust
-1.751020e-01 3.344140e-02 aust
-1.616327e-01 3.344140e-02 aust
-1.481633e-01 3.344140e-02 aust
-1.346939e-01 3.344140e-02 aust
-1.212245e-01 3.344140e-02 aust
-1.077551e-01 3.344140e-02 aust
-9.428571e-02 3.344140e-02 aust
-8.081633e-02 3.344140e-02 aust
-6.734694e-02 3.344140e-02 aust
-5.387755e-02 3.344140e-02 aust
-4.040816e-02 3.344140e-02 aust
-2.693878e-02 3.344140e-02 aust
-1.346939e-02 3.344140e-02 aust
0.000000e+00 3.344140e-02 aust
-1.160000e+00 1.276762e-04 mart
-1.104444e+00 1.276530e-04 mart
-1.048889e+00 1.275833e-04 mart
-9.933333e-01 1.274672e-04 mart
-9.377778e-01 1.273049e-04 mart
-8.822222e-01 1.270966e-04 mart
-8.266667e-01 1.268427e-04 mart
-7.711111e-01 1.265433e-04 mart
-7.155556e-01 1.261990e-04 mart
-6.600000e-01 1.258102e-04 mart
-6.600000e-01 9.841376e-02 aust
-6.465306e-01 9.832673e-02 aust
-6.330612e-01 9.815394e-02 aust
-6.195918e-01 9.789398e-02 aust
-6.061224e-01 9.754461e-02 aust
-5.926531e-01 9.710259e-02 aust
-5.791837e-01 9.656366e-02 aust
-5.657143e-01 9.592240e-02 aust
-5.522449e-01 9.517201e-02 aust
-5.387755e-01 9.430414e-02 aust
-5.253061e-01 9.330856e-02 aust
-5.118367e-01 9.217277e-02 aust
-4.983673e-01 9.088151e-02 aust
-4.848980e-01 8.941613e-02 aust
-4.714286e-01 8.775370e-02 aust
-4.579592e-01 8.586592e-02 aust
-4.444898e-01 8.371775e-02 aust
-4.310204e-01 8.126558e-02 aust
-4.175510e-01 7.845523e-02 aust
-4.040816e-01 7.522000e-02 aust
-3.906122e-01 7.147999e-02 aust
-3.771429e-01 6.714655e-02 aust
-3.636735e-01 6.214134e-02 aust
-3.502041e-01 5.645357e-02 aust
-3.367347e-01 5.027651e-02 aust
-3.232653e-01 4.422189e-02 aust
-3.097959e-01 3.929990e-02 aust
-2.963265e-01 3.616803e-02 aust
-2.828571e-01 3.457109e-02 aust
-2.693878e-01 3.387329e-02 aust
-2.559184e-01 3.359711e-02 aust
-2.424490e-01 3.349493e-02 aust
-2.289796e-01 3.345905e-02 aust
-2.155102e-01 3.344700e-02 aust
-2.020408e-01 3.344312e-02 aust
-1.885714e-01 3.344191e-02 aust
-1.751020e-01 3.344155e-02 aust
-1.616327e-01 3.344144e-02 aust
-1.481633e-01 3.344141e-02 aust
-1.346939e-01 3.344140e-02 aust
-1.212245e-01 3.344140e-02 aust
-1.077551e-01 3.344140e-02 aust
-9.428571e-02 3.344140e-02 aust
-8.081633e-02 3.344140e-02 aust
-6.734694e-02 3.344140e-02 aust
-5.387755e-02 3.344140e-02 aust
-4.040816e-02 3.344140e-02 aust
-2.693878e-02 3.344140e-02 aust
-1.346939e-02 3.344140e-02 aust
0.000000e+00 3.344140e-02 aust
-1.160000e+00 1.089775e-04 mart
-1.104444e+00 1.089648e-04 mart
-1.048889e+00 1.089269e-04 mart
-9.933333e-01 1.088637e-04 mart
-9.377778e-01 1.087753e-04 mart
-8.822222e-01 1.086618e-04 mart
-8.266667e-01 1.085233e-04 mart
-7.711111e-01 1.083599e-04 mart
-7.155556e-01 1.081717e-04 mart
-6.600000e-01 1.079590e-04 mart
-6.600000e-01 9.287587e-02 aust
-6.465306e-01 9.281885e-02 aust
-6.330612e-01 9.269044e-02 aust
-6.195918e-01 9.248981e-02 aust
