mart_FoFo_CCEortho.log @ arthur-ltf
2018-06-20T21:22:53

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 100
intf: type_int = 1 (fixed.fluxes)

  200: t=0.010, cavg*=0.997969, r_mart=0.0212779, r_aust=0.000157066
  400: t=0.020, cavg*=0.997934, r_mart=0.0212779, r_aust=0.000157066
  600: t=0.030, cavg*=0.997903, r_mart=0.0212779, r_aust=0.000157066
  800: t=0.040, cavg*=0.997873, r_mart=0.0212779, r_aust=0.000157066
 1000: t=0.050, cavg*=0.997846, r_mart=0.0212778, r_aust=0.000157066
 1200: t=0.060, cavg*=0.997822, r_mart=0.0212778, r_aust=0.000157066
 1400: t=0.070, cavg*=0.997798, r_mart=0.0212777, r_aust=0.000157066
 1600: t=0.080, cavg*=0.997777, r_mart=0.0212776, r_aust=0.000157066
 1800: t=0.090, cavg*=0.997756, r_mart=0.0212775, r_aust=0.000157066
 2000: t=0.100, cavg*=0.997737, r_mart=0.0212773, r_aust=0.000157066
 2200: t=0.110, cavg*=0.997719, r_mart=0.0212771, r_aust=0.000157066
 2400: t=0.120, cavg*=0.997702, r_mart=0.0212769, r_aust=0.000157066
 2600: t=0.130, cavg*=0.997686, r_mart=0.0212767, r_aust=0.000157066
 2800: t=0.140, cavg*=0.997671, r_mart=0.0212764, r_aust=0.000157066
 3000: t=0.150, cavg*=0.997656, r_mart=0.0212762, r_aust=0.000157066
 3200: t=0.160, cavg*=0.997642, r_mart=0.0212759, r_aust=0.000157066
 3400: t=0.170, cavg*=0.997628, r_mart=0.0212756, r_aust=0.000157066
 3600: t=0.180, cavg*=0.997615, r_mart=0.0212753, r_aust=0.000157066
 3800: t=0.190, cavg*=0.997603, r_mart=0.021275, r_aust=0.000157066
 4000: t=0.200, cavg*=0.997591, r_mart=0.0212747, r_aust=0.000157066
 4200: t=0.300, cavg*=0.997492, r_mart=0.212715, r_aust=0.00157066
 4400: t=0.400, cavg*=0.997417, r_mart=0.212685, r_aust=0.00157066
 4600: t=0.500, cavg*=0.997358, r_mart=0.212657, r_aust=0.00157066
 4800: t=0.600, cavg*=0.997309, r_mart=0.212631, r_aust=0.00157066
