# n=120
# ti=5 tf=1000 tstep=5 ntime=200
z c strct
-1.160000e+00 3.418624e-02 mart
-1.133684e+00 3.418635e-02 mart
-1.107368e+00 3.418669e-02 mart
-1.081053e+00 3.418726e-02 mart
-1.054737e+00 3.418806e-02 mart
-1.028421e+00 3.418909e-02 mart
-1.002105e+00 3.419035e-02 mart
-9.757895e-01 3.419183e-02 mart
-9.494737e-01 3.419354e-02 mart
-9.231579e-01 3.419548e-02 mart
-8.968421e-01 3.419764e-02 mart
-8.705263e-01 3.420003e-02 mart
-8.442105e-01 3.420264e-02 mart
-8.178947e-01 3.420548e-02 mart
-7.915789e-01 3.420855e-02 mart
-7.652632e-01 3.421184e-02 mart
-7.389474e-01 3.421535e-02 mart
-7.126316e-01 3.421908e-02 mart
-6.863158e-01 3.422303e-02 mart
-6.600000e-01 3.422721e-02 mart
-6.600000e-01 1.019283e-02 aust
-6.533333e-01 1.612144e-02 aust
-6.466667e-01 2.048815e-02 aust
-6.400000e-01 2.376053e-02 aust
-6.333333e-01 2.623942e-02 aust
-6.266667e-01 2.812571e-02 aust
-6.200000e-01 2.955973e-02 aust
-6.133333e-01 3.064388e-02 aust
-6.066667e-01 3.145574e-02 aust
-6.000000e-01 3.205588e-02 aust
-5.933333e-01 3.249250e-02 aust
-5.866667e-01 3.280437e-02 aust
-5.800000e-01 3.302262e-02 aust
-5.733333e-01 3.317202e-02 aust
-5.666667e-01 3.327194e-02 aust
-5.600000e-01 3.333718e-02 aust
-5.533333e-01 3.337875e-02 aust
-5.466667e-01 3.340458e-02 aust
-5.400000e-01 3.342024e-02 aust
-5.333333e-01 3.342951e-02 aust
-5.266667e-01 3.343486e-02 aust
-5.200000e-01 3.343788e-02 aust
-5.133333e-01 3.343955e-02 aust
-5.066667e-01 3.344044e-02 aust
-5.000000e-01 3.344092e-02 aust
-4.933333e-01 3.344116e-02 aust
-4.866667e-01 3.344128e-02 aust
-4.800000e-01 3.344134e-02 aust
-4.733333e-01 3.344137e-02 aust
-4.666667e-01 3.344139e-02 aust
-4.600000e-01 3.344139e-02 aust
-4.533333e-01 3.344140e-02 aust
-4.466667e-01 3.344140e-02 aust
-4.400000e-01 3.344140e-02 aust
-4.333333e-01 3.344140e-02 aust
-4.266667e-01 3.344140e-02 aust
-4.200000e-01 3.344140e-02 aust
-4.133333e-01 3.344140e-02 aust
-4.066667e-01 3.344140e-02 aust
-4.000000e-01 3.344140e-02 aust
-3.933333e-01 3.344140e-02 aust
-3.866667e-01 3.344140e-02 aust
-3.800000e-01 3.344140e-02 aust
-3.733333e-01 3.344140e-02 aust
-3.666667e-01 3.344140e-02 aust
-3.600000e-01 3.344140e-02 aust
-3.533333e-01 3.344140e-02 aust
-3.466667e-01 3.344140e-02 aust
-3.400000e-01 3.344140e-02 aust
-3.333333e-01 3.344140e-02 aust
-3.266667e-01 3.344140e-02 aust
-3.200000e-01 3.344140e-02 aust
-3.133333e-01 3.344140e-02 aust
-3.066667e-01 3.344140e-02 aust
-3.000000e-01 3.344140e-02 aust
-2.933333e-01 3.344140e-02 aust
-2.866667e-01 3.344140e-02 aust
-2.800000e-01 3.344140e-02 aust
-2.733333e-01 3.344140e-02 aust
-2.666667e-01 3.344140e-02 aust
-2.600000e-01 3.344140e-02 aust
-2.533333e-01 3.344140e-02 aust
-2.466667e-01 3.344140e-02 aust
-2.400000e-01 3.344140e-02 aust
-2.333333e-01 3.344140e-02 aust
-2.266667e-01 3.344140e-02 aust
-2.200000e-01 3.344140e-02 aust
-2.133333e-01 3.344140e-02 aust
-2.066667e-01 3.344140e-02 aust
-2.000000e-01 3.344140e-02 aust
-1.933333e-01 3.344140e-02 aust
-1.866667e-01 3.344140e-02 aust
-1.800000e-01 3.344140e-02 aust
-1.733333e-01 3.344140e-02 aust
-1.666667e-01 3.344140e-02 aust
-1.600000e-01 3.344140e-02 aust
-1.533333e-01 3.344140e-02 aust
-1.466667e-01 3.344140e-02 aust
-1.400000e-01 3.344140e-02 aust
-1.333333e-01 3.344140e-02 aust
-1.266667e-01 3.344140e-02 aust
-1.200000e-01 3.344140e-02 aust
-1.133333e-01 3.344140e-02 aust
-1.066667e-01 3.344140e-02 aust
-1.000000e-01 3.344140e-02 aust
-9.333333e-02 3.344140e-02 aust
-8.666667e-02 3.344140e-02 aust
