mart_FoFo_CCEpara.log @ arthur-ltf
2018-06-22T20:44:57

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 200
intf: type_int = 1 (fixed.fluxes)

  200: t=0.010, cavg*=1.00893, r_mart=0.152782, r_aust=0.197836
  400: t=0.020, cavg*=1.00977, r_mart=0.15365, r_aust=0.197836
  600: t=0.030, cavg*=1.01021, r_mart=0.15401, r_aust=0.197836
  800: t=0.040, cavg*=1.01038, r_mart=0.154218, r_aust=0.197836
 1000: t=0.050, cavg*=1.01046, r_mart=0.154359, r_aust=0.197836
 1200: t=0.060, cavg*=1.01051, r_mart=0.154463, r_aust=0.197836
 1400: t=0.070, cavg*=1.01051, r_mart=0.154544, r_aust=0.197836
 1600: t=0.080, cavg*=1.01051, r_mart=0.154609, r_aust=0.197836
 1800: t=0.090, cavg*=1.01054, r_mart=0.154663, r_aust=0.197836
 2000: t=0.100, cavg*=1.01057, r_mart=0.15471, r_aust=0.197836
 2200: t=0.110, cavg*=1.01055, r_mart=0.154751, r_aust=0.197836
 2400: t=0.120, cavg*=1.01055, r_mart=0.154787, r_aust=0.197836
 2600: t=0.130, cavg*=1.01057, r_mart=0.154821, r_aust=0.197836
 2800: t=0.140, cavg*=1.01054, r_mart=0.154854, r_aust=0.197836
 3000: t=0.150, cavg*=1.01056, r_mart=0.154886, r_aust=0.197836
 3200: t=0.160, cavg*=1.01054, r_mart=0.154917, r_aust=0.197836
 3400: t=0.170, cavg*=1.01055, r_mart=0.15495, r_aust=0.197836
 3600: t=0.180, cavg*=1.01054, r_mart=0.154983, r_aust=0.197836
 3800: t=0.190, cavg*=1.01054, r_mart=0.155019, r_aust=0.197836
 4000: t=0.200, cavg*=1.01053, r_mart=0.155056, r_aust=0.197836
 4200: t=0.300, cavg*=1.01051, r_mart=1.55545, r_aust=1.97836
 4400: t=0.400, cavg*=1.01048, r_mart=1.5623, r_aust=1.97836
 4600: t=0.500, cavg*=1.01046, r_mart=1.57015, r_aust=1.97836
 4800: t=0.600, cavg*=1.01045, r_mart=1.57835, r_aust=1.97836
 5000: t=0.700, cavg*=1.01044, r_mart=1.58654, r_aust=1.97836
 5200: t=0.800, cavg*=1.01043, r_mart=1.5946, r_aust=1.97836
