mart_FoFo_mu16e3.log @ arthur-ltf
2018-06-22T21:08:42

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 2198

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 100
intf: type_int = 1 (fixed.fluxes)

    2: t=0.010, cavg*=1, r_mart=2.18176, r_aust=0.0157066
    4: t=0.020, cavg*=1, r_mart=2.18176, r_aust=0.0157066
    6: t=0.030, cavg*=1, r_mart=2.18176, r_aust=0.0157066
    8: t=0.040, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   10: t=0.050, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   12: t=0.060, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   14: t=0.070, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   16: t=0.080, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   18: t=0.090, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   20: t=0.100, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   22: t=0.110, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   24: t=0.120, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   26: t=0.130, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   28: t=0.140, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   30: t=0.150, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   32: t=0.160, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   34: t=0.170, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   36: t=0.180, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   38: t=0.190, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   40: t=0.200, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   42: t=0.210, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   44: t=0.220, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   46: t=0.230, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   48: t=0.240, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   50: t=0.250, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   52: t=0.260, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   54: t=0.270, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   56: t=0.280, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   58: t=0.290, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   60: t=0.300, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   62: t=0.310, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   64: t=0.320, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   66: t=0.330, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   68: t=0.340, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   70: t=0.350, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   72: t=0.360, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   74: t=0.370, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   76: t=0.380, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   78: t=0.390, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   80: t=0.400, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   82: t=0.410, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   84: t=0.420, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   86: t=0.430, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   88: t=0.440, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   90: t=0.450, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   92: t=0.460, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   94: t=0.470, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   96: t=0.480, cavg*=1, r_mart=2.18176, r_aust=0.0157066
   98: t=0.490, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  100: t=0.500, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  102: t=0.510, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  104: t=0.520, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  106: t=0.530, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  108: t=0.540, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  110: t=0.550, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  112: t=0.560, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  114: t=0.570, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  116: t=0.580, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  118: t=0.590, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  120: t=0.600, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  122: t=0.610, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  124: t=0.620, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  126: t=0.630, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  128: t=0.640, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  130: t=0.650, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  132: t=0.660, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  134: t=0.670, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  136: t=0.680, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  138: t=0.690, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  140: t=0.700, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  142: t=0.710, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  144: t=0.720, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  146: t=0.730, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  148: t=0.740, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  150: t=0.750, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  152: t=0.760, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  154: t=0.770, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  156: t=0.780, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  158: t=0.790, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  160: t=0.800, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  162: t=0.810, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  164: t=0.820, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  166: t=0.830, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  168: t=0.840, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  170: t=0.850, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  172: t=0.860, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  174: t=0.870, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  176: t=0.880, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  178: t=0.890, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  180: t=0.900, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  182: t=0.910, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  184: t=0.920, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  186: t=0.930, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  188: t=0.940, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  190: t=0.950, cavg*=1, r_mart=2.18176, r_aust=0.0157066
