mart_FoFo_mu20e3.log @ arthur-laptop
2018-06-24T21:30:11

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 10000.0 [s]; n_time = 48800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 100
intf: type_int = 1 (fixed.fluxes)

  200: t=0.010, cavg*=1.00124, r_mart=0.0218368, r_aust=0.000341359
  400: t=0.020, cavg*=1.00109, r_mart=0.0218433, r_aust=0.000341359
  600: t=0.030, cavg*=1.00094, r_mart=0.0218478, r_aust=0.000341359
  800: t=0.040, cavg*=1.00081, r_mart=0.0218511, r_aust=0.000341359
 1000: t=0.050, cavg*=1.00069, r_mart=0.0218537, r_aust=0.000341359
 1200: t=0.060, cavg*=1.00059, r_mart=0.0218557, r_aust=0.000341359
 1400: t=0.070, cavg*=1.00049, r_mart=0.0218574, r_aust=0.000341359
 1600: t=0.080, cavg*=1.0004, r_mart=0.0218587, r_aust=0.000341359
 1800: t=0.090, cavg*=1.00031, r_mart=0.0218597, r_aust=0.000341359
 2000: t=0.100, cavg*=1.00024, r_mart=0.0218605, r_aust=0.000341359
 2200: t=0.110, cavg*=1.00017, r_mart=0.0218612, r_aust=0.000341359
 2400: t=0.120, cavg*=1.00011, r_mart=0.0218617, r_aust=0.000341359
 2600: t=0.130, cavg*=1.00005, r_mart=0.0218621, r_aust=0.000341359
 2800: t=0.140, cavg*=0.999996, r_mart=0.0218624, r_aust=0.000341359
 3000: t=0.150, cavg*=0.999947, r_mart=0.0218626, r_aust=0.000341359
 3200: t=0.160, cavg*=0.999903, r_mart=0.0218628, r_aust=0.000341359
 3400: t=0.170, cavg*=0.999863, r_mart=0.0218629, r_aust=0.000341359
 3600: t=0.180, cavg*=0.999826, r_mart=0.021863, r_aust=0.000341359
 3800: t=0.190, cavg*=0.999791, r_mart=0.0218631, r_aust=0.000341359
 4000: t=0.200, cavg*=0.99976, r_mart=0.0218631, r_aust=0.000341359
 4200: t=0.300, cavg*=0.999547, r_mart=0.218634, r_aust=0.00341359
 4400: t=0.400, cavg*=0.999436, r_mart=0.218645, r_aust=0.00341359
 4600: t=0.500, cavg*=0.999368, r_mart=0.218662, r_aust=0.00341359
 4800: t=0.600, cavg*=0.999322, r_mart=0.218682, r_aust=0.00341359
 5000: t=0.700, cavg*=0.999287, r_mart=0.218704, r_aust=0.00341359
 5200: t=0.800, cavg*=0.999261, r_mart=0.218725, r_aust=0.00341359
