mart_FoFo_mu23e3.log @ arthur-ltf
2018-06-17T07:07:29

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 20000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 100
intf: type_int = 1 (fixed.fluxes)

  100: t=4.950, cavg*=0.993753, r_mart=22.1548, r_aust=0.794853
  200: t=9.950, cavg*=0.993684, r_mart=22.2757, r_aust=0.794853
  300: t=14.951, cavg*=0.993654, r_mart=22.3688, r_aust=0.794853
  400: t=19.951, cavg*=0.993636, r_mart=22.4474, r_aust=0.794853
  500: t=24.951, cavg*=0.993624, r_mart=22.5168, r_aust=0.794853
  600: t=29.951, cavg*=0.993615, r_mart=22.5795, r_aust=0.794853
  700: t=34.952, cavg*=0.993608, r_mart=22.6371, r_aust=0.794853
  800: t=39.952, cavg*=0.993602, r_mart=22.6908, r_aust=0.794853
  900: t=44.952, cavg*=0.993598, r_mart=22.7413, r_aust=0.794853
 1000: t=49.952, cavg*=0.993594, r_mart=22.789, r_aust=0.794853
 1100: t=54.953, cavg*=0.99359, r_mart=22.8344, r_aust=0.794853
 1200: t=59.953, cavg*=0.993587, r_mart=22.8777, r_aust=0.794853
 1300: t=64.953, cavg*=0.993585, r_mart=22.9193, r_aust=0.794853
 1400: t=69.953, cavg*=0.993582, r_mart=22.9593, r_aust=0.794853
 1500: t=74.954, cavg*=0.99358, r_mart=22.998, r_aust=0.794853
 1600: t=79.954, cavg*=0.993579, r_mart=23.0353, r_aust=0.794853
 1700: t=84.954, cavg*=0.993577, r_mart=23.0715, r_aust=0.794853
 1800: t=89.954, cavg*=0.993575, r_mart=23.1067, r_aust=0.794853
 1900: t=94.955, cavg*=0.993574, r_mart=23.1409, r_aust=0.794853
 2000: t=99.955, cavg*=0.993572, r_mart=23.1742, r_aust=0.794853
 2100: t=104.955, cavg*=0.993571, r_mart=23.2066, r_aust=0.794853
 2200: t=109.955, cavg*=0.99357, r_mart=23.2384, r_aust=0.794853
 2300: t=114.956, cavg*=0.993569, r_mart=23.2694, r_aust=0.794853
 2400: t=119.956, cavg*=0.993568, r_mart=23.2997, r_aust=0.794853
 2500: t=124.956, cavg*=0.993567, r_mart=23.3294, r_aust=0.794853
 2600: t=129.956, cavg*=0.993566, r_mart=23.3585, r_aust=0.794853
 2700: t=134.957, cavg*=0.993565, r_mart=23.3871, r_aust=0.794853
 2800: t=139.957, cavg*=0.993564, r_mart=23.4152, r_aust=0.794853
 2900: t=144.957, cavg*=0.993563, r_mart=23.4427, r_aust=0.794853
 3000: t=149.957, cavg*=0.993563, r_mart=23.4698, r_aust=0.794853
 3100: t=154.958, cavg*=0.993562, r_mart=23.4964, r_aust=0.794853
 3200: t=159.958, cavg*=0.993561, r_mart=23.5226, r_aust=0.794853
 3300: t=164.958, cavg*=0.993561, r_mart=23.5484, r_aust=0.794853
 3400: t=169.958, cavg*=0.99356, r_mart=23.5738, r_aust=0.794853
 3500: t=174.959, cavg*=0.993559, r_mart=23.5989, r_aust=0.794853
 3600: t=179.959, cavg*=0.993559, r_mart=23.6235, r_aust=0.794853
 3700: t=184.959, cavg*=0.993558, r_mart=23.6479, r_aust=0.794853
