# n=120
# ti=5 tf=1000 tstep=5 ntime=200
z c strct
-1.160000e+00 2.945534e-02 mart
-1.133684e+00 2.945491e-02 mart
-1.107368e+00 2.945363e-02 mart
-1.081053e+00 2.945150e-02 mart
-1.054737e+00 2.944851e-02 mart
-1.028421e+00 2.944467e-02 mart
-1.002105e+00 2.943997e-02 mart
-9.757895e-01 2.943443e-02 mart
-9.494737e-01 2.942804e-02 mart
-9.231579e-01 2.942080e-02 mart
-8.968421e-01 2.941272e-02 mart
-8.705263e-01 2.940379e-02 mart
-8.442105e-01 2.939402e-02 mart
-8.178947e-01 2.938342e-02 mart
-7.915789e-01 2.937198e-02 mart
-7.652632e-01 2.935970e-02 mart
-7.389474e-01 2.934660e-02 mart
-7.126316e-01 2.933267e-02 mart
-6.863158e-01 2.931792e-02 mart
-6.600000e-01 2.930235e-02 mart
-6.600000e-01 6.828630e-02 aust
-6.533333e-01 6.649923e-02 aust
-6.466667e-01 6.456205e-02 aust
-6.400000e-01 6.246466e-02 aust
-6.333333e-01 6.019954e-02 aust
-6.266667e-01 5.776444e-02 aust
-6.200000e-01 5.516644e-02 aust
-6.133333e-01 5.242778e-02 aust
-6.066667e-01 4.959319e-02 aust
-6.000000e-01 4.673689e-02 aust
-5.933333e-01 4.396474e-02 aust
-5.866667e-01 4.140465e-02 aust
-5.800000e-01 3.918062e-02 aust
-5.733333e-01 3.737739e-02 aust
-5.666667e-01 3.601558e-02 aust
-5.600000e-01 3.505384e-02 aust
-5.533333e-01 3.441368e-02 aust
-5.466667e-01 3.400846e-02 aust
-5.400000e-01 3.376252e-02 aust
-5.333333e-01 3.361848e-02 aust
-5.266667e-01 3.353669e-02 aust
-5.200000e-01 3.349151e-02 aust
-5.133333e-01 3.346718e-02 aust
-5.066667e-01 3.345439e-02 aust
-5.000000e-01 3.344781e-02 aust
-4.933333e-01 3.344450e-02 aust
-4.866667e-01 3.344287e-02 aust
-4.800000e-01 3.344209e-02 aust
-4.733333e-01 3.344171e-02 aust
-4.666667e-01 3.344154e-02 aust
-4.600000e-01 3.344146e-02 aust
-4.533333e-01 3.344143e-02 aust
-4.466667e-01 3.344141e-02 aust
-4.400000e-01 3.344140e-02 aust
-4.333333e-01 3.344140e-02 aust
-4.266667e-01 3.344140e-02 aust
-4.200000e-01 3.344140e-02 aust
-4.133333e-01 3.344140e-02 aust
-4.066667e-01 3.344140e-02 aust
-4.000000e-01 3.344140e-02 aust
-3.933333e-01 3.344140e-02 aust
-3.866667e-01 3.344140e-02 aust
-3.800000e-01 3.344140e-02 aust
-3.733333e-01 3.344140e-02 aust
-3.666667e-01 3.344140e-02 aust
-3.600000e-01 3.344140e-02 aust
-3.533333e-01 3.344140e-02 aust
-3.466667e-01 3.344140e-02 aust
-3.400000e-01 3.344140e-02 aust
