t mart.s0 mart.sn aust.s0 aust.sn
0.000000e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.002501e-04 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.000500e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.500750e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.001001e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.501251e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.001501e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.501751e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.002001e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.502251e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.002501e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.502751e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.003002e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.503252e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
7.003502e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
7.503752e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
8.004002e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
8.504252e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
9.004502e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
9.504752e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.000500e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.050525e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.100550e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.150575e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.200600e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.250625e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.300650e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.350675e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
