t mart.s0 mart.sn aust.s0 aust.sn
0.000000e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.000250e-03 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.000050e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.500075e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.000100e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.500125e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.000150e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.500175e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.000200e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.500225e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.000250e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.500275e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.000300e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.500325e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
7.000350e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
7.500375e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
8.000400e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
8.500425e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
9.000450e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
9.500475e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.000050e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.050053e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.100055e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.150058e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.200060e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.250063e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.300065e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.350068e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.400070e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.450073e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.500075e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.550078e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.600080e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.650083e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.700085e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.750088e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.800090e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.850093e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.900095e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.950098e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.000100e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.050103e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.100105e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.150108e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.200110e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.250113e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.300115e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.350118e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.400120e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.450123e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.500125e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.550128e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.600130e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.650133e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.700135e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.750138e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.800140e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.850143e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
