
 Phase Region for:
     BCC_A2                        
     CEMENTITE                     
 col-1=T_C, col-2=X(CEMENTITE,C), col-3=X(CEMENTITE,MN), col-4=X(CEMENTITE,SI), col-5=MU(C), col-6=MU(MN), col-7=MU(SI), col-8=GM(CEMENTITE),
   3.00000E+02   2.50000E-01   1.52886E-03   3.73818E-02   3.88876E+04  -7.72849E+04   4.50091E+04  -8.79738E+03
   3.00000E+02   2.50000E-01   1.52886E-03   3.73818E-02   3.88876E+04  -7.72849E+04   4.50091E+04  -8.79738E+03

 Phase Region for:
     BCC_A2                        
     CEMENTITE                     
 col-1=T_C, col-2=X(CEMENTITE,C), col-3=X(CEMENTITE,MN), col-4=X(CEMENTITE,SI), col-5=MU(C), col-6=MU(MN), col-7=MU(SI), col-8=GM(CEMENTITE),
   3.00000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.90953E+04  -7.73194E+04   4.49750E+04  -8.77770E+03
   3.05000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.88629E+04  -7.77947E+04   4.47378E+04  -9.00645E+03
   3.10000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.86295E+04  -7.82712E+04   4.44998E+04  -9.23649E+03
   3.15000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.83950E+04  -7.87490E+04   4.42608E+04  -9.46780E+03
   3.20000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.81595E+04  -7.92280E+04   4.40209E+04  -9.70038E+03
   3.25000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.79231E+04  -7.97083E+04   4.37801E+04  -9.93421E+03
   3.30000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.76857E+04  -8.01899E+04   4.35383E+04  -1.01693E+04
   3.35000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.74474E+04  -8.06726E+04   4.32956E+04  -1.04056E+04
   3.40000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.72082E+04  -8.11567E+04   4.30520E+04  -1.06431E+04
   3.45000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.69681E+04  -8.16420E+04   4.28074E+04  -1.08819E+04
   3.50000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.67272E+04  -8.21285E+04   4.25620E+04  -1.11218E+04
   3.55000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.64855E+04  -8.26164E+04   4.23155E+04  -1.13629E+04
   3.60000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.62430E+04  -8.31054E+04   4.20682E+04  -1.16053E+04
   3.65000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.59997E+04  -8.35957E+04   4.18199E+04  -1.18488E+04
   3.70000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.57558E+04  -8.40873E+04   4.15706E+04  -1.20934E+04
   3.75000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.55111E+04  -8.45802E+04   4.13204E+04  -1.23393E+04
   3.80000E+02   2.50000E-01   1.54015E-03   3.76579E-02   3.52657E+04  -8.50743E+04   4.10693E+04  -1.25862E+04
